sama	samade
kedrus	kedruse
aeg	aeg
siis	siis
küünla+päev	`küinla+best
hakkama	akkatti
kangas	`kangud
üles	üless
panema	panema
et	et
kevad	kevadeks
kangas	`kangad
valmis	`valmis
saama	saab
kuduma	koeut
siis	siis
kuduma	`kootti
mitu	mittu
linane	linast
kangas	ka~ngast
mis	missest
aseme+lina	aseme+linasid
tegema	`tehti
ning	ning
särk	`särkkisi
tegema	`tehti
ja	ja
laps	lastele
püksid	`pükse
ning	ning
ning	ning
siis	siss
siis	siss
kui	kui
olema	oli
agri	agri
hüüdma	`öötti
kui	kui
agri	agri
välja	`välja
minema	läheb
siis	siis
es	ss
olema	ole
enam	änam
aeg	`aega
sees	sihes
olema	`olla
mitte	`mette
et	et
siis	siis
veel	veel
mis+ki	midad
tegema	tegi
siis	siis
pidama	pidid
ikka	`ikka
töö	töö
kallal	kallal
väljas	`väljas
olema	olema
kõik	kõik
õmblus+masin	`õmblus+massinad
ning	ning
see	need
tulema	tulid
ka	kaa
üsna	üsna
hilja	ilja
kui	kui
mina	ma
kuulma	`kuultsi
mina	mu
aeg	`aega
see	need
olema	on
ikka	`ikka
tulema	`tulnd
et	et
mina	mu
mäletus	määlettuse
aeg	`aega
rääkima	räägitti
sedasi	`seasi
et	et
kõik	kõik
käsitsi	käsitsi
õmblema	õmmeldi
kõik	kõik
valmis	`valmis
olema	pole
mitte	`mette
üks	`ühte
riie	`riide
olema	pole
masin	massinad
olema+ki	`olndkid
kõik	kõik
käsi	`kääga
tegema	`tehti
valmis	`valmis
aga	äga
nüüd	nüid
nüüd	nüid
see	selle
masin	massina
see	need
olema	on
ju	ju
ka	kaa
ikka	`ikka
ütlema	`ütleme
juba	juba
üks	üks
kuus	kuus
seitse+kümmend	seitse+kümend
aasta	`aastad
võima	võivad
vana	vanad
olema	`olla
see	need
olema	olid
sedasi	sädäsi
et	et
see	need
olema	olid
juba	juba
siis	siis
natuke	nattukse
ikka	`ikka
mõni	mõnes
koht	kohas
õppima	`õppimas
käima	`käind
siis	siis
kui	ku
hakkama	`akkasid
käima	`käima
masin	massinaga
kutsuma	kutsutti
talu	taluse
ja	ja
siis	siis
andma	`an'tti
sööma	`süija
ja	ja
ja	ja
ja	ja
ja	ja
tegema	tegid
pere	perele
nii+palju	nii+palju
kui	kut
siis	siis
riie	riijet
tegema	tehja
olema	oli
ja	ja
siis	siis
tema	ta
võtma	`võt'tis
siis	siis
iga	iga
riie	`riidel
olema	oli
oma	oma
hind	ind
ka	kaa
kui	kui
palju	pailu
tema	ta
siis	siis
võtma	`võt'tis
see	selle
pealt	pealt
kas	kas
kas	kas
tegema	tegi
see	selle
pisikene	pisikse
pluus	pluusa
valmis	`valmis
kaks+kümmend+viis	kaks+kümend+viis
kopikas	koppikkat
ehk	ehk
kaks+kümmend	kaks+kümend
kopikas	koppikkat
ehk	ehk
sedasi	sedasi
olema	oli
siis	siis
ja	ja
ehk	ehk
püksid	püksid
maksma	maksid
kolm	kolm
neli+kümmend	neli+gümend
kopikas	koppikkat
püksid	`pükste
valmis	`valmis
tegu	tegu
ja	ja
sedasi	sädäsi
kuidas	kuidas
kuidas	kuidas
riie	riije
olema	oli
sedasi	sädäsi
siis	siis
maksma	maksetti
nemad	nendele
siis	siis
hakkama	`akkasid
käima	`käima
pere	perest
pere	perese
kus	kus
tarvis	`tarvis
olema	oli
sinna	`sönna
kutsuma	kutsutti
jälle	`jälle
õmblema	`õmlema
ja	ja
ei	äi
olema	ole
linn	linnast
miski	midagid
tellima	tel'littud
see	need
olema	olid
maa	maal
ikka	`ikka
oma	omad
vanasti	vanasti
olema	ol'id
mis	mis
seal	sääl
olema	ol'id
ise	ise
ise	ise
olema	olid
nahk	`nahku
parkima	`parkkind
inimene	inimesed
siis	siis
es	es
olema	ole
olema	ole
vabrik	vabrikkus
ka	kaa
parkima	pargittud
see	neid
mitte	`mette
viimaks	`viimaks
hakkama	akkatti
siis	siis
seuke	`seukseid
nahk	`nahku
tarvitama	tarvittama
ise	ise
siis	siis
parkima	pargitti
nahk	nahad
ning	ning
ise	ise
tegema	`tehti
suur	sured
puu	puu
pakk	pakkud
valmis	`valmis
mis	mille
järgi	`järge
hakkama	akkatti
tegema	tegema
ja	ja
ju	ju
igavene	igavesed
suur	sured
potsakas	potsakkad
olema	ol'id
inimene	inimestel
jalg	`jalgas
suur	sured
pätt	pättid
olema	ol'id
jälle	`jälle
nõeluma	nõõlutti
nõnda+samuti	nõnda+samma
kui	kut
suur	surt
suur	surt
pastel	`pastlid
olema	ol'id
mis	mis
inimene	inimestel
tegema	tegid
jälle	`jälle
lina	lina
takk	`takkudest
saama	sai
jälle	`jälle
hüüdma	`ööttud
suur	sured
see	ned
vana	vana
Järva	Järvalt
olema	on
siit	siit
kool	kooli
õpetaja	õppettaea
see	see
viima	viis
kõik	kõik
mina	mu
mina	mu
käest	käest
see	need
värk	värgid
oma	omale
seal	säl
tema	taal
olema	on
ka	kaa
suur	sur
muuseum	`muusjum
korjama	korjattud
see	see
mis	missega
see	see
lõng	lõng
ketrama	kedretti
mis	missega
pätt	`pättisi
tegema	`tehti
ning	ning
see	se
olema	oli
suur	sur
keder+vars	keder+vars
hüüdma	`üitti
ju	ju
see	need
kõik	kõik
tema	ta
viima	viis
viima	viis
oma	omale
siit	siit
kirik	kirikku
juures	`juures
see	see
kus	kus
kool	koel
olema	on
seal	sääl
see	see
vana	vana
kooli+direktor	kooli+ti`rektor
korjama	`korjas
ka	ko
ikka	`ikke
siuke	`siukseid
vana	vanu
asi	`asju
ei	äi
olema	ole
ei	äi
olema	ole
taha	taha
panema	`pandud
ning	ning
see	neid
olema	oli
see	neid
olema	oli
siis	siss
ka	ka
inimene	inimestel
kael	`kaelas
ja	ja
siis	siss
see	ne
suur	sured
kudrus	kudrused
ja	ja
pärl	`pärlid
mis	misseks
kutsuma	kutsutti
ja	ja
ning	ning
ja	ja
ja	ja
suur	sured
pross	prossid
olema	olid
ka	kaa
ikka	`ikka
siuke	`siuksed
panema	`pandi
ka	kaa
ikka	`ikka
olema	olid
seuke	`seuksed
asi	asjad
ehe	`ehted
ei	äi
olema	ole
nüüd	nüid
olema	on
rahva+riie	`rahva+`riided
aga	aga
nüüd	nüid
nüüd	nüid
olema	on
enamasti	änamasti
seuke	`seuksed
riie	`riided
kui	kut
vana	vanal
aeg	aeal
inimene	inimesed
ju	ju
kandma	`kantsid
seuke	`seuksed
triibuline	triibulised
kuub	kuuwed
ja	ja
ja	ja
ja	ja
suur	sured
pluus	pluusad
puha	puhas
siit	siit
eest	eest
välja	`välja
õmblema	õmmeldud
ning	ning
nüüd	nüid
tantsima	tantsivad
see	nee
vana	vana
vana+aegne	vana+`aeksed
riie	`riided
puha	puhas
ikka	`ikka
jah	jaahh
saarlane	`saarlast
see	see
olema	oli
see	see
asi	asi
et	et
kui	kui
kui	kui
hakkama	`akkas
jüri+päev	jüri+bene
päev	päev
tulema	tulema
ju	ju
jüri+päev	jüri+bäävast
siis	siis
nemad	nad
olema	ol'id
minema	minemas
puha	puhas
siis	siis
olema	oli
üks	üks
olema	oli
kutsuma	kutsutti
podrätsik	podretsikkuks
kes	kess
olema	oli
sealt	sält
töö	tööd
kauplema	`kauplend
sealt	sält
mander	`mandrilt
mõis	`mõisatte
mõisnik	`mõisnikkude
käest	kääst
kas	kass
kraav	raavi
kaevamine	`kaevamist
või	või
puu+juurimine	puu+`juurimist
või	või
mis	mis
töö	tööd
nemad	nendel
nemad	nad
tegema	tehja
olema	oli
siis	siis
võtma	`võtsid
kätte	`kätte
siis	siss
panema	`pandi
kevadel	kövade
siis	siis
reisi+kott	reisi+kottid
kutsuma	kutsutti
suur	suur
suur	suur
linane	linane
kott	koit'
tegema	`tehti
riie	`riidest
ja	ja
siis	siss
sinna	`sönna
sisse	`sisse
panema	`pandi
siis	siss
paar	paar
tükk	`tükki
vana	vana
linane	linast
kodu	kodu
tegema	`tehtud
särk	`särkki
suvi	suiks
seltsi	`seltsi
ja	ja
paar	paar
paar	paar
kaks	kaks
püksid	`pükse
ja	ja
siis	siis
pätt	pättid
tegema	`tehti
ka	koo
pätakas	pättakkad
mis	mis
jalg	`jalga
tulema	tulid
panema	`panna
ning	ning
siis	siis
panema	`pandi
üks	üks
sink	sink
sea+liha	sia+liha
suitsutama	suitsuttatti
ära	ära
ja	ja
siis	siis
sinna	`sönna
panema	`pandi
üks	üks
terve	`terve
leib	leib
ja	ja
siis	siis
üks	üks
üks	üks
viis	viis
kuus	kuus
kilo	kilu
või	võid
panema	`pandi
üks	üks
sihuke	`seukke
puu+pütt	puu+püt't
olema	oli
tegema	`tehtud
see	need
panema	`pandi
kõik	kõik
sinna	`sönna
kott	`kotti
siis	siis
see	need
õõ	õõ
võtma	`võtsid
kott	kottid
selg	`selga
ja	ja
minema	läksid
jälle	`jälle
Muhu	Muhuse
siis	siis
Muhu	Muhus
es	es
olema	ole
veel	veel
sild	`silda
ka	koo
tegema	`tehtud
mitte	`mette
nüüd	nüid
käima	käib
ju	ju
Väike	`Väiksest
väin	väinast
sild	sild
Muhu+maa	Muhu+`maale
aga	aga
siis	siss
minema	`mindi
paat	`paattidega
üle	üle
viima	`viidi
Muhu+maa	Muhu+`maale
sealt	säält
jälle	`jälle
võtma	võtta
kott	kot't
selg	`selga
ja	ja
minema	mine
ikka	`ikke
nii+kaua	nii+kauwa
jala	jala
kuni	kuni
Kuivastu	Kuivastu
Kuivastu	Kuivastust
viima	`viidi
jälle	`jälle
jälle	`jälle
see	selle
see	see
jälle	`jälle
sihuke	`söuksed
mis	misseks
see	neid
kutsuma	kutsutti
see	see
es	s
olema	ole
uivas	uivas
uisk	uisud
uisk	`uiskudega
hüüdma	`öötti
uisk	`uiskudega
viima	`viidi
jälle	`jälle
Virtsu	`Virtsu
sealt	säält
jälle	`jälle
kott	kot't
selg	`selga
ning	ning
minema	mine
sinna	`sönna
kus	kus
nii	nii
kaugele	`kaugele
kus	kuss
kas	kass
Tartu+maa	`Tarttu+`maale
või	või
Viljandi+maa	Viljandi+`maale
või	või
või	või
kus+pool	kuss+`poole
kus	kuss
kus	kuss
sina	sool
töö+koht	töö+koht
siis	siis
teadma	tääda
olema	oli
see	see
podrätsik	podretsik
olema	oli
siis	siss
see	see
juhataja	juhattaea
kus	kuss
nemad	nad
minema	läksid
et	et
siis	siis
minema	läksid
sinna	`senna
siis	siis
nemad	nad
olema	ol'id
rääkima	`rääksid
kuidas	kuidas
nemad	nad
mets	`metsas
kraav	`raavisi
kaevama	`kaevasid
ja	ja
sealt	sält
sama	sama
kaevama	`kaevasid
raba	rabas
kust	kust
võtma	`võtsid
vesi	vett
mis	miss
nemad	nad
jooma	jõid
ja	ja
siis	siss
üks+haaval	üks+`haavalt
käima	käisid
ikka	`ikka
mõis	`mõisast
piim	`piima
oma	omal
tooma	`toomas
ja	ja
leib	`leiba
tooma	`toomas
ja	ja
ee	ee
magama	magasid
mets	`metsas
ja	ja
ja	ja
siis	siss
sedasi	sedasi
elama	elasid
seal	sääl
seni	sõni
kui	kut
sügis	sügiseni
kuus+kümmend	kuus+kümend
kopikas	koppikkat
ja	ja
sedasi	sedasi
saama	said
siis	siis
päev	`päävaks
ja	ja
see	see
olema	oli
siis	siis
nemad	nendel
päeva+palk	pääva+palk
ja	ja
siis	siis
olema	oli
juba	juba
kui	kui
olema	olid
juba	juba
juba	juba
nüüdne	`nüitsel
aeg	aeal
siis	siis
nemad	nad
teenima	`teenisid
ikka	`ikka
rubla	`ruublitte
kaupa	`kauppa
ka	koo
päev	`päävaks
ikka	`ikka
oma	omale
aga	aga
esiti	esitti
olema	oli
kuus	kuus
seitse+kümmend	seitse+gümend
kopikas	koppikkat
teenima	`teenisid
see	selle
kraavi+kaevamine	raavi+`kaevamisega
päev	`päävaks
siis	siis
sügis	sügise
mart	mardi
aeg	`aega
mart	mardi
ja	ja
mihkli+päev	`mihkli+be
vahel	vahel
siis	siis
nemad	nad
tulema	tulid
mander	`mandrilt
jälle	`jälle
kodu	koduse
siis	siis
siis	siis
tulema	tulid
kodu	koduse
mis	miss
mis	miss
nemad	nad
siis	siis
suvi	sui
teenima	`teenind
olema	olid
vat	vatt
siis	siis
tulema	tuli
jälle	`jälle
koha+rent	koha+`renttisi
maksma	`maksa
ja	ja
see	seda
raha	raha
teenima	teenitti
mis	millega
inimene	inimestel
olema	ol'id
ju	ju
riik	riigile
suur	suured
rent	rendid
maa	maa
pealt	pelt
maksma	`maksa
kuus	kuus
seitse+kümmend	seitse+gümend
rubla	rubla
tulema	tuli
ära	ära
maksma	`maksa
no	no
kust	kost
see	seda
võtma	võttad
siis	siis
mullikas	mul'likkaid
müüma	`müidi
või	vai
või	vai
ja	ja
hobune	obu
ehk	ehk
mis	miss
mis	miss
müüma	`müija
olema	oli
ikka	`ikka
katsuma	katsutti
kuidagi+moodi	kuida+`moodi
jälle	`jälle
rent	rendiks
selge	`selgeks
saama	sai
kui	kui
es	es
olema	ole
rent	`rentti
selge	`selgeks
mitte	`mette
valla+kirjutaja	valla+kirjuttaea
talitaja	tal'littaead
tulema	tulid
kirjutama	kirjuttasid
maja+kraam	maea+kraami
üles	üless
kas	kas
olema	oli
mis+sugune	`mis+sugust
tahes	tahes
regi	reed
või	või
vanker	`vankrid
võtma	`võetti
ikka	`ikka
see	nee
müüma	`müidi
ära	ära
jälle	`jälle
et	et
et	et
maks	maksud
selge	`selgeks
saama	sai
no	no
siis	siis
pidama	pidi
see	neid
nõnda	nõnda
katsetama	katsettama
käima	`käidi
käima	`käidi
mander	`mandrilt
see	seda
see	seda
raha	raha
teenima	`teenimas
et	et
et	et
aga	aga
maks	maksud
selge	`selgeks
saama	`saadi
jälle	`jälle
ei	äi
see	seda
mina	maa
ep	p
teadma	tea
mitte	`mette
ei	äi
olema	ole
mina	ma
ei	ei
teadma	tea
mitte	`mette
see	seda
ahh	ahh
mina	maa
mõisa+töö	`mõisa+tööl
jah	jahh
mina	ma
olema	ole
mõisa+töö	`mõisa+tööl
käima	`käind
mõisa+töö	`mõisa+tööl
olema	oli
sedasi	sädäsi
et	et
mõis	`mõisas
olema	oli
sedasi	sädäsi
et	et
karja+poiss	karja+poiss
olema	oli
kes	kess
kes	kess
hobune	obuste
kari	`karjas
olema	oli
see	see
olema	oli
hobune	obustega
karja+maa	karja+mal
ning	ning
päev	pääva
tõusma	tõustes
see	see
pidama	pidi
mõis	`mõisa
õu	õuwes
hobune	obustega
olema	olema
ja	ja
ja	ja
see	need
kes	kess
siis	siis
mõisa+tööline	`mõisa+`töölised
see	need
kutsuma	kutsutti
moonakas	moonakkad
kes	kess
kes	kess
nüüd	nüid
ise	ennast
kauplema	`kauplend
olema	ol'id
kas	kass
kolm	kolm
päev	`pääva
nädal	nädalis
või	või
neli	neli
päev	`pääva
nädal	nädalis
sedasi	sedasi
võtma	`võtsid
oma	omale
päev	`päivi
seal	sääl
tegema	tehja
siis	siis
see	need
võtma	`võtsid
hobune	obused
ning	ning
panema	panid
hobune	obused
suitsed	`suitsed
suitsed	`suitsed
päitsed	`päitsed
pea	piha
ning	ning
ader	adra
ette	`ette
ning	ning
minema	läksid
põld	põllale
kündma	`kündma
päev	pääva
tõusma	tõustes
kui	kui
kell	kell
olema	oli
kaheksa	kaheksa
kubjas	kubjas
olema	oli
siis	siis
nemad	nende
silm	silma
koht	kohas
vaatama	`vaattas
et	et
ükski	`ükskid
es	s
tohtima	tohi
seisma	seista
mitte	`mette
et	et
kõik	kõik
pidama	pidid
töötama	`tööttama
siis	siis
kubjas	kubjas
vaatama	`vaattas
kella+aeg	kella+`aega
ning	ning
siis	siis
minema	`mindi
mõis	`mõisast
lööma	`löödi
siuke	`siuksed
suur	suured
loba	lobad
olema	ol'id
lopp	lopp
loppat	loppat
lopp	lopp
loppat	loppat
lopp	lopp
loppat	loppat
lopp	lopp
loppat	loppat
siis	siis
lööma	`löödi
sööma	`sööma
siis	siis
ja	ja
olema	oli
hommikune	oomikkune
söömine	`söömine
siis	siis
olema	oli
hommik	oomiku
andma	`antti
pool+teist	pol+teist
tund	`tundi
siis	siis
laskma	`lasti
loom	loomad
üks	üks
koppel	`koppel
olema	oli
kus	kuss
siis	siis
see	need
hobune	obused
ning	ning
härg	ärjad
härg	ärjad
kündma	`küntsid
ka	kaa
härg	ärjad
sööma	`sööma
panema	`pandi
ja	ja
inimene	inimesed
sööma	sõid
siis	siis
ise	ise
ka	kaa
ja	ja
saama	saand
jälle	`jälle
see	see
tund	tunni
aeg	aeg
mööda	`mööda
saama	saand
et	et
inimene	inimestel
es	es
olema	ole
ju	ju
oma	omal
kella+aeg	kella+`aega
see	sell
aeg	aeal
keegi	kellelgid
mitte	`mitte
jälle	`jälle
mõis	`mõisast
lööma	`löödi
suur	suurt
loba	loba
jälle	`jälle
lopp	lopp
loppat	loppat
lopp	lopp
loppat	loppat
hüüdma	`üitti
mõis	`mõisa
loba	lobad
lööma	loovad
siis	siis
siis	siis
lööma	`löödi
jälle	`jälle
sööma	söömast
ära	ära
siis	siis
olema	oli
sööma+tund	sööma+tun'd
üle	üle
sedasi	sedasi
lööma	`löödi
nemad	need
lõuna	`lõunele
ka	kaa
jälle	`jälle
ning	ning
õhtu	`õhtule
lööma	`löödi
jälle	`jälle
ikka	`ikka
ikka	`ikka
see	selle
loba	lobaga
ja	ja
siis	siss
kubjas	kubjas
olema	oli
ikka	`ikka
seltsis	`seltsis
et	et
inimene	inimene
ei	ei
tohtima	`tohtind
seisma	seista
mitte	`mette
et	et
sina	sa
pidama	pidid
päriselt	päriseste
ikka	`ikka
töötama	`tööttama
siis	sii
hakkama	akkatte
küsima	küsima
siis	siis
mina	ma
hakkama	`akka
rääkima	`rääkkima
muidu	muidu
mina	ma
ei	ei
teadma	tea
võima	võib
ka	ka
rääkima	`rääkkida
juba	juba
jah	jahh
palk	`palkka
maksma	maksetti
sedasi	sädäsi
kes	kess
vili	viljaga
kes	kess
kes	kess
kolm	kolme
päev	pääva
suiline	`suiline
olema	oli
kes	kess
nädal	nädalis
kolm	kolm
päev	`pääva
tegema	tegi
see	sellele
maksma	maksetti
kümme	kümme
vakk	`vakka
vili	`vilja
sügis	sügise
nüüdne	`nüitse
aeg	aal
aga	aga
ori	orja
aeg	aal
olema	pole
küll	küll
mitte	`mette
siis	sii
nii	nii
palju	pailu
maksma	maksettud
aga	aga
nüüd	nüid
maksma	maksetti
noh	nohh
härra	ärrad
ning	ning
proua	prouwad
mis	miss
nemad	neil
muu	muud
olema	oli
nemad	need
olema	olid
nemad	need
olema	olid
ikka	`ikka
saks	saksad
olema	olid
vaatama	`vaattasid
aken	`akna
peal	peal
ja	ja
käima	käisid
muidu	muidu
patseerima	pat`seerist
ning	ning
vaatama	`vaattasid
kuidas+moodi	kuda+`moodi
töö	`töösid
tegema	tehjatse
ning	ning
ning	ning
see	see
olema	oli
nemad	nende
lõbu	lõbu
vaatama	vaadatta
kuidas	kuidas
inimene	inimesed
töötama	`tööttasid
ja	ja
laps	lapsed
kõik	kõik
käima	käisid
nemad	nendega
kaasas	`kaasas
ja	ja
vaatama	`vaattasid
kuidas	kuidas
kuidas	kuidas
tööline	`töölised
töö	tööd
tegema	tegid
ja	ja
nüüd	nüid
eks	eks
olema	ole
olema	pole
tegema	tehja
ise	ennastel
enam	änam
mitte	`mette
kes+gi	kedagid
kui	kui
inimene	inimene
olema	onn
eksima	`eksind
kohe	kohe
peksa	`peksa
kui	kui
mina	ma
veel	veel
see	seda
hakkama	`akka
rääkima	`rääkkima
kui	kui
kui	kui
üks+kord	üks+kord
see	see
olema	oli
vana	vanal
aeg	aeal
mina	minu
ema	ema
ema	ema
mina	muu
ema	ema
rääkima	`rääkkis
see	seda
mina	maa
maa	maa
väga	väga
vähe	vähe
mäletama	määletta
see	seda
oma	oma
vana+ema	vana+ema
ja	ja
kui	kui
see	see
olema	oli
noor	noor
tüdruk	tüdruk
olema	oli
see	see
ilus	ilus
tüdruk	tüdruk
ning	ning
vaene+laps	`vaene+laps
olema	oli
olema	oli
siis	siis
see	see
olema	olnd
olema	olnd
üks	ühe
talu	talu
võtma	`võttand
oma	omale
kasvandik	kasvandikkuks
see	selle
ja	ja
siis	siss
olema	oli
seal	sääl
talu	talus
olema	olnd
ja	ja
olema	oli
juba	juba
nii	nii
nii	nii
suur	suur
suur	suur
et	et
täis+ealine	täis+`ealine
inimene	inimene
olema	oli
olema	olnd
ja	ja
äkkist	äkkist
üks	üks
mõisnik	`mõisnik
saatan	`saattan
see	see
nüüd	nüit
siit	siit
Kangru+selja	`Kangrus+selja
mõis	`mõisast
härra	ärra
et	et
toa+tüdruk	toa+tüdrukkuks
oma	omale
see	see
saama	`saaea
aga	aga
härra	ärrad
nemad	nad
võtma	`võtsid
ju	ju
ikka	`ikka
oma	omale
kohe	kohe
ikka	`ikka
tahtma	`tahtsid
ju	ju
nemad	neid
ikka	`ikka
oma	omale
naine	naise
naine	naisteks
pidama	pidada
selline	`seikse
mood	moega
vat	vatt
siis	siis
see	see
tüdruk	tüdruk
olema	pole
tahtma	`tahtant
sinna	`sönna
minema	`minna
mitte	`mõtte
ja	ja
ja	ja
siis	siis
viima	`viidud
ikka	`ikka
vägisi	vägisi
sinna	`sönna
Kangru+selja	`Kangru+selja
mõis	`mõisa
ja	ja
siis	siis
mõis	`mõisa
pere+naine	pere+naine
olema	oli
siis	siss
tüdruk	tüdrukkule
nõus	nõus
olema	olnd
tüdruk	tüdruk
nutma	`nutnd
et	et
tema	tema
ei	ei
tahtma	taha
mitte	`mette
härra	ärra
juurde	`juure
jääma	`jääea
et	et
tema	ta
tahtma	tahab
ära	ära
minema	`minna
et	et
tema	ta
ei	ei
jääma	jää
mitte	`mette
härra	ärra
juurde	`juure
ning	ning
see	see
jätma	`jätnd
aken	`akna
köök	koogi
aken	`akna
lahti	`lahti
jälle	`jälle
ning	ning
siis	siis
see	se
tüdruk	tüdruk
hüppama	üppand
aken	`aknast
välja	`välja
ning	ning
jooksma	`joosis
mets	`metsa
öö	`ööse
ja	ja
siis	siis
tema	ta
olema	oli
mets	`metsi
kaudu	kaudu
tulema	tulnd
seni	sõni
kui	kut
tema	ta
olema	oli
siin	sii
Kahtla	`Kahtla
küla	külase
saama	saand
ja	ja
siis	siis
mets	metsa
ääres	`ääres
üks	üks
maja	maea
olema	oli
siis	siis
tema	ta
olema	oli
seal	sääl
pelg	`pelgus
olema	olnd
nii+kaua	nii+kauwa
kui	kui
mitu	müttu
nädal	nädalt
no	no
kui	kui
kaua	kauwa
siis	siis
ikka	`ikka
sina	sa
pelg	`pelgus
olema	oled
sina	sa
pidama	pead
välja	`välja
tulema	tulema
ja	ja
leib	`leiba
oma	omale
teenima	`teenima
hakkama	`akkama
jälle	`jälle
siis	siis
tulema	tuli
välja	`välja
ja	ja
siis	siis
võtma	`võetti
kätte	käde
ning	ning
jälle	`jälle
panema	`pandi
laskma	`lasti
peksa	`peksa
andma	anda
et	et
miks	miks
tema	ta
es	s
minema	lähe
sinna	`sönna
härra	ärra
juurde	`juure
mitte	`mette
ja	ja
siis	siis
Kahtla	`Kahtla
mõis	`mõisa
mina	ma
käima	käisi
eile	`eile
sealt	sält
õu	õuwest
läbi	läbi
ja	ja
mina	ma
vaatama	`voattasi
see	seda
kust	kust
Kahtla	`Kahtla
mõis	`mõisa
kaev	kao
hark	argi
all	all
seal	sääl
olema	oli
suur	sur
peksu+pink	peksi+pink
ülal	ülal
olema	olnd
ja	ja
siis	siss
sinna	`sönna
pink	pingi
peale	`peale
panema	`pandud
siduma	`seottud
siis	siis
kinni	`kinni
ning	ning
viis+kümmend	viis+kümmend
naks	`naksu
peks	`peksu
et	et
es	s
minema	lähe
härra	ärrale
mitte	`mette
ja	ja
siis	siis
üks	üks
õ	õ
mees	mees
olema	oli
seal	sääl
peksja	`peksja
olema	`olnd
see	see
olema	oli
siis	siis
ka	koo
ütlema	`ütlend
sedasi	sedasi
et	et
karjuma	karju
aga	aga
hästi	`easti
mina	ma
ep	p
lööma	löö
nii	nii
kõva	kõva
ühti	üht
sina	sind
mitte	`mette
et	et
karjuma	karju
hästi	`easti
et	et
siis	siis
olema	olid
pealt+vaataja	pealt+`vaattaead
puha	puhas
et	et
pidama	pidi
nii	nii
nii	nii
hirmus	irmus
kõvali	kõvali
lööma	`lööma
ning	ning
siis	siis
olema	oli
viis+kümmend	viis+kümmend
hoop	`ooppi
andma	`anttud
peksa	`peksa
selle+pärast	selle+bärast
et	et
es	s
minema	lähe
härra	ärrale
mitte	`mette
ja	ja
siis	siss
tema	tall
see	sellel
tüdruk	tüdrukkul
olema	oli
peig+mees	peig+mees
ka	koo
ikka	`ikka
oma	omal
teadma	tääda
ning	ning
peig+mees	peig+mees
vaatama	vaadand
pealt	pealt
kui	kui
pruut	`pruutti
olema	oli
peksma	peksettud
ning	ning
peig+mees	peig+mees
võtma	võtnd
võtma	võtnd
siis	siis
kohe	kohe
jälle	`jälle
oma	omale
naine	naiseks
see	selle
ja	ja
siis	siis
saama	sai
sedasi	sädäsi
härra	ärrast
lahti	`lahti
et	et
muidu	muidu
olema	oleks
uuesti	uijest
tagasi	tagasi
viima	`viidud
Kangru+selja	`Kangru+`selga
ja	ja
kere+täis	kere+täis
peksa	`peksa
ka	kaa
andma	`antti
veel	veel
meie	me
ise	ise
püüdma	`püitsime
siis	siis
olema	oli
sedasi	sedasi
et	et
no	no
iga+üks	iga+ühel
olema	oli
oma	omal
võrk	võrgud
neli	neli
viis	viis
viis	viis
võrk	`võrkku
olema	oli
mees	mehed
minema	läksid
õhtu	`õhtu
meri	merele
laskma	lasid
võrk	võrgud
meri	`merde
ja	ja
siis	siis
magama	magasid
paat	`paattidega
see	nende
puu+aer	puu+`aerudega
nemad	nad
sõudma	`sõutsid
