plats	`laatside
ja	ja
saama	sain
mast	mas'ti
peale	`piäle
panema	panna
ja	ja
pahl	pahla
sisse	`sisse
ja	ja
minema	lähän
soot	suõdiga
taha	taha
ots	`otsa
rool	`rooli
ja	ja
siis	sis
laev	`laõva
minema	minemä
laadung	ladungiga
e	e
esimene	esimese
raks	raksuga
viima	viis
juba	juba
soot	soodi
käsi	käest
ära	ää
tema	tall
tema	ta
liig	liig
vali	vali
olema	oli
suitsema	`suitsis
vesi	vesi
kui	ku
tulema	tuli
siis	sis
viima	viis
soot	suõdi
ära	ää
siis	sis
mina	mia
virutama	vjõruttasi
sealt	siält
kolm	kolm
neli	neli
kivi	kivi
sisse	`sisse
siis	sis
siis	sis
minema	läksi
püüdma	`püüdmä
see	sedä
soot	`suõtti
jälle	`jälle
saama	sai
see	selle
soot	suõdiga
taha	taha
ots	`otsa
nii	ni
kaks	kaks
kolm	kolm
kord	`korda
nolpsama	`nolpsas
alt	alt
külg	kül'jest
ning	ning
minema	läks
põhi	`põhja
juba	juba
vesi	vesi
lendama	`lindis
otse	otsõ
alt	alt
külg	kül'jest
vajutama	`vaottas
e	e
seal	siäl
parras	`parda
vesi	vee
alla	`alla
laine	`lainõga
laine	laõnõ
olema	oli
otse	otsõ
siis	siis
tuiskama	`tuiskas
üle	üle
pea	piä
et	ett
aga	aga
natuke	nattukke
mast	mas'ti
ots	`otsa
jääma	jäi
vesi	vee
peale	`piäle
olema	oli
puri	purjut
jääma	jäi
liperdama	lipperdämä
see	sie
pidama	pidäs
mast	mas'ti
püsti	`püstü
see	see
puri	purju
joon	juen
vesi	veess
võtma	võttas
mitte	mtte
tõstma	tõstas
üles	üless
siis	siis
olema	oli
nõnda	nda
torm	torm
et	ett
ju	jo
viima	viis
ikka	`ikka
lingu	`lingu
vesi	vee
peale	`piäle
seal	siäl
mast	mas'ti
ots	`otsass
paat	puät
olema	oli
põhi	`põhjas
juba	juba
üks	üks
teine	teene
laev	laõ
olema	oli
ka	kaa
seal	siäl
kivi	kive
laadima	`laat'mas
veel	viel
need	nied
mees	mihed
olema	olid
laev	`laõvas
ja	ja
need	need
nägema	nägid
ära	ää
et	et
mina	mio
paat	puät
põhi	`põhja
minema	läks
tulema	tulid
mina	miä
nägema	nägi
küll	küll
et	ett
kargama	`kargasid
kaks	kaks
tükk	`tükkü
paat	`paatti
ja	ja
tulema	tulid
mina	mio
juurde	`juurõ
ja	ja
tõmbama	tõmbasid
mina	mio
ka	kua
paat	`puaatti
ja	ja
ja	ja
siis	siis
e	e
mina	mio
mast	mas'ti
võtma	`võt'sid
ka	kua
puri	`purjuga
ligi	ligi
ja	ja
tõmbama	`tõmbasid
minema	läksime
siis	siis
laev	`laõva
sinna	`sjõnna
laev	`laõva
siis	sis
minema	läksime
sinna	`sjõnna
laev	`laõva
ja	ja
see	sie
hakkama	`akkas
kohe	kohõ
põhi	`põhja
kolkima	`kol'kma
laadung	ladungid
olema	oli
juba	juba
sees	siss
ning	ning
vesi	vee
võtma	`võt'tis
maha	maha
laine	laõnõ
minema	läks
sisse	`sisse
suur	suur
laine	laõnõ
olema	oli
lendama	`lendäv
torm	torm
naa	na
torm	torm
olema	oli
et	et
e	e
Talina	Talinä
Mihkel	`Mihkel
tulema	tuli
ka	kua
paat	puadiga
ette	ede
mina	mjõnd
sinna	`sinna
laev	laõva
äärde	`iäre
ning	ning
rookima	`rookkis
kõik	kõik
kivi	kivid
vesi	`veesse
sinna	`sjõnna
laev	laõva
äärde	`iäre
saama+ki	`suaski
enam	enäm
laev	laõva
tekk	tekki
äärde	`iärde
naa	na
torm	torm
olema	oli
otse	otsõ
tõmbama	`tõmbas
oma	oma
seliti	selitti
paat	`puatti
nii	ni
kivi	kiviga
teadma	tiäd
tõmbama	`tõmbas
naksti	`naksti
sest	sest
paat	puät
paat	puät
olema	oli
seal	siäl
laev	laõva
ääres	`iäres
ja	ja
ja	ja
siis	sis
tõmbama	`tõmbas
e	e
e	e
paat	puadiga
naks	naks
ning	ning
naks	naks
see	sedä
viksisti	viksist
et	et
vana	vana
tõmbama	`tõmbas
mitu	mjõttu
kord	`korda
seliti	selitti
paat	`puatti
ning	ning
vana	vanal
aitama	`aittass
enam	enäm
muu	muud
keegi	kedägi
vana	vana
ajama	aas
paat	puadist
kivi	kivid
kõik	kõik
välja+poole	välja+ppuole
külg	`külge
paat	puadist
välja	`vällä
ning	ning
laskma	`las'ti
paat	puät
taga+ots	taha+`otsa
ning	ning
siis	siis
e	e
seal	siäl
olema	olid
Andruse	Andruse
Pärt	Pärt
olema	oli
peal	piäl
ning	ning
Siiba	Siiba
ja	ja
Talina	Taline
Mihkel	`Mihkel
ja	ja
üks	`ühte
mina	mia
ei	i
mäletama	mälettä
kes	kis
seal	säl
üks	üks
olema	oli
need	nied
mees	mehed
need	nied
viimaks	viimes
hakkama	`akkas
laev	laõ
põhi	`põhja
kolkima	`kol'kma
siis	siis
käima	käisime
ruum	`ruumis
kord	korra
kivi	kive
kolkima	`kol'kmas
sinna	sinna
ots	`otsa
see	see
viimaks	`viimes
hakkama	`akkas
andma	`anma
esi+ots	iest+otsast
ning	ning
taga+ots	tagant+otsast
siis	sis
nägema	nägime
et	t
aitama	`aitta
enam	enäm
keegi	kedägi
vesi	vee
võtma	`võt'tis
maha	maha
ning	ning
laev	laõ
jääma	jäi
sedasi	sedäsi
muksuma	`muksus
muksuma	`muksus
pisi+tasa	pisi+tasa
veel	veel
ja	ja
tuisk	tuisk
käima	käüs
üle	üle
meie	`meitte
no	no
mis	miss
kahisema	kahõsõs
laine	laõnõ
aga	aga
sealt	siält
pehme	`pehme
põhi	põhõ
olema	oli
ja	ja
vesi	vee
võtma	`võt'tis
maha	maha
laev	laõva
pealt	piält
vaga	vaga
mina	mia
oma	oma
laev	`laõva
saama+ki	`suaski
ennema	ennemä
kui	ku
hommik	umikku
siis	siis
minema	läksi
oma	oma
laev	`laõva
sealt	siält
võtma	`võt'sime
siis	sis
teine	teese
päev	pääva
hea	iä
ilm	jõlm
olema	oli
ja	ja
kivi+hang	kivi+ang
olema	oli
püsti	`püstü
seal	siäl
kus	kuss
paat	puät
olema	oli
mina	miol
see	sie
töö	tüe
riist	riist
see	selle
ots	ots
varb	varva
ots	ots
olema	oli
vesi	vee
peal	piäl
ja	ja
kiskuma	`kjõssimõ
kivi	kivid
välja	`vällä
seest	sist
ja	ja
tõmbama	`tõmbasime
üles	üless
paat	puadi
hang	`angõga
kiskuma	`kjõssimõ
kivi	kivid
välja	`vällä
jah	jahh
ja	ja
teine	teesed
teine	teesed
olema	olid
öö	üe
otsa	`otsa
oma	omal
kh	khh
oma	oma
laev	laõvast
kivi	kive
välja	`vällä
rookima	ruokn
hakkama	akkan
põhi	`põhja
tapma	`tapma
ka	kua
seda+samuti	se+samudi
nagu	nagu
see	sie
teine	teene
olema	oli
see	sie
vana	vana
laev	laõ
olema	oli
noh	nohh
nemad	näd
kartma	`kartsid
et	et
tapma	tappab
puruks	puruks
aga	aga
olema	oln
kivi	kivid
välja	`vällä
laev	laõvast
ligi	ligi
pool	puõlõd
kivi	kivid
laev	laõ
olema	oli
laadung	ladungis
juba	juba
öö	üe
otsa	`otsa
kupatama	kuppattasid
ikka	`ikka
esi+ots	ede+`otsa
ja	ja
suits	suits
käima	käün
oma	omal
üle	üle
pea	piä
jah	jahh
sihuke	`seokkõ
asi	asi
olema	oli
siis	siis
kivi	kivid
või	või
kivi	kivid
e	e
kaup+mees	kaup+mehed
ostma	`ostsid
Riia	`Riiges
maksma	maksõtti
seal	sial
hea	iäd
hind	`jõnda
maksma	maksõtti
need	nende
kivi	kivede
eest	iest
raha	raha
saama	sai
küll	küll
aga	a
mina	mia
mäletama	mälettä
ühtigi	`öhtigi
mihuke	`mioksed
mees	mehed
need	nied
ostja	`ostajad
seal	siäl
olema	olid
käsitsi	käsitsi
tatska	`tat'skutte
peale	pääle
panema	`pan'di
ja	jaa
siis	siis
linna+mees	ljõnna+mehed
võtma	`võt'sime
kärutaja	kjäruttaead
need	nied
kärutama	kjäruttasid
mägi	`mäele
ja	ja
maksma	maksetti
hea	iäd
raha	raha
ka	kua
saama	sai
mitu	mjõttu
rubla	rubla
päev	`päävis
seal	sial
ka	ka
ei	ei
kärutama	kjäruttas
kurat	kurat
tööline	`tüelisi
olema	oli
võtma	`võtta
küll	küll
seal	säl
vahel	vahõl
ju	juu
võtma	võttass
ise	ise
ka	kua
kivi	kive
välja	`vällä
et	t
laskma	lasimõ
vahel	vahel
tervenisti	`terven
küll	küll
ka	kua
välja	`välla
võtma	`võtta
kivi	kivid
laev	laõvast
kuidas	kudass
tuju	tueu
olema	oli
vahel	vahel
saama	sai
siin	sin
tugevasti	tugõvast
töö	tüed
saama	sai
tegema	teha
laadmis+töö	`laadmis+tüe
see	se
saama	sai
alles	alles
minema	minnä
siis	siss
tahtma	tahass
töö	tües
hakkama	akkatta
mitte	mtte
maksma	maksis
mõni	mõnõ
rubla	rubla
ära	ää
ning	ning
vahel	vahõl
võtma	`võt'tis
mõni	mõni
üksi	üksi
vahel	vahõl
võtma	`võetti
terve	terve
kamp	kamba
peale	piale
ja	ja
kõik	kõik
sihuke	siukkest
asi	`as'ja
olema	oli
jah	jahh
Liibavi	`Liibu
viima	viisi
e	e
Vindavi	`Vindavi
mina	mia
viima	viisi
aga	aga
Liibavi	`Liibu
mina	mia
ei	i
viima	viiss
Vindavi	`Vindavi
küll	küll
kui	kui
see	sedä
suur	suurt
kivi	kivi
sild	`sjõlda
tegema	`tehti
seal	siäl
üks+kord	ühe+korra
tegema	`tehti
üks	üks
suur	suur
sild	sjõlt
siis	siis
Kihnu	Kihnu
laev	laõvad
vedama	vädäsid
kõik	kõik
sinna	`sjõnna
Vindavi	`Vindavi
kivi	kive
see	sedä
tegema	`tehti
tsaar	tsaari
aeg	`aõgas
tsaar	tsaari
aeg	`aõgu
olema	oli
see	se
Vindavi	`Vindavi
suur	suur
sild	sjõld
tegema	`tehti
raud+tee	rau+tte
sild	sjõld
tegema	`tehti
üle	üle
üle	üle
Vindavi	`Vindavi
jõgi	jõe
puu	puu
puu	puu
jõgi	jõgi
olema	oli
puu	puu
sild	sjõld
olema	oli
siis	sis
seal	siäl
aga	aga
raud+tee	rau+tte
olema	olõss
need	nied
see	se
Saare+maa	Suarõ+malt
ja	ja
igalt+poolt	igält+puolt
Muhu	Muhu
väin	väenäst
ja	ja
Saare+maa	Saarõ+malt
siit	siit
alt	alt
Riia	Riija
laht	lahõst
siit	siit
saama	sai
kõik	kõõgist
tooma	`toodud
Vätta	`Vättä
All	Al'list
ja	ja
Abruka	Abrukkast
ja	ja
iga	igält
poolt	puolt
siit	siit
Muhu	Muhu
väin	väenäst
kah	kahh
siit	siit
Saare+maa	Saarõ+ma
sealt	siält
e	e
Soela	`Suela
rand	rannast
ja	ja
ja	ja
siis	siis
e	e
ümber	`ümber
Muhu	Muhu
sealt	siält
tagant	tagant
kõik	kõegist
saama	sai
tooma	`toodud
kivi	kive
Hiiu+maa	Iiju+ma
e	e
saar	saarttõst
ja	ja
mõni	mõnõdõs
koht	`kohtõs
keelama	`kieltti
ka	kua
Saare+maa	Suarõ+mal
üks+kord	ühe+gorra
üks	üks
mõisnik	`mõisnik
keelama	`kielis
ka	kua
meie	mee
andma	`an'tsime
kolm	kolm
rubla	rubla
tema	`talle
see	selle
eest	eest
siis	siss
laadung	ladungi
eest	eest
laskma	`las'kis
ikka	`ikka
täis	täüs
panema	`panna
mõni	mõnõs
koht	`kohtes
ju	ju
keelama	`kieltsid
ka	kua
rohkem	`rohkõm
kurat	kurat
siin	sii
e	e
Muhu	Muhu
väin	`väinäs
olema	oli
üks	ükss
üks	üks
Soo+äär	Suo+är
mis	miss
kurat	kuradi
olema	oli
see	sie
olema	oli
üks	üks
Muhu	Muhu
mõisnik	`mõisnikku
jagu	jagu
või	või
kes	kelle
tema	ta
olema	oli
siis	siss
seal	siäl
ikka	`ikka
olema	olid
mitu	`mjõtmõd
mees	mehed
e	e
see	sellegä
käima	käisid
kohus+ki	`kohtuskid
veel	viel
kivi	kivi
laadimine	`laadmise
pärast	päräst
aga	aga
vahel	vahõl
ikka	ekka
kohus	kohos
mõistma	`mõistis
e	e
ikka	ikka
sedasi	sedäsi
et	et
kivi	kive
võima	võib
ikka	ikka
võtma	`võtta
vesi	veest
meri	merest
siis	ss
trahvima	`trahvi
keegi	`kiegi
kuidas	kudas
olema	oli
oh	oohh
paat	paat
paat	paadid
olema	olid
iga+üks	iga+ühel
olema	oli
üks	üks
paat	paat'
väike	`väikke
paat	paat'
ja	ja
see	sellegä
viima	viidi
laev	`laõva
kivi	kivid
üks	üks
mees	mies
olema	oli
ikka	`ikka
iga+üks	egä+üks
olema	oli
ise	ise
oma	oma
paat	paadiga
ja	ja
laev	laõval
olema	oli
siis	siis
neli	neli
mees	miest
neli	nel'jä
paat	paadiga
laadima	`laõtti
vahel	vahõl
võtma	`võetti
käsitsi	käsitsi
vesi	veest
siis	siis
olema	olid
vesi	vees
ja	ja
kui	ku
vesi	vesi
külm	külm
olema	oli
sügav	sügäväst
saama	sai
võtma	`võtta
siis	sis
või	või
hang	anguga
sedasi	sedäsi
kivi+hang	kivi+anguga
kivi+hang	kivi+ang
või	või
kaks	kaks
haru	aru
ja	ja
noh	noh
pahl	pahla
otsas	`otses
ja	ja
kõver	kõvõrad
sihuke	`siuksed
konks	konksod
jah	jahh
jah	jahh
ning	ning
siis	sis
tõmbama	`tõmba
paat	`paatti
ise	ise
taga+ots	taga+`otsas
püsti	`püstü
luuk	luugi
peal	piäl
siis	sis
olema	oli
ja	ja
naksti	`naksti
tõmbama	`tõmba
üles	üles
ja	ja
sööstma	süestä
sinna	sjõnna
kivi	kivi
hunnik	unikkussõ
noh	nohh
ikka	`ikka
see	sie
see	sie
õppima	`õepmatta
ikka	`ikka
ei	ei
saama	sua
ennema	`ennemä
see	sedä
vilets	vilõts
see	se
värk	vär'k
kes	kiss
ikka	`ikka
õppima	õepn
mees	mies
olema	onn
või	või
õppima	`õepmatta
mees	mies
siis	siis
jääma	jääd
ikka	`ikka
oma	oma
töö	`tüegä
taha	taha
ka	kua
teine	teesest
küll	küll
harjutamine	arjuttamist
tahtma	tahab
ikka	ikka
küll	küll
pikk	pitk
kui	kui
kaheksa	kahõksa
noh	nohh
see	sellegä
saama	sai
siis	siis
võtma	`võtta
teine	teisi
aga	aga
kaunis	kaoniss
kaunis	kaonis
sügav	sügäv
ikka	`ikka
olema	oli
vesi	vesi
noo	noo
jah	jahh
viis	*viije
jalg	jala
pealt	piält
küll	küll
ikka	ikka
nii	niij
ikka	`ikka
et	t
et	ett
pea+nupp	piä+nupp
ikka	`ikka
olema	olõks
peal	piäl
ulatuma	ulattun
olema	olõs
seest	sist
võtma	võtn
Jaani	Jaani
Mihkel	`Mihkel
olema	oli
suur	suur
mees	mies
vana	vana
võtma	`võt'tis
ikka	ikka
sealt	siält
kust	kust
teine	tõõsõd
hang	`angõga
võtma	`võt'sid
jah	jahh
vana	vana
siis	siis
oma	oma
paat	puadi
täis	täis
sealt	siält
naksti	`naksti
ning	ning
ning	ning
olema	oli
ennema	ennemä
täis	täüs
ka	kua
no	no
kui	kui
teine	tõõsõd
ka	kua
tema	tämäl
olema	oli
sihuke	`siokkõ
tema	tämäl
olema	oli
sihuke	`siokkõ
pisike	pisikke
hang	ang
ka	kua
siis	s
seest	sist
siis	siis
tema	tä
muidu	muõdu
vaatama	vatta
hang	`anguga
ju	juu
kui	ku
paat	`puattis
sees	sies
olema	olõd
siis	sis
pidama	piäd
iganes	igänes
seadma	`siädmä
ning	ning
aga	aga
tema	tämä
vesi	vees
seal	siäl
naksti	`naksti
olema	oli
ajama	aas
jalg	jalaga
veel	viel
peale	`piäle
ja	ja
sööstma	süestis
paat	`puatti
sedasi	sedäsi
need	nied
jah	jahh
need	nied
tooma	`tuõdi
Muratsi	Muratsi
mõis	`mõisast
Muratsi	Muratsi
mõis	mõisa
mõis	mõisa
parun	paruni
käest	käst
sealt	siält
seal	siäl
mis	mis
tema	tä
see	se
laht	laht
seal	siäl
olema	oli
seal	siäl
Kures+saare	Kurõ+ssarõs
Kures+saare	Kurõ+ssarõs
siin+pool	sii+ppuõl
Kures+saare	Kurõ+ssaart
vat	vat
ei	ei
mäletama+ki	mälättägi
mis	miss
laht	laht
see	sie
olema	oli
Sepa+maa	Seppä+ma
laht	laht
olema	oli
olema	oli
teine	teene
ning	ning
teine	teene
olema	oli
vist	vist
seal	säl
e	e
see	selle
laid	lao
ääres	iäres
seal	säl
olema	oli
Tulpe	`Tulba
laid	`laidõ
all	all
jah	jahh
sealt	siält
Tulpe	Tulba
laid	lao
äärest	iärest
sealt	siält
sealt	siält
sealt	siält
alt	alt
keerama	`kieräsid
mina	miä
ei	i
mäletama+ki	mälettägi
mis	miss
see	sie
laht	laht
olema	oli
olema	oli
see	sie
Tulpe	Tulba
või	või
Sepa+maa	Seppä+ma
laht	laht
olema	oli
teine	teene
ei	ei
tema	tä
vist	vist
olema	oli
mäletama	mälettä
ei	ei
mäletama	mälettä
enam	enam
ka	kua
mis	miss
see	selle
laht	lahõ
nimi	nimi
õieti	õijetti
just	just
olema	oli
no	no
Tulpe	Tulba
ja	ja
Muratsi	Muratsi
vahelt	vahõlt
sealt	siält
saama	sai
võtma	`võtta
ja	jaa
raud+kivi	raut+kivä
saama	sai
kord	korra
sealt	siält
Tulpe	Tulba
laid	laost
ka	kua
võtma	`võtta
sealt	siält
ei	ei
keelama	`kielä
es	ss
keegi	`kiegi
sealt	siält
sealt	siält
e	e
olema	oli
prii	prii
pärast	pärast
ikka	ikka
võtma	`võtta
kõik	`kõegist
Abruka	Abrukkast
ja	ja
kõik	kõegist
laskma	`las'ti
võtma	`võtta
maa	maalt
ja	ja
paas	`puasi
laadima	`laetti
ka	kua
oma	oma
e	e
saarlane	`suarlasõd
laadima	`laatsid
oma	oma
praam	`praamõga
Muratsi	Muratsisse
ennema	ennemä
aga	aga
viimaks	`viimes
kihnlane	`kihnlasõd
hakkama	akkasid
ise	ise
oma	oma
paat	`puättõga
laadima	`laadima
ning	ning
siis	sis
siis	sis
suure+maa	suurõ+maa
suure+maa	suurõ+maa
mees	mehed
vedama	vädäsid
Tõsta+maa	`Tõsta+ma
mees	mehed
vedama	vädäsid
suur	suurdõ
laev	`laõvõga
sealt	siält
siis	sis
need	nied
mees	mehed
ise	ise
Muratsi	Muratsi
mees	mehed
e	e
need	nied
laadima	`laatsid
suur	suurõd
praam	praamid
olema	olid
need	neid
olema	oli
kaks	kaks
kolm	kolm
mees	miest
seal	siäl
praam	`praamis
ja	ja
tooma	tõid
suur	suurõ
maa+ilma	`ma+ilma
ports	portsu
peale	`piäle
õ	õ
kihnlane	`kihnlasõd
laadima	laatsid
oma	oma
paat	`puättega
iga+üks	egä+üks
siis	siis
oma	oma
paat	puadiga
jah	jah
jah	jahh
see	selle
eest	iest
maksma	maksõtti
Muratsi	Muratsi
vana	vana
maksma	`maksis
see	selle
vist	vist
ise	ise
välja	`vällä
või	vei
Muratsi	Muratsi
mõisnik	`mõisnik
aga	aga
Waldhof	`Valdohv
maksma	`maksis
ikka	ikka
see	selle
mis	miss
laev	laõvaga
viima	`viidi
või	või
maksma	`maksis
siis	sis
vabrik	vabrik
kohe	kohe
see	selle
välja	`vällä
või	või
mina	mia
ei	i
mäletama	mälättä
nii	niij
et	ett
olema	oli
natuke	nattukkõ
ju	ju
tasu	tasu
ikka	`ikka
olema	oli
et	et
töö	tüe
raha	raha
ikka	`ikka
saama	sai
olema	olõ
es	ss
ootamine	`uottamist
ega	egä
vahel	vahel
olema	oli
sedasi	sedäsi
et	ett
laev	`laõvu
olema	oli
palju	paelu
siis	sis
pidama	piäd
ootama	`uõttama
kui	kui
teine	tesed
hakkama	akkatta
ise	ise
laadima	`laadma
ning	ning
nemad	nämäd
laadima	`laatsid
siis	sis
praam	`praamõga
ka	kua
teine	teisi
laev	`laõvu
jälle	`jälle
sihuke	sjoksi
suurem	suurõmi
laev	`laõvu
olema	oli
sealt	sält
tooma	`tuõdi
palju	paelu
kivi	kive
ju	ju
ei	ei
vedama	`väettä
es	ss
siis	siis
keegi	kedägid
ennema	ennemä
viimaks	`viimes
hakkama	akkatti
siin	sii
puu	puid
vedama	vädämä
Eesti	Eesti
aeg	`aõga
Tallinn	Talina
ennema	ennemä
vedama	`väettä
es	ss
keegi	kedägid
muu	muud
kivi	kivä
üksi	üksi
need	ned
olema	olid
ikka	ikka
jalg	`jalgõga
meie	mee
tegema	tegime
üks	ühe
Maasi	Maasi
laid	`lao
peal	bal
üks	ühe
laev	laõva
see	selle
sakslane	`sakslasõd
panema	panid
põlema	põlõma
tsaar	tsaari
sõda	sõea
aeg	`aõgas
Tahku+ranna	`Tahku+`randas
viis+kümmend	viis+kümmend
seitse	seetse
jalg	`jalga
olema	oli
pikk	pikk
nii	niij
et	ett
viis	viis
viis	viis
üle	üle
viis	viije
süld	süllä
kivi	kivä
olema	oli
siis	sis
siin	sii
olema	olid
teine	teesed
ka	kua
suurem	suurõma
veel	viel
kuus	kuije
seitse	`seitsme
süllane	süllätsi
ja	ja
laev	`laõvu
tonn	ton'nid
olema	olid
e	e
tonn	`ton'nõ
järgi	`järgi
olema	olid
muidugi	muõdugi
siis	siis
arvestama	arvõsta
es	ss
need	neid
tonn	`ton'na
ka	kua
keegi	`kiegi
mitte	mitte
süld	süllä
viisi	viisi
tuhat	tuhandõ
kilo	kiludõ
viisi	viisi
või	või
või	või
puud	`puudõ
viisi	`viisi
jah	jahh
süld	süld
olema	oli
süld	süld
olema	oli
tuhat	tuhat
tuhat	tuhat
puud	`puuda
noo	no
viis	viis
tuhat	tuhat
puud	`puuda
olema	oli
meie	`meittel
siis	siis
see	se
viis	viis
tuhat	tuhat
ligi	ligi
viis	viis
sada	sada
teadma	tääss
keegi	kedägi
ju	ju
mina	mia
teadma	tiä
rääkima	`riäkki
mina	mia
minema	läksi
selle+pärast	selle+bäräst
et	et
kodus	kodo
olema	oli
puudus	`puuduss
õde	õdõsi
vend	`vendi
olema	oli
kodus	kodo
veel	viel
olema	olid
mõni	mõnõd
vana	vanõmad
mõni	mõnõd
noor	nuõrõmad
saama	sua
es	ss
keegi	kedägid
sealt	siält
saama	sai
ometi	omõtti
oma	omalõ
jakk	jakki
riie+ki	riidegi
või	või
mis	miss
olema	ond
noor	nuõrõ
inimene	inimesel
tarvis	taris
suviline	`suilisõss
kaks	kaks
kolm	kolm
kuu	kuud
olema+ki	oligi
kevade	keväde
minema	läksi
Liis	Liis
surema	suri
ära	ää
sügis	sügüse
poole	puõlõ
siis	siis
tulema	tuli
koju	koo
jälle	`jälle
Liis	Liis
surema	suri
linn	`ljõnna
ära	ää
siis	siis
saama	sua
es	ss
enam	enam
olema	`olla
mitte	mtte
kodus	kodo
ju	jo
olema	olid
suur	suurõd
maa	muad
ka	kua
tegema	tehä
mina	miä
mäletama	mälettä
ühti	`ühti
mis	miss
sealt	siält
maksma	maksõtti
kuu	kuu
palk	`palkka
mina	mia
mäletama	mälettä
keegi	kedägi
enam	enämb
raha	raha
palk	`palkka
raha	raha
palk	`palkka
maksma	maksõtti
ei	eei
andma	antta
raha	raha
kuu	kuu
palk	palk
olema	oli
ning	ning
kuu	kuu
palk	palga
raha	raha
andma	`an'tti
siis	siis
nõudma	`nõutti
koju	koo
kui	kui
Liis	Liis
ära	ää
surema	suri
siis	sis
olema	olõ
es	ss
kodus	kodo
enam	enam
mitte	mtte
muu	muud
e	e
inimene	inimest
siis	ss
mina	mia
juba	juba
olema	oli
jälle	`jälle
tahe	tahedam
ning	ning
seda+samuti	sidä+samutte
minema	läks
mina	mia
ostma	`os'sin
sealt	siält
vana	vana
saun	saana
vana	vana
eit	eide
käest	käest
üks	ühe
triibuline	riibulise
kört	kördi
see	selle
raha	raha
eest	iest
mis	mis
mina	miä
teenima	`tiensin
ja	ja
mina	miolõ
andma	`an'tti
raha	raha
inimene	inimesed
või	või
mina	mia
teadma	tiä
ühti	ühti
mis	mis
nemad	näd
sealt	siält
saama	said
teine	tõõsed
inimene	inimesed
mina	mia
olema	põlõ
suur	suurt
olema	oln
meie	meil
olema	olid
kodus	kodo
ise	ise
maa	muad
olema	oli
kodus	kodo
töö	tüed
küll	küll
aga	aga
siis	siis
olema	oli
sihuke	`siokkõ
juhus	juhus
et	ett
saama	sai
kord	korra
minema	`minnä
ning	ning
minema	läksi
ning	ning
tulema+ki	tuligid
ära	äe
jälle	`jälle
Liis	Liiss
jääma	jäi
linn	`ljõnna
see	sie
surema	suri
sinna	`sjõnna
maha	maha
e	e
tooma	`tuõdi
ära	ää
jälle	`jälle
sealt	siält
mina	mia
teadma	tiä
teine	teestest
keegi	kedägi
meie	mie
olema	olimõ
vähe	vähä
võõras	võeras
Kihnu	Kihnu
kirik	kirikku
härra	ärrä
ees	ies
olema	oli
üks	ühe
aasta	`aasta
nõnda	nda
palju	paõlu
mina	mia
olema	olõ
nüüd	nd
võõras	võerast
teenitma	tienittüd
ikka	ikka
oma	oma
kodus	kodo
ei	ei
maksma	maksa
kirik	kirikku
härra	ärrä
maksma	`maksis
kõik	`kõikki
mis	miss
