ise	ise
ja	ja
mina	mina
pidama	pid'in
kukkuma	`kukkuma
ja	ja
kukkuma+ki	`kukkusingi
sinna	`sinna
tema	täma
raiumine	`raijumise
ette	`ette
jaa	jaa
aga	aga
see	sest
olema	õl'i
veel	viel
õnn	õn'n
et	et
see	se
kirves	`kerve
tera	tera
ots	õts
üksi+päini	üksi+bääne
lõikama	`leikkas
mina	mull
riie	`riided
katki	`kat'ki
ja	ja
puutuma	`puuttus
ihu	ihusse
aga	aga
olema	õleks
tema	ta
mina	mulle
rohkem	`rohkemb
siis	siis
olema	õleks
mina	mull
käsi	kää
maha	maha
lööma	lüönd
jaa	jaa
ja	ja
siis	siis
tegema	teime
ikka	`ikke
need	neid
peerg	`pierga
ja	ja
ja	ja
tegema	tegime
aga	aga
käsi	käs'i
jooksma	`juoksis
enam	enamb
ei	ei
ei	ei
tihkuma	`tihkund
keegi	kedagi
siis	siis
tulema	tul'ime
see	selle
uhhaa	uhh`aaga
kodu	kodu
ja	ja
hakkama	`akkasime
käsi	kätt
parandama	parandama
ja	ja
jah	jahh
ei	ei
saama+ki	`soantki
jah	jahh
aga	aga
käsi	käs'i
saama	sai
terve	`tervest
mina	ma
ei	i
teadma	tia
kas	kas
mina	mul
olema	on
praegu	`praega
see	sie
arm	ar'm
pidama	piab
alles	alles
olema	õlema
arm	ar'm
arm	ar'm
ei	ei
teadma	tia
kas	kass
olema	onn
vahest	vahest
teine	teine
käsi	käs'i
olema	põle
meel	mieles
tema	ta
olema	õl'i
küll	küll
seisma	`seisis
kaua	kauwa
nägema	nää
vat	vat
mina	mina
kukkuma	`kukkusin
ja	ja
see	see
käsi+vars	kää+vars
minema	läks
sinna	sinna
sama	sama
raiumine	`raijumise
ligidale	ligidalle
nüüd	nüd
olema	oleks
see	see
kirves	`kerve
tera	tera
kaugemal	kaugemal
siis	siss
käsi	käsi
maas	maas
aga	aga
see	se
kirves	`kerve
nurk	nurk
lõikama	`leikkas
mina	mull
riie	`riided
kõik	kõik
katki	`kat'ki
ja	ja
ja	ja
siit	siit
tema	ta
kiskuma	`kiskus
kõik	kõik
laiali	laijali
ja	ja
see	sie
olema	on
tõesti	`tõeste
sündima	`sün'dind
lugu	lugu
jaah	jaah
ja	ja
siis	siis
tulema	tul'ime
ära	ära
ja	ja
see	sie
asi	as'i
mina	mull
seisma	seisab
veel	viel
meel	mieles
aga	aga
noh	noh
ei	ei
enam	enam
ei	ei
tahtma	taha
külm	külm
hakkama	`akkab
jah	jahh
külm	kül'm
hakkama	`akkab
jah	jahh
ja	ja
mina	ma
nagu	nagu
väsima	väs'in
ära	äe
vat	vat
mina	ma
iga	iga
aasta	`aassaga
nagu	nagu
kukkuma	kukkub
ikka	ikke
see	se
vanadus	vanadus
ligemale	ligemalle
kaugemale	`kaugemalle
isa	isa
ehitama	ehittas
aga	aga
isa	isa
surema	suri
ära	ära
siis	siss
mina	mina
siis	siss
isa	isa
ja	ja
vend	vennaga
siis	siss
kaks	kaks
poeg	`poega
tema	tall
olema	õl'i
siis	siss
isa	isa
tegema	tegi
testament	tessamen'di
ja	ja
koht	koht
pooleks	`puoless
ja	ja
varandus	varandus
pooleks	`puoless
kõik	kõik
ja	ja
siis	siss
siis	siss
oma+vahel	oma+vahel
leppima	`leppisime
käima	käisime
peale	piale
isa	isa
surm	`surma
notar	nott`aariuse
juures	juures
seal	sial
siis	siss
leppima	`leppisime
ära	ära
ja	ja
ja	ja
maksma	`maksime
seal	sial
siis	siss
need	ned
need	nied
maks	maksud
mis	mes
seal	sial
tulema	tulevad
nagu	nagu
need	ned
testament	testamen'did
ja	ja
ah	ahh
pagan	pagan
ei	ei
ei	ei
saama	sua
enam	enam
ei	ei
saama	saa
enam	enam
rääkima	`riakkida
aga	aga
siis	siss
notar	nott`aarius
kirjutama	kirjuttas
üles	üless
ja	ja
pidama	pidime
tema	temale
maksma	`maksma
siis	siis
viis+tuhat	viis+tuhat
see	selle
eest	iest
ja	ja
siis	siis
maja	maead
jääma	jäid
mina	`mulle
ja	ja
tema	temale
jääma	jäi
liikuma	`liikkuv
varandus	varandus
ja	ja
siis	siis
mina	mena
remontima	re`mon'tisin
see	seda
maja	maea
kõik	kõik
uuesti	uuwest
tegema	tegin
tema	talle
uus	uuwe
katus	kattusse
enne	enne
olema	õl'i
õlg+katus	õle+kattus
aga	aga
siis	siss
mina	mina
tegema	tegin
pilpa+katus	`pilppa+kattusse
see	see
vana	vana
mis	mis
seal	seal
olema	onn
aga	aga
nüüd	nüüd
hakkama	`akkan
jälle	jälle
uus	uut
tegema	tegema
nüüd	nüd
poeg	pueg
tegema	teb
jälle	jälle
uus	uut
katus	kattust
siis	siis
mina	mea
tegema	tegin
uus	uuwed
aken	`aknad
kõik	kõik
ja	ja
laud	`laudadega
lööma	lõin
maja	maea
ära	ära
ja	ja
väike	`väisse
klaas+trepp	klaas+treppi
tegema	tegin
ja	ja
kõik	kõik
tore	tore
maja	maea
olema	õl'i
kange	`kange
maja	maea
olema	õl'i
jah	jahh
ei	eij
olema	õld
noh	nohh
see	see
praegu	`paergu
tema	ta
olema	onn
ilma	ilma
korsten	korstnatta
ilma	ilma
korsten	korstnatta
nagu	nagu
kumm	kumm
olema	onn
peal	peal
siis	siss
viima	viib
üles	üless
jaah	jaahh
see	sellega
siis	siis
leppima	`leppigu
ja	ja
jaah	jaahh
ei	ei
mina	mina
tegema	tegin
see	see
olema	onn
isa	isa
tegema	`tehtud
ait	ait
siin	siin
seal	sial
nägema	nääd
kaks	kaks
uks	ust
olema	onn
aga	aga
see	selle
tegema	tegin
mina	mina
pärast	pärast
aga	aga
need	nied
olema	onn
mina	minu
oma	omad
siis	siiss
hoone	uonettest
jääma	jäi
noor	nuoremale
vend	vennale
jääma	jäi
üks	üks
ait	ait
isa	isal
olema	õl'i
kaks	kaks
ait	`aitta
ja	ja
üks	üks
laut	laut
ja	ja
need	need
tema	tema
vedama	vedas
ära	ära
siit	siit
palk	`pal'kkidest
latt	`lat'tidest
latt	`lat'tidest
palk	pal'gid
latt	lat'tid
saama	said
pilpa+katus	`pilppa+kattusse
alla	`alla
panema	`pandud
jaah	jaahh
lõhkuma	lõhut'ti
väike	`väiksetteks
ah	aahh
toit	`toittu
noh	nohh
eks	eks
olema	õld
jälle	jälle
see	see
pliit	`pliitta
ah	ahh
suvi	suvel
kah	kahh
jah	jahh
pliit	`pliitta
siis	s
ei	eij
olema	õld
ahi	ahi
ahi	ahju
saama	sai
kütma	`kütta
nagu	nagu
enne	`enne
olema	õl'i
pidama	pidi
ise	ise
leib	`leiba
tegema	tegema
ja	ja
siis	siis
saama	sai
leib	`leiba
tegema	`tehtud
ja	ja
pliit	plitta
all	all
tegema	tegi
toit	`toittu
seal	seal
üks+kõik	üks+kõik
mis	mis
seal	seal
olema	õl'i
kõik	kõik
saama	said
seal	sial
tegema	`tehtud
ei	ei
keetma	`kietnud
väljas	väl'jas
ei	ei
keetma	`kietnud
olema	õl'i
nisuke	`niskene
suur	suurem
tegu	tegu
nagu	nagu
naiste+rahvas	naeste+`rahval
kas	kass
kas	kass
riie	`riided
pesema	pes'ivad
või	vai
no	no
siis	siss
olema	õl'i
saun	saunas
olema	õl'i
seal	sial
pidama	pidasivad
jälle	jälle
ja	ja
noh	nohh
ja	ja
õlu	õlude
tegemine	tegemist
kas	kass
olema	õl'i
ehk	ehk
siis	siis
jälle	jälle
saama	sai
nagu	nagu
väljas	väl'jas
suur	suure
pada	padaga
siis	siis
kivi	kivide
peal	peal
olema	õl'i
pada	pada
ja	ja
seda+viisi	seda+viist
siis	siis
saama	sai
jälle	`jälle
õlu	õlut
tegema	teha
see	sell
aeg	aal
kui	kui
tema	teda
vaja	vaea
olema	õl'i
kas	kass
olema	õl'id
mõni	mõned
talgud	`talgused
või	või
või	või
sõber	sõbru
ja	ja
sugulane	sugulaisi
olema	õl'i
kokku	`kokku
kutsuma	kutsuttud
eks	eks
siis	siis
kas	kass
olema	õl'i
mõni	mõn'i
sõnniku+talgud	sõn'nikku+`talgud
või	või
rukki+lõikus	`rukki+`lõikkused
või	või
olema	õl'id
heina+niit	eina+niidud
või	või
siis	siis
olema	õl'i
need	neid
palju	pal'ju
koos	koos
siis	siss
olema	õl'i
sõnniku+vedu	sõn'nikku+vedud
ja	ja
siis	siss
siis	sis
saama	sai
õlu	õlut
tegema	`tehtud
siis	siis
saama	said
linnased	linnased
enne	`enne
olema	õl'id
alati	alat'ti
valmis	`val'mis
ja	ja
ja	ja
siis	siis
saama	sai
viin	`viina
võtma	`võtta
ja	ja
jah	jahh
kali	kal'i
olema+ki	õl'igi
see	see
õlu	õlut
jaa	jaa
tema	ta
käima	käis
ja	ja
tema	ta
olema	õl'i
siis	siss
kange	`kangem
veel	veel
ja	ja
kali	kal'i
olema	õl'i
hapu	appu
kali	kal'i
kali	`kal'ja
tahtma	`tahtsid
tegema	`tehtud
ka	kaa
talv	talvel
olema	õl'i
kali	`kal'ja
ka	kaa
olema	õl'i
sees	sies
see	sie
ei	eij
olema	õld
aga	aga
õlu	õlut
olema	õl'i
siis	sis
ikka	ikke
nagu	nagu
oma	oma
tegema	`tehtud
õlu	õlut
jälle	`jälle
vanasti	vanasti
olema	õl'i
kõrts	kõrtsittes
ka	koa
tema	täda
see	seda
oma	oma
tegema	`tehtud
õlu	õlut
jah	jahh
jaa	jaa
humal	umal'it
ka	koa
ei	ei
nüüd	nüüd
mina	mina
jätma	`jät'sin
see	se
humal	umala
panemine	panemise
maha	maha
mina	ma
tegema	tegin
ka	koa
see	seda
ikka	`ikka
aga	aga
see	see
olema	on
viha	viha
ja	ja
paha	paha
see	see
ei	eij
olema	õle
hea	ia
ilma	ilma
minema	lähäb
käima	`käima
küll	küll
ei	ei
ütlema	`ütte
et	et
siis	siis
ei	ei
minema	lähä
käima	`käima
küll	küll
minema	lähäb
käima	`käima
jaah	jaahh
olema	onn
hea	paremb
olema	onn
nisuke	`niskene
hea	ia
maitse	maitse
kohe	kohe
tema	tämal
juurde	`juure
linnased	linnassed
tegema	`tehti
rukis	rukkistest
ja	ja
oder	`otradest
jaah	jaahh
kuidas	kuda
keegi	`keski
saama	sai
tegema	teha
jaah	jaahh
rukis	`rukkist
ka	kaa
kasvatama	kasvattat'ti
ära	ära
ja	ja
ja	ja
kuivatama	kuivastat'ti
ja	ja
siis	siis
need	need
olema	õl'id
valmis	`val'mis
ja	ja
viima	`viidi
veski	`ves'kile
jahvatama	jahvattat'ti
ära	ära
ja	ja
ja	ja
panema	`pan'di
aga	aga
segamini	segameni
ja	ja
igat+moodi	iga+`moodi
igat+moodi	iga+`moodi
jah	jahh
ah	ah
siis	siis
jälle	jälle
ah	ah
siis	siis
see	sellest
see	sellest
no	noo
aga	aga
mina	maa
mina	maa
ei	i
teadma	tia
just	jus't
mis	miss
põhjal	põhjal
teie	teil
meeldima	`mieldib
see	sie
jutt	jutt
see	sellest
mina	minu
ise	`enda
siis	siis
ise	`endast
siis	siis
üks	ühe
ah	ahh
vana+isa	vana+isä
no	no
jah	jahh
see	sie
see	sie
vana+isa	vana+isä
see	selle
nimi	nimi
olema	õl'i
Jaan	Jaan'
ja	ja
siis	siis
jälle	jällä
see	selle
Jaan	Jaan'i
isa	isa
olema	õl'i
Jaak	Jaak
ja	ja
mina	minu
isa	isa
olema	õl'i
Mihkel	`Mihkel
ja	ja
see	sell
aeg	aeal
ei	eij
olema+ki	olnutki
siis	sis
olema	old
nimi	nimesid
siis	sis
huikama	uegat'ti
seda+viisi	seda+viis'i
et	et
Jaak	Jaagu
poeg	poea
Jaan	Jaan'i
poeg	pueg
Mihkel	`Mihkel
mina	minu
isa	isada
jah	jahh
ja	jaa
ja	ja
siis	sis
tema	täma
olema	õl'i
veel	viel
poisi+kene	pois'ikkene
jah	jahh
kui	kui
tulema	tul'ivad
siis	sis
sinna	sinna
Lepik+saare	Leppik+saare
ja	ja
ja	ja
siis	siis
elama	elasivad
siis	siis
siis	siis
seal	siäl
no	no
aga	aga
siis	siis
tulema	tul'i
jälle	jällä
nii+sugune	neesukkene
aeg	aeg
et	et
jälle	jällä
et	et
hakkama	akkat'ti
jälle	jällä
need	neid
noh	nohh
nagu	nagu
ütlema	`üeldasse
nüüd	nüüd
et	et
liig+nimi	`liig+nimed
või	vai
hakkama	akkat'ti
need	neid
nimi	nimesid
panema	panema
mõis	`mõisa
poolt	puolt
ja	ja
siis	siis
olema	õl'i
seal	sial
jälle	jällä
see	sie
mõis	`mõisa
härra	ärra
jälle	jällä
mõisnik	`mõisnik
ja	ja
siis	siis
jälle	jällä
see	sell
aeg	aeal
siis	siis
ikka	ikke
olema	õl'i
mina	minu
jälle	jällä
see	sell
isa+isa	isa+isal
olema	õl'i
ka	ka
maa	maa
ja	jaa
ja	ja
kündma	`kün'tti
härg	`ärgadega
jah	jahh
härg	ärjäd
mina+ki	minagi
olema	õl'in
siis	siss
jälle	jällä
nemad	nad
ei	ei
mõistma	`mõistnd
muidu	muidu
jälle	`jällä
seal	säl
vagu	vau
peal	päl
käima	`käijä
kui	kui
kõndima	`kõn'disime
nii+palju	nii+bael'u
kui	kui
põld	põllu
peal	päl
käima	`käidi
kõik	kõik
mina	mina
mina	ma
ei	i
mäletama	mäletta
just	jüst
kui	kui
vana	vana
mina	ma
olema	l'in
aga	aga
käima	käis'in
härg	`ärgade
ees	ies
siis	siis
härg	ärjäd
käima	käis'id
mina	mulle
järele	järäle
siis	siis
seda+viisi	seda+vis'i
kündma	`kün'tti
jah	jahh
ja	ja
siis	siis
see	sie
mõis	`mõisa
härra	ärrä
olema	õl'i
ütlema	üeld
siis	siss
see	selle
mina	minu
isa	isa
isa	isale
et	t
et	et
kuulma	kuule
vana	vana
Jaan	Jaan'
et	et
tulema	tule
kündma	künnä
mina	minu
põld	põllu
peal	piäl
üks	üks
päev	pääv
oma	oma
härg	`ärgadega
siis	siis
mina	ma
panema	panen
sina	sulle
nimi	nim'e
ja	ja
siis	siis
siis	siis
see	sell
aeg	aal
siis	siss
hakkama	akkat'ti
need	neid
nimi	nimesid
panema	panema
ja	jaa
ja	ja
siis	siis
mina	minu
isa+isa	isa+isa
olema	õl'i
see	seda
tegema	tehnd
võtma	võtnd
oma	oma
paar	paar
härg	`ärga
ja	ja
ja	ja
minema	lähnd
see	sie
olema	õl'i
ikka	kke
enne	`enne
mina	minu
sündimine	`sün'dimist
juba	juba
ja	ja
minema	lähnd
kündma	künnud
siis	siis
üks	ühe
päev	pääva
seal	sial
üks	ühe
mõis	`mõisa
põld	põllu
peal	piäl
oma	oma
härg	`ärgadega
ja	ja
siis	siis
õhtul	`õhta
olema	on
siis	sis
härra	ärra
ütlema	üeld
et	et
nüüd	nüüd
olema	õled
sina	sa
Jaan	Jaan'
Roosendaal	Roosendaal
jah	jahh
ja	ja
siis	siis
mina	minu
isa	isa
nimi	nimi
olema	õl'i
siis	siis
Roosendaal	Roosendaal
ja	jaa
ja	ja
siis	siis
seda+viisi	seda+viis'i
olema	õl'i
noh	nohh
aga	aga
tema	täma
vend	vend
elama	elas
jälle	jällä
veel	viel
Kirbu	Kirbu
küla	küläs
ja	ja
see	sie
kuulma	`kuul'is
seda+viisi	sedä+vis'i
see	sie
olema	õl'i
minema	lähnd
härra	ärrä
juurde	`juurde
ja	ja
ütlema	`üelnd
et	et
jälle	jällä
et	et
vata	vatta
mina	maa
tahtma	tahaksin
see+sama	sedä+sama
nimi	nime
et	et
meie	meij
olema	õleme
ju	juo
vend	vennad
et	et
mina	mina
tulema	tulen
hea	ia
meel	mielega
ja	ja
kündma	künnän
ka	kaa
päev	päävä
oma	oma
härg	`ärgädega
teie	teije
põld	põllu
peal	piäl
ja	ja
ja	ja
siis	siis
teine	tõine
vend	vend
tegema	tegi
seda+samuti	sedä+samat'ti
ja	ja
siis	siis
nüüd	nüüd
olema	on
Kirbu	Kirbu
küla	küläs
olema	õl'ivad
Roosendaal	Roosendaalid
ja	ja
no	no
aga	aga
nüüd	nüüd
jälle	jällä
see	sie
Roosendaal	Roosendaal
olema	õl'i
jälle	jällä
nagu	nagu
väga	väga
niske	`neske
saksa+pärane	saksa+bärane
nimi	nimi
nüüd	nüüd
jälle	jällä
need	neid
nimi	nimesid
ei	ei
meeldima	`mieldind
enam	enamb
nüüd	nüüd
siis	siis
mina	minu
vend	vend
mina	minu
vend	vennad
need	neid
kaks	kaks
vend	`venda
mina	mull
olema	onn
need	nied
mõlemad	mõlemad
võtma	võt'tid
need	neele
siis	siis
nüüd	nüüd
Roo+saar	`Roo+saare
ja	ja
mina	mina
kaotama	`kauttasin
oma	oma
Roosendaal	Roosendaali
siis	siis
mees	mehele
minek	menekkus
ära	ära
nüüd	nüüd
mees	mee
nimi	nimi
nüüd	nüüd
tegelikult	tegel'ikkult
olema	õl'i
Õun	Õun
aga	aga
vat	vatt
eks	eks
ennemasti	ennemast
olema	õld
sakslane	`sakslased
kõik	kõik
jälle	jällä
nagu	nägu
ikka	ikke
õpetaja	õppettaead
ja	ja
metsa+härra	metsa+ärräd
ja	ja
kohtu+härra	`kohtu+ärräd
ja	ja
kõik	kõik
kõik	kõik
olema	õl'ivad
jälle	jällä
sakslane	`sakslased
ja	ja
saksa	saksa
keel	kieles
õõ+täht	õõ+`tähte
ei	eij
olema	õle
olema	onn
Aun	Aun
ja	jaa
ja	ja
panema	pan'ivad
Aun	Auna
ja	ja
meie	mee
ei	ij
olema	õle
saama+ki	`saantki
tagasi	tagasi
enam	enämb
oma	oma
Õun	`Õuna
olema+ki	õlemegi
praegu	`präegu
Aun	Aunad
edasi	edäsi
no	nuo
jah	jahh
ema	emä
olema	õl'i
elama	elas
sündima	`sün'dis
Adraku	Adrakkus
mõis	`mõisas
olema	õl'i
mõis	`mõisa
kubjas	kubja
tütar	tüttar
jah	jah
ja	ja
kasvama	`kas'vis
siis	sis
Adraku	Adrakku
küla	küläs
üles	ülesse
kust	kost
mina	minu
isa	isä
tema	teda
siis	siis
võtma	`võt'tis
Adraku	Adrakkus
olema	õl'i
mõis	`mõisa
jah	jahh
jälle	jällä
see	sell
aeg	aeal
kui	kui
kui	kui
mina	minu
ema	emä
sündima	`sün'dis
see	see
mõis	`mõisa
praegu	`präegu
olema	onn
paik	paik
olema	onn
praegu	`präegu
Adraku	Adrakkus
alles	alles
kui	kui
teie	te
Adraku	Adrakku
küla	küläs
olema	olette
käima	käind
või	või
teadma	`tiatte
tema	teda
need	neid
talu	talusid
või	vai
asi	`as'ju
seal	sial
olema	onn
üks	üks
Tamme	Tamme
talu	talu
olema	onn
Tamm	Tamm
kui	kui
minema	lähätte
siit	siit
siit	siit
kui	kui
minema	lähäb
see	sie
tee	tie
üles	ülesse
siis	siis
tulema	tuleb
suur	suur
maan+tee	`maan+die
siis	siss
keerama	`kierab
see	seda
käsi	kätt
sinna+poole	sinna+ppoole
siis	siss
siin	siin
olema	onn
siis	siss
Tamme	Tamme
talu	talu
ja	ja
siis	siis
see	seda
käsi	kätt
minema	läheb
edasi	edasi
siis	siss
seal	sial
olema	õl'i
mõis	`mõisa
seal	sial
olema	õl'i
hilja+aegu	il'ja+`aegu
veel	vel
siis	ss
olema	õl'i
sügav	sügav
kelder	`keldri
paik	paik
või	või
olema	on
praegu+ki	`praegugi
vist	vis't
veel	vel
alles	alles
kus	koss
mõis	`mõisa
kelder	`kelder
olema	õl'i
ja	ja
ja	jaa
ja	ja
siis	siss
siis	siss
see	seda
mina	minu
ema	ema
siis	sis
rääkima	`rääkkis
ikka	ikke
kui	kui
tema	tema
noor	nuor
olema	õl'i
et	ett
siis	siis
käima	käis'ivad
inimene	in'imesed
mõis	`mõisas
siis	sis
jälle	jällä
noh	nohh
päev	`päävi
tegema	tegemas
või	vai
mõis	`mõisa
töö	tües
siis	siis
ega	ega
muidu	muidu
maa	maad
ei	ei
andma	`anttud
oma	oma
maa+lapp	maa+lappi
eest	iest
pidama	pidid
töö	tüel
käima	`käima
siis	siis
jälle	jällä
olema	õl'id
niskene	`neskesed
puu	puust
tegema	`tehtud
niskene	`neskesed
ümmargune	ümmargused
ja	ja
siis	sis
need	neil
see	sie
nimi	nimi
olema	õl'i
lähker	`lähker
ütlema	`üel'di
see	sellel
olema	õl'i
auk	auk
sees	sies
ja	ja
puu+prunt	puu+prun't
ees	ies
ja	ja
siis	sis
see	sellega
võtma	`võet'ti
piim	`piimä
juurde	`juurde
siis	siss
hapu+piim	appu+`piimä
kui	kui
minema	läksiväd
mõis	`mõisa
töö	`tüesse
siis	sis
jälle	jällä
päev	päävä
aeg	aeast
siis	siss
jälle	jällä
kui	kui
töö	`tüele
minema	läksiväd
siis	siis
panema	pan'ivad
oma	õma
leib	leiva
ja	ja
need	ned
piima+lähker	piimä+`lähkrid
kõik	kõik
sinna	sinna
kelder	`keldrisse
siis	siis
mina	minu
ema	emä
rääkima	`rääkkis
et	et
meie	meije
käima	käis'ime
siis	sis
jälle	jällä
seal	sial
kelder	`keldris
siis	siis
jälle	jällä
vaatama	`vaattamas
siis	siis
need	neid
piima+lähker	piimä+`lähkrid
ja	ja
aga	aga
siis	siis
jälle	jällä
üks	üks
mees	mies
olema	õl'i
olema	õld
jälle	jällä
nii+sugune	neesukkene
et	t
see	sie
jälle	jälle
ei	eij
olema	õle
jätma	`jätnd
oma	õma
lähker	`lähkrid
sinna	sinna
kelder	`keldrisse
see	sie
olema	õl'i
võtma	võtnd
alati	alat'ti
lähker	`lähkri
ühes	ühes
ja	ja
alati	alat'ti
