"V1"	"V2"
"jakikene"	"jakkikkõisi"
"jakikene"	"jakkikkõnõ"
"jakikene"	"jakkikkõsõ"
"jalake"	"jalakkõ"
"jalake"	"jalakse"
"jalakene"	"jalakkõsõ"
"jalanõukene"	"jalanõukkõsõ"
"jaokene"	"jaokkene"
"jeesuke"	"eesukke"
"jeesuke"	"jeesukke"
"jumalake"	"jumalakke"
"jumalakene"	"jumalakkõnõ"
"jumaluke"	"jumalukke"
"jumalukene"	"jumalukkene"
"junnikene"	"junnikseda"
"junnikene"	"junniksit"
"jupike"	"juppikse"
"jupikene"	"juppikkõnõ"
"jutukene"	"juttukkõnõ"
"jõuluvanakene"	"jõuluvanakkõ"
"jänesekene"	"jänessekkene"
"järgmisekene"	"järgmädsekkene"
"järvekene"	"järvekkene"
"kaanekene"	"kaasekkene"
"kablakene"	"kablakkene"
"kablakene"	"kablakkõsõ"
"kadrike"	"kadrikkesed"
"kakuke"	"kakkukke"
"kalakene"	"kalakkene"
"kalakene"	"kalakkõisi"
"kalakene"	"kalakkõnõ"
"kalakene"	"kalakkõsõ"
"kalakene"	"kalakkõsõq"
"kanakene"	"kanakkõist"
"kanakene"	"kanakkõnõ"
"kanakene"	"kanakkõsõ"
"kanakene"	"kanakkõsõlõ"
"kanakene"	"kanakkõsõq"
"kanapojakene"	"kanapujakkõsõq"
"kandike"	"kandikkõsõ"
"kannujupikene"	"kannujuppikkõsõ"
"kapsike"	"kapsikse"
"kapsike"	"kapsiksid"
"karbikene"	"karbikkõist"
"karbikene"	"karbikkõnõ"
"karbikene"	"karbikkõsõ"
"karbikene"	"karbikkõsõga"
"karbikene"	"karbikkõsõhh"
"karjalapsekene"	"karalatsekkene"
"karjapoisikene"	"karjaboisikkesest"
"karjapoisikene"	"karjaboiske"
"kartulikene"	"karttokkakkõsõq"
"karvake"	"karvakkene"
"karvakene"	"karvakkene"
"kassikene"	"kassikkõnõ"
"kassikene"	"kassikkõsõga"
"kastikene"	"kastikke"
"kaunike"	"kaunikkesed"
"kaunikene"	"kaunikkesed"
"kaunikesesti"	"kaunikkesest"
"kehvake"	"kehväkke"
"kehvakene"	"kehväkkene"
"kellake"	"kelläkke"
"kellakene"	"kelläkkene"
"kellakene"	"kelläkkese"
"kellakene"	"kelläkkesel"
"kelluke"	"kullukkesed"
"kenake"	"kenäkke"
"kepikene"	"keppikkese"
"ketikene"	"keedikkese"
"kikkakene"	"kikkakkõsõq"
"kikkakene"	"kikkokkõnõ"
"kimbukene"	"kimbokkene"
"kindakene"	"kindakkõist"
"kindakene"	"kindakkõsõ"
"kirjatähekene"	"kirjatähekkene"
"kirstukene"	"kirstukkõnõ"
"kitsekene"	"kitsõkkõsõ"
"kitsekene"	"kitsõkkõsõq"
"kivike"	"kivikke"
"kivike"	"kivikkeisi"
"kivikene"	"kivikkeisi"
"kivikene"	"kivikse"
"kleidike"	"kleidikkese"
"kleidike"	"leidik"
"kleidikene"	"kleidikkeisi"
"kleidikene"	"kleidikkene"
"kleidikene"	"kleidikkõnõ"
"koerake"	"koerak"
"koerake"	"koerakse"
"koerake"	"koeraksel"
"koerakene"	"koerakke"
"kohake"	"kohakkene"
"kohakene"	"kohakkese"
"kooruke"	"koorukke"
"kooruke"	"korukkest"
"koorukene"	"kuorukkese"
"korstnakene"	"korsnakkene"
"korterikene"	"kortterikkene"
"korvike"	"korvikkese"
"korvikene"	"korvikkõnõ"
"kotakene"	"kottakkõsõq"
"kotikene"	"kottikkene"
"kotikene"	"kottikkese"
"kotikene"	"kottikkõnõ"
"kotikene"	"kottikkõsõq"
"kottusekene"	"kottusõkkõnõ"
"kraamikene"	"kraamikkese"
"kraamikene"	"kraamikkest"
"kraamikene"	"kraamikkõnõ"
"kraapkene"	"kraabikkene"
"kraekene"	"kraekkene"
"kubukene"	"kuukke"
"kubukene"	"kuukkõisi"
"kubukene"	"kuukkõsõ"
"kubukene"	"kuukkõsõq"
"kuklikene"	"kuklikkõisi"
"kuklikene"	"kuklikkõist"
"kuklikene"	"kuklõkkõist"
"kuklikene"	"kuklõkkõnõ"
"kukukene"	"kukkukkene"
"kullake"	"kullakkese"
"kullake"	"kullakkeseq"
"kullakene"	"kullokkõnõ"
"kupjakene"	"kubijakkõnõ"
"kurekene"	"kurekkesed"
"kurgukene"	"kurgukke"
"kutsakene"	"kutsakkõnõ"
"kutsakene"	"kutsakkõsõ"
"kutsakeneki"	"kutsakkõsõgi"
"kutsikakene"	"kudsigakkõsõ"
"kutsikakene"	"kutsigakkõnõ"
"kutsikakene"	"kutsigakkõsõ"
"kutsikakene"	"kutsigakkõsõlõ"
"kutsikakene"	"kutskakkõisi"
"kõrgekene"	"korgõkkõsõ"
"kõvakene"	"kõvakkõnõ"
"kõvakene"	"kõvõmbakkõnõ"
"kährikene"	"kährikkene"
"käkikene"	"käkkikkene"
"käsitöökene"	"käsidüükkese"
"käsitöökene"	"käsidüükkest"
"kübeke"	"küben"
"kübeke"	"kübenek"
"kübenake"	"kibenakkese"
"külakene"	"külakkene"
"külakene"	"küläkkene"
"külapoisike"	"külapoesikkene"
"küünrake"	"küündrekkene"
"laastukene"	"lastukkõsõq"
"lambakene"	"lambakkõnõ"
"lambapojakene"	"lambapojakkõsõ"
"lambikene"	"lambikkene"
"lapike"	"lappikke"
"lapseke"	"laitske"
"lapseke"	"lapsekkesed"
"lapseke"	"latsekke"
"lapseke"	"latsekkene"
"lapseke"	"latsekse"
"lapseke"	"latskene"
"lapseke"	"latskese"
"lapseke"	"latskesil"
"lapseke"	"latsõkkõnõ"
"lapsekene"	"laitske"
"lapsekene"	"laitskene"
"lapsekene"	"laitskese"
"lapsekene"	"lapsekke"
"lapsekene"	"lapsekkene"
"lapsekene"	"lapsukkane"
"lapsekene"	"latsek"
"lapsekene"	"latsekkene"
"lapsekene"	"latsikkene"
"lapsekene"	"latsikkese"
"lapsekene"	"latsikkesile"
"lapsekene"	"latsikkõise"
"lapsekene"	"latsikkõisi"
"lapsekene"	"latskene"
"lapsekene"	"latsõkkõ"
"lapsekene"	"latsõkkõnõ"
"lapsekene"	"latsõkkõsõ"
"lapsekene"	"latsõkkõsõga"
"lapsekene"	"latsõkkõsõq"
"lapske"	"lapsukke"
"lapskene"	"lapsugene"
"lapskene"	"latsõkkõnõ"
"lapskene"	"latsõkkõsõ"
"lapsuke"	"lapsukkaised"
"lapsuke"	"lapsukkese"
"lapsukene"	"lapsugesega"
"lapsukene"	"lapsukkene"
"lapsukene"	"lapsukkesed"
"lapsukene"	"lapsukkesi"
"lauake"	"lavvakkõni"
"lauakene"	"lauwakkestest"
"lauakene"	"lavvakkõisi"
"laudakene"	"laudakkõni"
"lavkakene"	"laafkakkõsõ"
"leekene"	"liekkane"
"leemekene"	"leemekkene"
"lehekene"	"lehekkese"
"lehmake"	"lehmäk"
"lehmake"	"lehmäkke"
"lehmakene"	"lehmäkkene"
"leinikene"	"leenikkene"
"leivakene"	"leeväkkene"
"leivakene"	"leeväkkese"
"leivakompsukene"	"leevägompsukkene"
"leivakooruke"	"leivakoorukst"
"leivamurukene"	"leevämurukkõnõ"
"leivatükike"	"leevädükkikkene"
"leivatükike"	"leivatükkikkese"
"leivatükikene"	"leevädükkikkene"
"lellekene"	"lelläkkene"
"lellenaisekene"	"lellänaasõkkõnõ"
"lihatükikene"	"lihadükkükke"
"lihatükikene"	"lihätükkükkeisi"
"lilharaasuke"	"liharaasikkõsõ"
"lillerongikene"	"lillirungikkõnõ"
"lindike"	"lindikkene"
"linnuke"	"linnukke"
"linnuke"	"linnukkesel"
"linnukene"	"linnukkene"
"linnukene"	"linnukkese"
"linnukene"	"linnukkeseq"
"linnukene"	"linnukkõsõ"
"liuakene"	"livvakkõnõ"
"lollikene"	"lollikkõnõ"
"lollikene"	"lollukkane"
"lombikene"	"lumbikkõnõ"
"luuake"	"luvvakkõnõ"
"lõngalõimekene"	"langalõimõkkõnõ"
"löötsikukene"	"löötsikkukkene"
"maagake"	"maagakkõsõ"
"maaivake"	"maaivakke"
"maaivake"	"maaivakkest"
"maakene"	"maakkene"
"maamakene"	"maamakkõnõ"
"maaraasuke"	"maaraasukke"
"maatükike"	"maadükkikke"
"maatükikene"	"maatükkikke"
"madalakene"	"madalakkõsõ"
"majake"	"maeakkesed"
"majakene"	"maeakkene"
"majakene"	"maeaksed"
"majakene"	"majakkene"
"majakene"	"majakkõnõ"
"majakene"	"majakkõsõ"
"majakene"	"majakkõsõga"
"mammakene"	"mammakkõnõ"
"mardike"	"mardikkesed"
"marjakene"	"marakkõnõ"
"marjakorvikene"	"marjagorvikkõsõ"
"meheke"	"mehekkene"
"meheke"	"mehekkest"
"mehekene"	"mehekk"
"mehekene"	"mehekkõne"
"mehekene"	"mihekkene"
"minakene"	"minakkõnõ"
"mollike"	"mollikke"
"moonake"	"moonakkõisile"
"moonake"	"moonakkõsõ"
"moonake"	"moonakkõsõq"
"moonake"	"moonakkõsõst"
"moonakene"	"moonakese"
"moonakene"	"moonakkõist"
"moonakene"	"moonakkõse"
"moonakene"	"moonakkõsõ"
"moonakene"	"moonakkõsõn"
"moonakene"	"moonakkõsõss"
"moonakene"	"moonaksede"
"mullaivakene"	"mullaivaksege"
"munakene"	"munakkõist"
"munakene"	"munakkõnõ"
"mutikene"	"muttikkõsõ"
"mutikene"	"muttikkõsõq"
"mõnekene"	"mynõkkõnõ"
"mäekene"	"mäekkene"
"mättakene"	"mättäkkene"
"mütsikene"	"mütsükkene"
"naadkene"	"naakkõsõ"
"naerikene"	"nakrigõsõ"
"nahakene"	"naakkõsõq"
"naisekene"	"naesõkke"
"napike"	"nappikkese"
"napike"	"nappikkesega"
"narmake"	"narmakse"
"nokakene"	"nokkakke"
"nooreke"	"noorekkese"
"nooreke"	"noorekse"
"noorekene"	"noorekse"
"noorekene"	"noorõkkõsõ"
"noorekene"	"noorõkkõsõq"
"nooruke"	"noorukke"
"nurgakene"	"nurgakkene"
"nõgikikkakene"	"nõgigikkakkõsõq"
"näpukene"	"näppukkõsõ"
"nööbike"	"nüöbige"
"nöörike"	"nöörikkõnõ"
"oinakene"	"oinakkõist"
"oinakene"	"oinakkõnõ"
"oinakene"	"oinakkõsõl"
"onukene"	"unokkõnõ"
"orvike"	"orvikkesed"
"osake"	"osakkesed"
"paabakene"	"paabakkõist"
"paabakene"	"paabakkõnõ"
"paabakene"	"paabakkõst"
"pahrukene"	"pahrukkene"
"pajakene"	"paakkõnõ"
"pajakene"	"paakkõsõ"
"pakukene"	"pakkukkesed"
"palgikene"	"palgikkõsõq"
"pastlakene"	"pastlakõs"
"peake"	"pääkkese"
"peakene"	"pääkkeise"
"peakene"	"pääkkeist"
"peakene"	"pääkkene"
"peakene"	"pääkkese"
"peakene"	"pääkkesegak"
"pealuukene"	"ppääluukkõnõ"
"pedajakene"	"pedäjäkkese"
"pedajakene"	"pedäjäkkeseq"
"peergtuluke"	"piiruduluk"
"peergtuluke"	"piirutuluk"
"pehmekene"	"pehmekkene"
"pehmekene"	"pehmekkeseq"
"pehmekene"	"pehmekkesest"
"pehmekene"	"pehmekkess"
"penikene"	"penikkene"
"penikene"	"pinikkene"
"peokene"	"peokke"
"peokene"	"peokkõsõga"
"perekene"	"peerekkeene"
"perekene"	"perekkese"
"peremehekene"	"peremehekkese"
"peretaadikene"	"peretaadikkene"
"piimapajakene"	"piimäbaakkõsõ"
"piipoke"	"piippokke"
"pikake"	"pikkakkesess"
"pikake"	"pikkäkkene"
"pikakene"	"pikkäkkene"
"pikakene"	"pikkäkkese"
"pikakene"	"pikkäkse"
"pikkke"	"pikkukke"
"pikuke"	"pikkukke"
"pikuke"	"pikkukkesed"
"pikuke"	"pikkuksed"
"pikuke"	"pitkuksed"
"pikukene"	"pikkukke"
"pikukene"	"pikkukkene"
"pikukene"	"pikkukkesed"
"pirrukene"	"pirrukkõnõ"
"pirrukene"	"pirukkõnõ"
"pirrukene"	"pirukkõsõ"
"pitsikene"	"pitsikkene"
"pliidike"	"pliidikkene"
"plikakene"	"plikkakkene"
"poisike"	"poesikke"
"poisike"	"poesikkene"
"poisike"	"poesikkesel"
"poisike"	"poesikkesest"
"poisike"	"poesikkesi"
"poisike"	"poesiksed"
"poisike"	"poesikstel"
"poisike"	"poisigesed"
"poisike"	"poisik"
"poisike"	"poisikkased"
"poisike"	"poisikke"
"poisike"	"poisikkene"
"poisike"	"poisikkesed"
"poisike"	"poisikkeseks"
"poisike"	"poisikkesena"
"poisike"	"poisikkesess"
"poisike"	"poisikkesi"
"poisike"	"poisikkessi"
"poisike"	"poisikkest"
"poisike"	"poisikki"
"poisike"	"poisikse"
"poisike"	"poisiksest"
"poisike"	"poisiksit"
"poisike"	"poiske"
"poisike"	"poiskene"
"poisike"	"poiskese"
"poisike"	"poiskesek"
"poisike"	"poiskesil"
"poisike"	"poisksile"
"poisike"	"poiskõ"
"poisike"	"poiskõnõ"
"poisike"	"poiskõsõlõ"
"poisike"	"pooisigest"
"poisike"	"poosikke"
"poisike"	"poosikkesi"
"poisike"	"poosiksele"
"poisikene"	"poesikkene"
"poisikene"	"poesikkesed"
"poisikene"	"poesikkeste"
"poisikene"	"poisigene"
"poisikene"	"poisikk"
"poisikene"	"poisikkane"
"poisikene"	"poisikkast"
"poisikene"	"poisikke"
"poisikene"	"poisikkene"
"poisikene"	"poisikkese"
"poisikene"	"poisikkesed"
"poisikene"	"poisikkesi"
"poisikene"	"poisikkest"
"poisikene"	"poisikkõ"
"poisikene"	"poisikkõnõ"
"poisikene"	"poisikkõsõ"
"poisikene"	"poisikkõsõlõ"
"poisikene"	"poisikkõsõq"
"poisikene"	"poisikse"
"poisikene"	"poisiksed"
"poisikene"	"poiske"
"poisikene"	"poiskene"
"poisikene"	"poiskese"
"poisikene"	"poiskesele"
"poisikene"	"poiskesen"
"poisikene"	"poiskesena"
"poisikene"	"poiskeset"
"poisikene"	"poiskesi"
"poisikene"	"poiskest"
"poisikene"	"poiskõist"
"poisikene"	"poiskõnõ"
"poisikene"	"poiskõst"
"poisikene"	"poiskõstõlõ"
"poisikene"	"poiskõsõ"
"poisikene"	"poiskõsõhh"
"poisikene"	"poiskõsõl"
"poisikene"	"poiskõsõq"
"poisikeneki"	"poiskõnõgi"
"poisikeseohtu"	"poesikkeseohtu"
"poisske"	"poisikke"
"poisskene"	"poesikke"
"poisskene"	"poisigene"
"poisskene"	"poisikkesest"
"poisskene"	"poisikkõnõ"
"poisskene"	"poiskese"
"poisskene"	"poiskõsõ"
"poisukene"	"poesukkene"
"pojake"	"poeakkesed"
"pojake"	"poeokke"
"pojake"	"pojakke"
"pojakene"	"pojakkõnõ"
"pojakene"	"pojakkõst"
"pojakene"	"pojakkõsõlõ"
"pojakene"	"pujakkõsõga"
"pojukene"	"pujokkese"
"poollühike"	"poollühist"
"preilike"	"preilikse"
"preilikene"	"preelikke"
"preilikene"	"preelikkene"
"prouakene"	"prouwakkesed"
"pruudike"	"pruutkene"
"puhmake"	"puhmukkene"
"pulbrikene"	"pulbrikkõnõ"
"pulgake"	"pulgak"
"pulgakene"	"pulgakkeisi"
"pulgakene"	"pulgakkõnõ"
"pulgakene"	"pulgakkõsõ"
"pulmakene"	"pulmakkõnõ"
"puluumakene"	"puluumakkõsõ"
"punakurguke"	"punagurgukke"
"putukakene"	"puttukkakkene"
"puuhargikene"	"puuhargikkõsõ"
"puuke"	"puukke"
"puuke"	"puukkõsõga"
"puukene"	"puukkese"
"puukene"	"puukkõst"
"puukene"	"puukkõsõq"
"puuäkekene"	"puuäglikkene"
"põuakene"	"põvvakkene"
"päitsekene"	"päitsekkese"
"pätsike"	"päitskidega"
"pätsike"	"pätsikkest"
"pätsike"	"pätsikkõ"
"pätsike"	"pätsikkõisi"
"pätsike"	"pätsikkõnõ"
"pätsike"	"pätsikse"
"pätsike"	"pätsiksit"
"pätsikene"	"pätsikkeisi"
"pätsikene"	"pätsikkese"
"püttkene"	"püttikkene"
"raasike"	"raasik"
"raasike"	"raasikke"
"raasikene"	"ruasikkese"
"raasuke"	"raasakkõisi"
"raasuke"	"raasik"
"raasuke"	"raasikk"
"raasuke"	"raasikke"
"raasuke"	"raasikkene"
"raasuke"	"raasikse"
"raasuke"	"raaske"
"raasuke"	"raasukke"
"raasuke"	"raasukkene"
"raasuke"	"raasukkese"
"raasuke"	"raasukkesed"
"raasuke"	"raasukse"
"raasuke"	"raasussi"
"raasukene"	"raadsikkõnõ"
"raasukene"	"raasakkõsi"
"raasukene"	"raasakkõsõ"
"raasukene"	"raasikkõnõ"
"raasukene"	"raasikse"
"raasukene"	"raasukkased"
"raasukene"	"raasukkasi"
"raasukene"	"raasukkene"
"raasukene"	"raasukkestest"
"raasukene"	"raasukkõsõ"
"rahakene"	"rahakkõist"
"rahakene"	"rahakkõsõ"
"raipekene"	"rõippõkkõnõ"
"rakikene"	"rakkiikkeene"
"rauakene"	"rauwakkõse"
"rauakene"	"rauwakkõsõ"
"rauakene"	"ravvakkese"
"reekene"	"reekkene"
"reekene"	"riikkene"
"reekene"	"riikkese"
"reekene"	"riikkesega"
"ristike"	"ristikkese"
"ristikene"	"ristikkene"
"ristitütrekene"	"ristidütrekkene"
"ristiveljekene"	"ristivelekkene"
"roomakene"	"roomakkõsõ"
"ruhikene"	"rohõkkõnõhõ"
"rõivajupikene"	"rõivajuppikkõnõ"
"rõivakene"	"rõivakkeseq"
"rõivakene"	"rõivakkõnõ"
"rõivakene"	"rõivakkõsõq"
"rõõmutunnikene"	"rõõmutunnikke"
"rõõmutunnikene"	"rõõmutunnikkene"
"räbalakene"	"räbälägene"
"räbikukene"	"räbigukkõnõ"
"rätike"	"rättikkene"
"rätikene"	"rättikene"
"rätikene"	"rättikkene"
"rätikene"	"rättikkese"
"rätikene"	"rättikkesega"
"rüakene"	"rüäkkeseq"
"saarekene"	"saarekkene"
"saarekene"	"saarukkene"
"saiapätsikene"	"saijapätsikkest"
"sardke"	"sarrakkesed"
"saunakene"	"saanakkene"
"saunakene"	"sannakkene"
"savipajakene"	"savibaakkõnõ"
"seakarjusekene"	"tsiakarjussõkkõnõ"
"seapoisike"	"tsiapoiskõsõ"
"seebitükike"	"siebitükkigen"
"setokene"	"settokkõisiga"
"setokene"	"settokkõist"
"setokene"	"settokkõnõ"
"setokene"	"settokkõsõ"
"setuke"	"seittukkene"
"setuke"	"settukkese"
"setuke"	"siettukke"
"setukene"	"settokkesil"
"setukene"	"settokkõisi"
"setukene"	"settokkõnõ"
"setukene"	"settuke"
"silmakene"	"silmäkkese"
"silmakene"	"silmäkkesest"
"sirbitükike"	"sirbidükkikse"
"siukekene"	"siukkene"
"sopikene"	"soppik"
"sopikene"	"soppikke"
"suukene"	"suukkene"
"suureke"	"suurekke"
"suurekene"	"suurekkene"
"suurekene"	"suurõkkõnõ"
"suurekene"	"suurõkkõsõ"
"suurekene"	"suurõkkõsõst"
"suurkene"	"suurukke"
"suurmake"	"suurmakkõsõ"
"suurrätikene"	"suurättikkene"
"sõsarakene"	"sysarõkkõnõ"
"sõsarakene"	"sysarõkkõsõgaq"
"sõtsekene"	"tsõdsõkkõnõ"
"sõtsekene"	"tsõtsikkõ"
"sängikene"	"sängükkene"
"särgike"	"särgikke"
"särgikene"	"särgikke"
"särgikene"	"särgikkeseq"
"sääntsekene"	"sääntsekkene"
"söikke"	"söikke"
"söögilauakene"	"söögilavvakkene"
"taaritõrike"	"taaridõrikke"
"taaritõrike"	"taaridõrikkese"
"taaritõrike"	"taaridõrikkest"
"taaritõrike"	"taaritõrikkeisi"
"taaritõrike"	"taaritõrikkesel"
"taaritõrike"	"taaritõrikkesi"
"taevaisakene"	"taivaesäkke"
"taevakene"	"taevakkene"
"taevakene"	"taivakke"
"taevakene"	"taivakkene"
"taevakene"	"taivakkõ"
"taevakene"	"taivakkõnõ"
"talleke"	"tallekkest"
"talleke"	"talleksid"
"talleke"	"tallõkkõsõq"
"tallekene"	"tallõkkõnõ"
"tallekene"	"tallõkkõsõ"
"tallekene"	"tallõkkõsõq"
"taluinimesekene"	"taluinemisekkine"
"talukene"	"talukkene"
"tarekene"	"tarekke"
"tarekene"	"tarõkkõnõ"
"tarekene"	"tarõkkõsõ"
"tatrake"	"tatrekke"
"teedakene"	"teedäkkene"
"teedakene"	"teedäkkest"
"teekene"	"tiikkene"
"tekihilbuke"	"tekkiilbukke"
"tekkke"	"tekkikke"
"terake"	"terakke"
"terake"	"terakkese"
"terake"	"terakse"
"terake"	"teräkkesi"
"terakene"	"terakke"
"terakene"	"terakkene"
"terakene"	"tteräkkeseq"
"tibike"	"tippikke"
"tiikke"	"tiigikke"
"tiivakene"	"siivakkõsõ"
"tilgake"	"tilgakkene"
"tilgakene"	"tsilgakkõnõ"
"tilgakene"	"tsilgakkõsõ"
"tindikene"	"tindikkese"
"tipukene"	"tippukkõsõ"
"tirtsukene"	"tirdsukkõnõ"
"titekene"	"tittekke"
"toakene"	"tuakkene"
"tohtkene"	"tohokkõnõ"
"toidukotikene"	"toidukottikkese"
"tokikene"	"tokkikene"
"tokikene"	"tokkikkene"
"tokikene"	"tokkikkõsõga"
"totuke"	"tottukkõni"
"totuke"	"tottukkõsõ"
"tsilekene"	"tsilekkeist"
"tsilekene"	"tsilekkese"
"tsilekene"	"tsilekkeseq"
"tsirgukene"	"tsirkukkene"
"tulekene"	"tulukkene"
"tulekene"	"tulõkkõnõ"
"tuluke"	"tulukke"
"tuluke"	"tulukkene"
"tunnike"	"tunniksed"
"tunnikell"	"tunnigell"
"tunnikell"	"tunnigellä"
"tunnikell"	"tunnikell"
"turbakene"	"turbakkõsõ"
"tutikene"	"tuttikkõsõ"
"tuvikene"	"tuuvikkeisi"
"tuvikene"	"tuuvikkese"
"tõrikene"	"tõrikkene"
"tõrikene"	"tõrikkese"
"tõrikene"	"tõõrikke"
"tõrreke"	"tõrdukkõnõ"
"tädikene"	"tädikkene"
"täpikene"	"täppeksed"
"tüdrukuke"	"tüdrikkukkõn"
"tüdrukuke"	"tüdruguk"
"tüdrukuke"	"tüdrugukse"
"tüdrukuke"	"tütrikkukkese"
"tüdrukuke"	"tütrukke"
"tüdrukukene"	"tüdrigukkene"
"tüdrukukene"	"tüdrikkukkene"
"tüdrukukene"	"tüdruguk"
"tüdrukukene"	"tüdrugukse"
"tüdrukukene"	"tüdrukkene"
"tüdrukukene"	"tüdrukkeste"
"tüdrukukene"	"tüdrukkukke"
"tüdrukukene"	"tüdrukkukkene"
"tüdrukukene"	"tüdrukkõnõ"
"tüdrukukene"	"tüdruksed"
"tüdrukukene"	"tütrikkene"
"tüdrukukene"	"tütrukkene"
"tüdrukukene"	"tütrükkõnõ"
"tüdrukukene"	"tüüdrikkukkene"
"tükike"	"tükkikke"
"tükike"	"tükkikkesed"
"tükikene"	"tükkikkene"
"tükikene"	"tükkikkese"
"tükikene"	"tükkükkene"
"tükikene"	"tükkükkese"
"tükkke"	"tükkikkesed"
"tünnkene"	"tünnikkene"
"tütreke"	"tütrekke"
"tütreke"	"tütrekkene"
"tütrekene"	"tütrekkene"
"tütrekene"	"tütrekkõnõ"
"tütrekene"	"tütrikkene"
"ubinakene"	"ubinakkõsõ"
"uibukene"	"uibokkõnõ"
"ukseke"	"ussõkkõnõ"
"ullikene"	"ullikkõnõ"
"undrukuke"	"undrukkukke"
"undrukukene"	"ündrikkukkõnõ"
"ussike"	"ussikkesed"
"ussike"	"ussikkestest"
"ussikene"	"ussik"
"ussikene"	"ussikkesed"
"ussikene"	"ussikkestest"
"utekene"	"uttekkõnõ"
"vaadike"	"vaadikkõnõ"
"vaadike"	"vaadikkõsõq"
"vaadikene"	"vaadikkese"
"vaesekene"	"vaisekkesed"
"vaeslapsekene"	"vaenõlatsõkkõnõ"
"vakake"	"vakkakkõnõ"
"vanaemakene"	"vanaimäkkene"
"vanaemakene"	"vanaimäkkese"
"vanake"	"vanakke"
"vanakene"	"vanakkõisi"
"vanakene"	"vanakkõnõ"
"vanakene"	"vanakkõsõq"
"vangukene"	"vangukkene"
"vankrikene"	"vankkrikkõist"
"vankrikene"	"vankrekkese"
"varvakene"	"varbakkõnõ"
"veereke"	"veerekkene"
"veerekene"	"veerekkese"
"veidike"	"vedikke"
"veidike"	"veedigene"
"veidike"	"veedikke"
"veidike"	"veedikkene"
"veidike"	"veedikkese"
"veidike"	"veedikse"
"veidike"	"veetkese"
"veidike"	"veidikke"
"veidike"	"veidikkene"
"veidike"	"veidikkese"
"veidike"	"veidikkesõ"
"veidike"	"veidikkõsõ"
"veidike"	"veidkese"
"veidike"	"veidokkese"
"veidike"	"veidokkõst"
"veidike"	"veidükkene"
"veidike"	"veidükkese"
"veidike"	"veidükkõsõ"
"veidike"	"veitikkese"
"veidike"	"veitke"
"veidike"	"veitkese"
"veidike"	"veitkest"
"veidike"	"veitkkese"
"veidike"	"vetkene"
"veidikene"	"veedikkene"
"veidikene"	"veedikkese"
"veidikene"	"veidikke"
"veidikene"	"veidikkene"
"veidikene"	"veidikkese"
"veidikene"	"veidokkõnõ"
"veidikene"	"veidokkõsõ"
"veidikene"	"veidükkene"
"veidikene"	"veitkene"
"veidikene"	"veitkese"
"veidikese"	"veedikkese"
"veidikese"	"veidikkese"
"veidikese"	"veidükkese"
"veidikese"	"veitkese"
"veidikese"	"võdikkese"
"veidikeseks"	"veidikkesess"
"velekene"	"velekkene"
"veljekene"	"velekkene"
"veljekene"	"velekkese"
"veljekene"	"velekkestega"
"veljekene"	"vellekkese"
"veljekene"	"vellekkõst"
"viglakene"	"viglakkõistõga"
"viglakene"	"viglakkõsõq"
"viisuke"	"viisukkõsõ"
