kosjas	kosjas
e	e
pael	paelde
tuti+pael	tutti+paeldega
kael	`kaela
ja	ja
kui	kui
jälle	jälle
tulema	tulid
juba	juba
siis	sis
olema	oli
veli	veli
olema	oli
kes	kiss
jälle	jälle
nagu	nagu
e	e
noh	nohh
tulema	tuli
nagu	nagu
enne	enne
e	e
see	selle
peig+mees	`peime
maja	maeasse
ja	ja
haamer	`aamer
olema	oli
e	e
kaela+kott	kael+kottiga
kael	`kaelas
ja	ja
ja	ja
haamer	*aamer
olema	oli
nael	naelad
olema	olid
kõik	kõik
haamer	`aamre
sees	sees
siis	siiss
käima	küis
peig+mees	`peime
maja	maeas
nakk	`nak'ka
taguma	tagumas
sinna	`sinna
jah	jahh
nakk	nakkisid
aga	aga
mitte	`mette
üks	üks
sõna	sõna
ei	ei
rääkima	`rääkkind
kui	kui
jälle	jälle
taguma	`taottud
olema	oli
siis	s
virutama	viruttas
haamer	`aamre
ahi	ahu
vahele	vahele
ja	ja
ja	ja
minema	läks
oma	oma
tee	tiid
aga	aga
ja	ja
siis	siis
tulema	tuli
uuesti	uijest
tagasi	tagasi
siis	siis
olema	olid
e	e
tema	täll
olema	oli
hobune	obune
ja	ja
siis	siiss
panema	panid
kinnas	`kindad
jälle	jälle
sinna	sinna
look	looga
külge	`kül'ge
siis	siiss
tulema	tuli
tagasi	tagasi
siis	siis
saama	sai
see	se
peig+mees	`peime
isa	isa
saama	sai
siis	siss
need	need
kinnas	`kindad
oma	omale
jälle	`jälle
vaatama	vaatta
mis+moodi	miss+`moodi
olema	oli
endine	`endine
pulma+aeg	pulma+aeg
no	no
mina	maa
puhuma	puhu
too	tollest
kolm	kolmest
nõid	nõijast
siin	sii
meie	mede
lähedal	lähedal
siin	sii
õõ	õõ
kaks	kaks
õõ	õõ
jälle	`jälle
samane	samane
maa+kond	maa+gonda
küll	küll
Lääne+maa	Lääne+maa
ja	ja
Riia+maa	Riija+maa
käima	köisid
vastamisi	`vastamisi
ja	ja
siin	sii
olema	olid
kolm	kolm
väga	väga
ilus	ilust
koht	`kuhta
vanasti	vanaste
raba	rabade
ääres	`ääres
kõik	kõik
ja	ja
seal	seal
e	e
iga	iga
raba	raba
ääres	`ääres
elama	elas
üks	üks
vägev	vägeb
nõid	nõid
jah	jahh
üks	üks
olema	oli
ee	ee
seal	seal
e	e
Lihula	Lihula
pool	pool
see	se
olema	oli
e	e
Pala	Pala
või	või
Alaka	Alakka
Õue+maa	Õuwe+maal
ja	ja
teine	teene
elama	elas
seal	seal
Uurita	Uurittas
see	see
olema	oli
Uurita	Uuritta
lahk	lahus
ja	ja
kolmas	kolmas
elama	elas
Pala	Palal
see	se
olema	oli
Palatu	Palattu
Pärna+mäe	Pärna+mäel
ja	ja
nemad	nende
nimi	nimed
olema	olid
kõik	kõik
õõ	õõ
üks	üks
olema	oli
Pala	Pala
seal	seal
ee	ee
mm	mm
Alaka	Alakkal
olema	oli
õõ	õõ
Siim	Siim
ja	ja
jälle	jälle
s	s
samane	samane
see	see
seal	seal
Uurita	Uurittas
olema	oli
õõ	õõ
mis	miss
see	selle
nimi	nimi
olema	oli
ja	ja
Pala	Palal
olema	oli
Kaik	Kaik
ja	ja
Uurita	Uurittas
olema	oli
mis	miss
tema	ta
nimi	nimi
olema	oli
Sini+sohv	Sini+sohv
vist	vist
jah	jahh
jah	jahh
ja	ja
nii	nii
vägev	vägevad
mees	mehed
olema	olid
iga+üks	iga+ühül
olema	olid
raud+aed	raud+aead
ümber	`ümmer
kui	ku
nemad	nad
elama	elast
terve	terve
krunt	rundil
raud+aed	raud+aed
ümber	`ümmer
ja	ja
õhtul	`õhta
kui	ku
nemad	nad
magama	magama
minema	läksid
siis	siis
iga+üks	iga+üks
panema	pani
see	selle
raud+värav	raud+värava
kinni	`kinni
nii	niij
et	et
iga+üks	iga+üks
teine	teene
kuulma	`kuulis
kus	kuss
keegi	`keegi
keegi	`keegi
magama	magama
heitma	`eittis
jah	jah
ja	ja
see	see
Palatu	Palattu
Kaik	Kaik
olema	oli
nii	ni
rikas	rikkas
mees	mees
et	et
et	et
tema	tal
suur	suured
kuld+kast	kuld+kastid
olema	olid
ja	ja
ja	jaa
sõda	sõda
olema	oli
hakkama	akkand
peale	`piale
tema	tä
kuulma	kuuld
et	et
sõda	sõea
sõda	sõda
tulema	tuleb
ja	ja
siis	siis
tema	tä
ei	äij
olema	ole
tahtma	tahn
need	neid
kuld+kast	kuld+`kas'ta
sinna	sinna
Pala	Palale
jätma	`jätta
ja	ja
siis	siis
tema	taa
panema	pann
kaks	kaks
must	`musta
härg	`ärga
ette	`ette
ja	ja
seal	seall
ee	ee
kaks	kahe
raba	raba
vahel	vahel
olema	on
neoke	`neokke
must	must
jõgi	jõgi
tükati	tükkatti
jooksma	jooseb
maa	maa
alt	alt
läbi	läbi
ja	ja
tükati	tükkatti
pealt	pialt
kas	kass
vana	vana
raba	raba
sammal	sammal
olema	on
kinni	`kinni
katma	katt
ja	ja
minema	läind
sealt	sealt
talv	talve
üle	üle
nemad	nende
härg	`ärgadega
ja	ja
need	need
kulla+kast	kulla+kas'tid
kukkuma	`kukkund
sinna	`sinna
sisse	`sisse
sinna	`sinna
need	need
olema	oo
sügav	sügavad
laugas	`laukkasse
ja	ja
see	see
jutt	jutt
seisma	seesab
para+aegu	para+`aegust
alles	alles
siin	sii
mees	meeste
ee	ee
inimene	inimeste
suu	suus
et	et
ikka	`ikke
seal	seal
kulla+kast	kulla+kastid
olema	onn
ja	ja
üks	üks
vana	vana
joodik	joodik
mees	mees
ja	ja
rätsep	rätsep
mõtlema	`mõtlend
nemad	nämad
minema	`lähtvad
tooma	toovad
see	selle
kulla+kast	kulla+kasti
sealt	sealt
välja	`väl'la
jah	jah
minema	läind
see	selle
peale	piale
sinna	`sinna
võtma	võtt
ah	ahh
ennäe	`ennäe
hull	`ulla
mina	ma
panema	pand
tulema	tuld
meel+ki	`meelegi
see	seda
jälle	`jälle
s	s
samane	samane
et	et
minema	`lähtvad
tooma	toovad
see	selle
kulla+kast	kulla+kasti
sealt	sealt
välja	`väl'la
teine	teene
olema	oli
suur	suur
rätsep	rätsep
ja	jaa
ka	koa
üks	üks
jooma+mees	jooma+mees
ja	ja
mõlemad	mõlemil
ja	ja
minema	läind
sinna	`sinna
siis	s
võtma	võtt
kodunt	`kottu
suur	suured
nöör	nöörid
juurde	`juure
ja	ja
teine	teene
siduma	sidund
ümber	`ümmer
kere	kere
et	et
kui	kui
sina	sa
alla	`alla
põhi	`põhja
minema	lääd
kui	ku
mina	ma
tulema	tule
enam	änam
välja	`väl'la
mitte	`mette
siis	siis
kiskuma	kisu
mina	mind
välja	`väl'la
jah	jahh
ja	jaa
suur	suured
ee	ee
raud+ora	raud+orad
ka	koa
kätte	`kätte
kõik	kõik
ja	ja
latt	lattikka
torkima	`torkkind
ja	ja
ja	ja
üks	üks
kivi	kibi
või	või
üks	üks
seoke	`seokke
asi	asi
kõlksuma	`kõlksund
seal	seal
all	all
andma	and
selgesti	`selgeste
tunnistus	tunnistust
et	et
kulla+kast	kulla+kas't
olema	on
seal	seal
ja	ja
minema	`lähtvad
tooma	toovad
ära	ära
no	no
küll	küll
nemad	näd
rügama	rügand
seal	seal
all	all
nemad	näd
kätte	`kätte
ei	ij
olema	ole
saama	saand
tulema	tulid
ära	ära
jääma	jäid
ilma	ilma
kulla+kast	kulla+kastist
no	no
see	see
olema	oli
sügav	sügav
no	no
see	selle
jaoks	jaoss
olema	oli
nöör	nöör
ümber	`ümmer
et	et
jälle	jälle
saama	saanud
kui	kui
juba	juba
kauaks	kauwass
jääma	jääb
ära	ära
uppuma	uppud
teine	tene
tõmbama	`tõmmab
välja	`väl'la
jah	jahh
ja	jaa
üks	`ühte
mina	maa
rääkima	räägin
s	s
veel	veel
mina	mul
mis	miss
mina	muul
tulema	tuleb
siin	sii
meel	`meeli
vanasti	vanaste
siin	sii
ee	ee
olema	olid
ju	juu
e	e
ee	ee
Eesti	Eesti
mees	mehi
või	või
siit	sit
nemad	nad
tahtma	`tahtsid
Saare+maa	Saare+`maale
käima	`köija
ja	ja
Muhu+maa	Muhu+`maale
ja	ja
see	see
väin	väin
olema	oli
kitsas	kitsas
ei	ei
saama	saand
üle	üle
aga	aga
siis	siis
vana	vana
saadan	`saadan
olema	oli
abi	`appi
tulema	tulnd
et	et
mina	mina
ummistama	ummistan
see	selle
järv	järve
ära	ära
jah	jah
ja	ja
hakkama	akkand
Peipsi	`Peipsi
järv	järve
äär	äärest
tulema	tulema
ja	ja
hakkama	akkand
kivi	kiba
korjama	`korjama
põll	põllesse
naa	naa
palju	paelu
kui	ku
tema	ta
sealt	sealt
leidma	`lõidis
ja	ja
siis	siis
see	se
põll	põll
olema	oli
nii	nii
kivi	kiba
täis	täis
olema	olnd
ja	ja
siia+samasse	siija+sammasse
no	noo
Lõpi	Lõppile
natuke	nattikke
edasi	edesi
minema	`minna
seal	seal
kus	kuss
olema	on
meie	meitte
heina+maa	eena+mad
ja	ja
seal	seal
olema	on
neoke	`neokke
suur	suur
kivi+mägi	kibi+mägi
naa	naa
kõrge	`kõrge
nagu	nagu
meie	mede
karja+laut	karja+laut
ja	ja
suur	suured
kivi	kibid
nagu	nagu
et	t
jurakas	jurrakkad
mitu	mettu
koorem	`koormad
koos	koos
ja	ja
ja	ja
põll	põlle
pael	pael
minema	läind
seal	seal
katki	`katki
ja	ja
kukkuma	`kukkund
sinna	`senna
maha	maha
ja	ja
Virtsu	Virtsu
väin	väin
jääma	jäi
ummistama	ummistamatta
ja	ja
meie	mee
nüüd	nüid
Muhu+maa	Muhu+`maale
ei	ei
saama	saa
muud+kui	muutku
pidama	`piame
laev	laevaga
minema	menema
ja	ja
ja	ja
seal	seal
olema+ki	`ongi
praegu	paerst
ja	ja
vana	vana
jutt	juttu
järel	järel
ee	ee
siis	s
kurat	kurat
elama	eland
ka	koa
seal	seal
sees	sehes
neoke	`neokke
suur	suur
kelder	`keldre
moodi	`moodi
kus	kuss
kivi	kibid
olema	on
võllima	võllittud
kõik	kõik
ja	ja
karja+laps	karja+lapsed
ja	ja
need	ned
olema	on
kõik	kõik
seal	seal
tuli	tuld
tegema	teind
ja	ja
see	see
olema	on
suitsema	`suitsund
kõik	kõik
no	noo
ja	ja
siis	s
vana+rahvas	vana+rahvas
rääkima	räägib
et	et
vana+kurat	vana+gurat
olema	on
ise	enesele
toit	`toittu
keetma	`keetn
seal	seal
jah	jahh
neoke	neokst
vana	vanad
jutt	juttud
jah	jah
no	no
tuletama	tulettage
mina	muul
meel	`meeli
keegi	kedagi
küsima	küsige
mina	muul
ju	juu
tulema	tule
meel	`meeli
vana	vana
inimene	inimene
mina	maa
teadma	tia
keegi	kedagi
no	noo
tulema	tule
meel	`meeli
kõik	`kõikki
mitte	`mette
jah	jahh
jah	jah
olema	oli
küll	küll
tuli+händ	tuli+`ända
oi	oi
need	neid
olema	oli
küll	küll
oo	oo
need	need
olema	olid
ka	koa
jälle	`jälle
ikka	`ekke
suur	suured
nõid	nõijad
kes	kiss
käima	köisid
ja	ja
kes	kelle
juures	`juures
nemad	nad
käima	köisid
ja	ja
see	see
tuli+händ	tuli+änd
olema	oli
ka	koa
jälle	`jälle
sedasi	sedasi
olema	ond
mina	maa
olema	olin
kas	kass
see	se
nüüd	nd
tuli+händ	tuli+ännad
a	a
mina	maa
olema	ole
nägema	näind
küll	küll
õõ	õõ
taevas	`taeva
peal	pial
õhtul	`õhta
pime	pimidas
lendama	`lindäväd
tule+juga	tule+jugad
jah	jahh
olema	olen
küll	küll
nägema	näind
mitu	mettu
kord	`korda
jah	jahh
ja	ja
siis	siis
see	se
tuli+händ	tuli+änd
olema	oli
sedasi	sedasi
õõ	õõ
kus	kuss
neoke	neokst
nõid	nõijad
ja	ja
sees	sees
elama	elast
siis	siis
need	need
vedama	vädast
vili	`vil'ja
sinna	`sinna
see	selle
pere+mees	peremele
jah	jahh
ja	ja
see	see
vili	vili
olema	oli
seoke	`seokke
et	et
e	e
ee	ee
no	no
vana	vanad
inimene	inimest
rääkima	`rääkvad
üks+kord	ühü+gorra
see	see
tuli+händ	tuli+änna
kott	kot't
minema	läind
katki	`katki
ja	ja
tera	terad
kukkuma	`kukkund
pealt	pialt
maha	maha
ja	ja
inimene	inimest
tooma	toond
e	e
need	neid
tera	terast
ega	ega
loom	loomad
ei	ei
olema	ole
sööma	söönd
see	seda
jah	jah
ja	ja
see	seda
tuli+händ	tuli+`ända
need	need
inimene	inimest
kartma	`kartsid
väga	väga
et	et
et	et
teine	teist
koht	kohast
koht	kohast
võtma	võttab
ja	ja
teine	teiss
koht	`kohta
viima	viib
need	need
ei	ei
teadma	tia
kuidas	kudas
see	se
tulema	tuli
see	see
üks	üks
üks	üks
loodus	`looduse
asi	asjad
või	või
võima	võisid
enne+vanasti	enne+vanaste
olema	`olla
ka	koa
vana	vanad
inimene	inimest
pidama	pidast
kõik	kõik
neoke	neokst
nõidus	`nõidust
ja	ja
neoke	neokst
asi	`asju
jah	jah
aga	aga
see	seda
tuli+händ	tuli+`ända
ja	ja
ja	ja
need	neid
ee	ee
need	neid
e	e
keegi	`keegi
rääkima	`rääkkis
mina	`mulle
et	et
tema	täma
olema	on
nägema	näind
et	et
tuli+händ	tuli+ännad
olema	on
kusagilt	kusagilt
lendama	linnand
eh	eh
elu+maja	elu+maea
unk	ungast
katus	kattusest
sisse	`sisse
minema	läin
sinna	`sinna
jah	jahh
kas	kas
see	se
tõsi	tõsi
olema	oo
ei	ei
teadma	tia
mina	mina
aga	aga
vana+inimene	vana+inimeste
jutt	juttud
rääkima	`rääksid
ja	ja
neoke	neokst
vana	vanu
jutt	`jutta
olema	oli
ju	ju
palju	paelu
inimene	inimeste
suu	suus
ja	ja
pidama	pidasid
kunst	`kuntsi
naine	naised
olema	olid
väga	väga
kange	`kanged
kunst	`kuntsi
pidama	pidama
enne	`enne
jälle	`jälle
kui	kui
lau+päeval	`lauba
leib	levad
välja	`väl'lä
võtma	`võetti
siis	siis
ju	juu
panema	`pandi
ikka	`ikke
ahi	ahi
jälle	`jälle
puu	puid
täis	täis
muidu	mud'u
kui	kui
sina	sa
ahi	aehu
tühi	tühasse
jätma	jättad
siis	siis
ju	ju
ahi	ahi
jääma	jääb
tühi	tühasse
ei	ei
olema	ole
enam	enam
teine+kord	teise+korra
leib	`leiba
sisse	`sisse
panema	`panna
aga	aga
ikka	`ikke
panema	`pandi
need	nee
puu	puud
sisse	`sisse
siis	siss
et	et
ahi	ahi
seisma	seesab
täis	täis
ja	ja
siis	siis
olema	on
ikka	`ikke
leib	`leiba
võtma	`võtta
sealt	sialt
seest	seest
neoke	neokst
kunst	`kun'tsa
olema	oli
palju	paelu
inimene	inimestel
jah	jahh
ja	jaa
jah	jahh
küll	küll
arstima	arstitti
oh	ohh
heldeke	`heldekke
see	se
arstimine	`arstimine
jälle	`jälle
kes	kiss
neoke	neokst
minema	läksid
jälle	`jälle
no	no
üks	ühül
olema	oli
üks	üks
häda	äda
teine	teesel
teine+ki	teenegi
suitsetama	suetsettasid
jälle	`jälle
seoke	seost
olema	olid
suits	`suitsu
tegema	tegid
kui	kuij
olema	oli
keegi	`keegi
laps	laps
jälle	`jälle
natuke	nattikke
nutma	`nuttis
ja	ja
siis	siiss
jälle	`jälle
s	s
samane	samane
see	selle
suur	suure
nõid	nõija
käest	kääst
kui	kui
ka	kaa
saama	said
kuidagi	kudagi
kalts	`kaltsa
meie	meil
olema	oli
seal	seal
küla	külas
siis	siis
kui	kui
viima	`veisid
ajama	aeasid
ee	ee
üks	üks
õ	õ
see	selle
üks	üks
olema	oli
siin	sin
õu	õuwe
nõia+moor	nõija+moori
naine	naene
käima	köis
ees	ees
ja	ja
siis	sis
teine	teesed
käima	köesid
tema	tal
taga	taga
üks	üks
käima	köis
tema	ta
kõrval	`kõrbas
ja	ja
teine	teesed
taga	`takka
jälle	`jälle
võtma	`võtsid
ee	ee
põll	põlle
pael	paelad
sedasi	seasi
peo	`piusse
lõikama	`lõikkast
e	e
e	e
nuga	`nuaga
sealt	sealt
need	neid
tükk	`tükka
ja	ja
suitsetama	suetsettast
laps	`lapsi
jälle	`jälle
minema	mine
sina	sa
teadma	tia
kas	kas
tema	ta
aitama	`aittas
või	või
jah	jah
aga	aga
seda+moodi	seda+modi
suits	`suitsu
tegema	teha
laskma	`lasti
jah	jahh
jah	jahh
m	m
jah	jah
naine	naestel
olema	olid
jälle	`jälle
kui	kue
tema	ta
laps	last
vaatama	`vaattas
laps	last
nutma	`nuttis
jälle	`jälle
see	see
vaatama	`vaattas
ikka	`ikke
et	et
kuri	kuri
silm	silm
olema	on
üle	üle
käima	köind
ja	ja
laps	laps
nutma	nuttab
ja	ja
just	just
no	no
olema	oli
tegema	teind
vat	vat
mina	mul
ei	ei
tulema	tule
meel	`meeli
rääkima	`rääkki
kui	kui
mina	ma
pärast	pärast
siin	sii
kui	ku
teie	te
ära	ää
minema	läksit
mina	muul
mitu	mettu
asi	`asja
meel	`meelis
mina	ma
olema	oles
võima	võin
rääkima	`rääkkida
a	a
tulema	tuln
meel	`meeli
mitte	`mette
jah	jahh
kõik	kõigi
peale	`piale
pidama	pidi
hakkama	`akkama
kui	kui
kes	kiss
uskuma	`uskus
see	seda
jah	jahh
jah	jahh
no	no
tema	taa
mina	minu
naine	naese
isa	isa
rääkima	`rääkkis
e	e
keegi	`keegi
olema	oli
sinna	`sinna
olema	oo
hulka	`ulkka
maa	maad
seal	seal
Atla	`Atlas
jälle	jälle
s	s
samane	samane
kaks	kaks
mees	meest
olema	ond
seal	seal
ja	ja
hakkama	akkand
rääkima	`rääkkima
nõidus	`nõidusest
jälle	jälle
teine	teene
olema	oli
ütlema	üttelnd
vaatama	vaatta
ee	ee
kui	kui
sina	sa
kui	kui
sina	sa
tahtma	tahad
mina	mina
lööma	löön
see	selle
härg	ärjale
praegu	`paerga
kepp	keppiga
pihta	`pihta
ja	ja
kukkuma	kukkub
maha	maha
ja	ja
kohe	kuhe
hakkama	`akkab
surema	surema
jah	jahh
ja	ja
olema+ki	`ondki
lööma	löön
seal	seal
see	selle
kepp	keppiga
härg	ärja
härg	ärg
pikali	pikkali
maas	maas
sibama	sibab
jalg	`jalga
surema	sureb
aga	aga
siis	s
olema	`olle
ütlema	üttelnd
tikkuma	tikku
üles	ülessi
Puik	Puik
jah	jahh
tikkuma	`tikkund
üles	ülessi
olema	ond
terve	terve
jah	jahh
ja	ja
nagu	nagu
meie	meil
olema	oli
uss	ussi
ammustamine	ammustamisest
jälle	`jälle
jutt	jutt
siin	sii
e	e
Lihula	Lihulas
ju	ju
seal	seal
e	e
mm	mm
Matsalu	`Matsalus
ja	ja
ee	ee
seal	seal
ei	ei
pidama+ki	`piagi
vask+uss	vask+`us'sa
olema	olema
ee	ee
üks	üks
uss	us's
olema	oli
seal	seal
e	e
hammustama	ammustand
ja	ja
üks	üks
vana	vana
uss	ussi
ee	ee
sõna	sõnadega
mees	mees
jälle	`jälle
ja	ja
laskma	`lasnd
uss	ussi
välja	`väl'la
tulema	`tulla
sealt+samast	sealt+samast
mets	metsast
ja	ja
ee	ee
lööma	löönd
kepp	keppi
püsti	`püsti
maha	maha
ja	ja
minema	mine
siia	siija
ots	`otsa
uss	us's
minema	läind
sinna	`senna
ots	`otsa
kukkuma	`kukkund
lõhki	`lõhki
plaksti	`plaksti
jah	jahh
jah	jah
ja	ja
see	sellest
saadik	saadikke
kaotama	`kaottand
kõik	kõik
see	selle
maa	maa
pealt	pialt
need	ned
sealt	sealt
ee	ee
vald	valla
maa	maa
pealt	pialt
uss	ussid
ära	ära
ja	ja
seal	seal
ei	ei
pidama	pia
vask+uss	vask+`us'sa
olema	olema
jah	jahh
neoke	neokst
nõid	`nõidu
olema	oli
siin	sii
kuulma	kuulda
küll	küll
no	noo
siin	sii
neoke	neokst
seoke	seokst
mina	mina
ei	i
teadma	tia
üks	üks
va	vaa
Jaan	Jaan
olema	oli
see	see
olema	oli
küll	küll
maa+ilm	mailma
vigur	vigur
see	see
olema	põlnd
nõid	nõid
ega	ega
keegi	kedagi
see	see
tegema	tegi
muidu	muidu
ise	ennast
mina	maa
pidama	pidi
sina	suul
rääkima	`rääkkima
kuidas	kudas
tema	ta
rabandus+sõna	rabandus+sõnu
siin	sii
õpetama	õppettas
ja	ja
olema	on
meel	`meelis
sina	suul
ja+jah	ja+jahh
jah	jahh
jah	jahh
mm	mm
olema	oli
palju	paelu
neoke	neokst
asi	`asju
jah	jahh
siin	sii
mina	minu
mälestus	määlestus
kus	kuss
uss	us's
hammustama	ammustas
siis	siss
olema	oli
ee	ee
kõige	kõege
enne	enne
ikka	`ikke
kes	kiss
olema	oli
veel	vel
julge	`julge
mees	mees
ja	ja
kes	kell
hea	ia
vahe	vahe
nuga	nuga
tasku	`taskus
olema	oli
õõ	õõ
saama	sai
sealt	sealt
koht	kohast
kus	kus
see	see
jalg	jalg
olema	oli
hammustama	ammustud
tõmbama	`tõmmas
see	selle
nahk	naha
tükk	tükki
üles	ülessi
ja	ja
tõmbama	`tõmmas
nuga	`nuaga
see	selle
tükk	tükki
seest	seest
välja	`väl'la
see	see
olema	oli
ju	juu
üks	üks
mees	mees
pidama	pidi
julge	`julge
mees	mees
olema	olema
kes	kiss
aga	aga
enamasti	änamasti
olema	oli
ikka	`ikke
kui	kui
uss	ussi
veel	veel
uuesti	uijeste
kätte	`kätte
saama	said
uss	ussi
