vanasti	vanas'ti
rahvas	rahvas
kõik	kõik
kodunt	`kottu
kirik	kirikkusse
minema	lähväd
sina	sa
pidama	pid
kirik	kirikkusse
ka	kua
ikka	ekke
minema	menema
ja	ja
õpetaja	õppettaea
noomima	`noomis
sina	suu
nahk	naha
seal	siäl
ka	koa
veel	vel
ette	ette
tüma	tümaks
et	et
sina	sa
ikka	ik
parun	parunitte
sõna	sõna
pidama	pead
kuulma	`kuulma
aga	aga
suvi	sui
olema	ol'i
see	sest
hea	eä
olema	olnd
minema	läind
mets	`metsä
ja	ja
olema	old
puhkama	puhand
ja	ja
magama	magand
olema	põle
kirik	kirikkus
paljud	pal'lud
minema	läind
ühti	üht
aga	aga
talvel	`talve
külm	kül'mägä
sina	sa
pidama	pidid
kirik	kirikkusse
minema	menemä
jah	jahh
vat	vat
see	sedä
ei	ei
mina	ma
ei	ij
olema	ole
kuulma	kuulnd
kas	kass
ega	egä
seal	seäl
ikka	`ikke
inimene	inimest
ei	ei
lugema	`luettud
kui	kui
palju	pal'lu
seal	sial
olema	ol'i
aga	aga
kodu	kodu
kodu	kodo
olema	põle
tohtima	`tohtind
olema	`olla
enne	`en'ni
meie	me
õpetaja	õppettaead
ju	ju
noomima	`noomist
ju	ju
rahvas	rahvast
hirmus	irmus
palju	`pal'lu
kui	kui
mina	maa
väike	`väikke
poiss+ke	poisikke
hakkama	`akkasin
kui	kui
vana	vana
Peetsolt	Peetsolt
olema	oli
see	see
olema	ol'i
kange	`kange
noomima	`noomima
oma	oma
rahvas	rahvast
siis	siis
olema	ol'i
veel	veel
see	se
vana	vana
mõisnik	`mõisnikkude
vaim	vaim
väga	vägä
nemad	nende
sees	sees
ja	ja
ja	jaa
alam+rahvas	alam+`rahval
olema	põnd
ju	ju
miski	`miskid
võim	`võimu
ühtigi	`ühtigi
aga	aga
see	see
minema	läks
ikka	`ikke
kord	kord
kord	korralt
minema	läks
ikka	ikke
nõrk	nõrgemaks
nemad	nende
käes	käe
jah	jahh
ikka	`ikke
saama	sai
viima	`viidud
siis	sis
kihel+kond	kihelgond
maksma	`maksis
ju	ju
õpetaja	õppettaeale
palk	palga
iga	iga
koht	koha
peal	peal
olema	ol'i
nii	nii
meie	meije
koht	koht
olema	oli
olema	ol'i
vakk	vakk
vili	`vil'la
kas	kass
teadma	tiätte
mis	miss
vakk	vakk
vili	`vil'la
olema	onn
ah	ahh
teadma	tiat
noo	noo
jah	jahh
vakk	vakk
vili	`vil'la
olema	ol'i
ja	ja
teine	teese
aasta	`aasta
olema	ol'i
rubla	rubla
kuus+kümmend+üks	kuus+kümmend+üks
kopikas	`kopka
raha	raha
ja	ja
teine	teese
aasta	`aasta
olema	ol'i
rubla	rubla
kolm+kümmend+üks	kolm+gümmend+üks
kopikas	koppik
raha	raha
siis	siiss
teine	teese
aasta	`aasta
olema	ond
ikka	ikk
hobune	obose
päev	päe
ja	ja
teine	teese
aasta	`aasta
olema	ond
jalg	jala
päev	päe
ja	ja
aga	aga
siis	s
see	seda
aeg	`aega
mina	maa
ei	i
mäletama	määletta
siis	siiss
olema	ol'id
pere+mees	pere+med
ju	juu
kõik	kõik
õpetaja	õppettaea
seeme	`seemed
maa	maha
tegema	teind
ja	ja
ära	ää
koristama	koristand
ja	ja
ära	ärä
peksma	peksnd
ja	ja
pahma+rehi	`pahma+`rehtega
mitte	`mette
masin	masinaga
jah	jahh
mina	minu
äi	äi
rääkima	`rääkkis
tema	tämä
olema	on
ju	ju
mõis	mõesa
kiriku+mõis	kirikku+mõesa
rehi	`rehjes
küll	küll
hobune	obusid
taga	taga
ajama	aeand
pahmas	`pahma
peal	pial
jah	jahh
nooh	noohh
mis	mes
tema	tä
käima	käis
sina	sull
andma	`an'tti
käsk	käsk
kätte	`kätte
ja	ja
pidama	peäd
naa	naa
tegema	tegemä
noo	noo
jah	jahh
vat	vat
teie	tee
olema	olette
ju	ju
talu	talu
tuba	`tuades
käima	käind
no	no
seal	siäl
olema	old
ju	ju
pars	parred
sees	sees
ja	ja
siis	siss
rehi	rehi
see	se
vili	vil'i
ajama	`aetti
põhk	`põhkudega
tükkis	`tükkis
sinna	`senna
üles	ülesse
see	see
see	see
pars	parde
peale	`peäle
ja	ja
siis	siiss
kütma	`küetti
ahi	`ahju
ja	ja
see	see
tegema	tegi
kütma	küt'tis
tuba	tuba
hästi	`äs'ti
soe	soeaks
ja	ja
kui	kui
see	se
ära	ä
kuivama	`kuivis
siis	siis
laskma	`las'ti
ülevalt	ülevelt
maa	maha
ja	ja
ajama	`aetti
rehe+alune	rihale
ja	ja
hobune	obosed
peale	`piale
ja	ja
tallama	tallat'ti
hobune	`oostega
nii+kaua	nii+gauwa
kui	kui
tema	ta
peen	`peeneks
minema	läks
siis	siss
see	see
olema	ol'i
see	see
rehi	rehi
kõik	kõik
vili	vil'läd
ega	egä
enne	`en'ni
masin	masinad
ei	eij
olema	ond
rukis	`rukkid
see	see
ju	ju
jälle	`jälle
käsitsi	käsitsi
rukis	`rukki
vihk	vihod
panema	`pan'di
üles	ülesse
püsti	`püs'ti
ja	ja
siis	siis
rabama	rabatti
ära	ärä
ja	ja
kui	kui
maa	maha
laskma	`las'ti
ja	ja
olema	olette
nägema	näind
rukis	`rukki
rabamine	rabamest
noo	noo
jah	jahh
no	no
uus	uuwema
aeg	aa
rahvas	rahvas
ei	ei
teadma	teä
ju	ju
rukis	`rukki
vihk	vihk
võtma	`võetti
kätte	`kätte
ja	ja
hakkama	akkat'ti
siis	siiss
mööda	müda
laud	`lauda
andma	`anma
nii+kaua	nii+gauwa
kui	ku
see	se
tühi	tühäks
minema	läks
siis	siis
viskama	visatti
rehe+alune	rihale
ja	ja
rehe+alune	rihal
olema	ol'id
jälle	jälle
kes	kiss
maa	maha
panema	pan'id
ja	ja
lahti	`lahti
võtma	`võt'sid
ja	ja
lööma	lõid
pint	pindaga
peale	`piäle
ka	koa
veel	veel
puistama	puistatti
ära	ärä
ja	ja
siis	siis
panema	`pan'di
jälle	`jälle
vihk	`vihku
jah	jahh
ei	ei
noh	nohh
kus	kus
sina	sa
põhk	põho
panema	paned
tema	ta
olema	on
ju	ju
lahtine	`lahtine
põhk	põhk
olema	oo
ju	ju
paha	paha
panema	`panna
ja	ja
siis	siss
aga	aga
kui	kui
tema	ta
vihk	`vihkus
olema	ol'i
siis	sis
tema	ta
olema	ol'i
hea	eä
kindlasti	`kindlasti
vihk	`vihku
panema	`panna
või	või
ulu+alune	ullu+`alla
panema	`panda
ehk	ehk
välja	`väl'lä
viirg	`viirga
või	või
hahaa	hahhaa
noo	noo
jah	jahh
olema	oleks
mina	ma
kodu	kodo
olema	ond
mina	maa
olema	oks
näitama	näedänd
teie	teil
pint	`pintta
pint	pint
olema	oli
niuke	`niukkene
vars	var'ss
olema	ol'i
pikk	pikk
vars	var'ss
nagu	nagu
see	se
kepp	kepp
ja	ja
siis	siiss
siin	sii
olema	ol'i
siis	siis
puu+tomp	puu+tomp
olema	oli
siin	sii
otsas	`otses
rihm	rehmaga
olema	oli
siit	siit
kinni	`kin'ni
ja	ja
kui	kui
sina	sa
lööma	lõid
siis	siss
kes	kiss
oskama	`oskas
aga	aga
ilma	ilma
oskama	`oskamatta
ei	ei
saama	saand
siis	siis
hakkama	akkas
sedasi	seäsi
andma	`anma
ühte+lugu	üks+lugu
see	see
pint	pint
käima	käis
ring	`ringi
ikka	ik
pops	pops
ja	ja
pops	pops
sinna	senna
põhk	põhu
peale	`piale
ei	ei
paar	`paaris
paar	`paaris
olema	oli
kerge	`kergem
peksma	`peksä
aga	aga
üksi+päini	üksi+bäne
peksma	`peksid
siis	siis
olema	ol'i
kui	kui
sina	sa
paar	`paaris
käima	käid
sama	sama
kui	kui
sina	sa
paar	`paaris
üks	ühe
inimene	inimisega
käima	käid
kerge	`kergem
käima	`käijä
üksik	üksikkult
olema	ol'i
raske	`raske
mina	maa
olema	len
üksik	üksikkult
peksma	peksnd
aga	aga
tüütama	`tüittab
ära	ää
aga	aga
paar	`paaris
kaks	kaks
paar	`paari
inimene	inimisi
olema	ol'id
peal	pial
ja	ja
siis	sis
hakkama	akkatti
puistama	`puistama
püsti	`püs'ti
püsti	`püs'ti
olema	ol'id
seal	säl
peal	pial
ja	ja
aga	aga
üks+teise	üks+tese
järele	järele
esimene	esimene
paar	paar
olema	ol'i
ees	ees
saama	sai
see	see
üle	üle
ja	ja
siis	ss
teine	test
tulema	tul'id
takka	`takka
järel	järel
ja	ja
teine	test
hakkama	`akkast
järelt	järelt
puistama	`puistama
siis	siis
panema	`pan'di
õlg	õle
side	sideme
peale	`peäle
ja	ja
see	se
ütlema	`öötti
õle+vihk	õle+vihk
tegema	`tehti
katus	kattossid
jah	jahh
enne	`enne
olema	ol'id
ju	ju
kõik	kõik
õlg+katus	õle+kattossed
ja	ja
andma	`an'tti
loom	loomale
sööma	`süija
ja	ja
ja	ja
raiuma	raijutti
katki	`kat'ki
ja	ja
panema	`pan'di
loom	`loomadele
alla	`alla
kui	kui
need	neid
käes	käe
küll	küll
olema	ol'i
ega	egä
need	nendega
muu	muud
tegema	`tehtud
keegi	kedägi
panema	`pan'di
kartuli+hunnik	kardule+un'ikku
peale	`piale
ja	ja
see	see
see	see
pudenema	pudenes
sinna	senna
põrand	paranda
peale	`peäle
ja	ja
õlg	õled
pealt	peält
ära	ää
siis	siis
siis	siis
riisuma	riisutti
pealt	peält
ära	ärä
ja	ja
need	ned
tera	teräd
lükkama	lükkätti
nurk	`nurkka
reha	rehäga
jah	jahh
kui	kui
rehi	rehi
valmis	`val'mis
olema	ol'i
ja	ja
võima	võisid
mitu	mittu
rehi	`rehte
ära	ää
peksma	`pekstä
ja	ja
siis	siiss
kui	kui
hea	eä
tuul	tuul
tulema	tul'i
sari	sari
panema	`pan'di
üles	ülesse
ja	ja
siis	siiss
panema	`pan'di
külimit	kilimittuga
sinna	senna
sari	`sarja
ja	ja
siis	siss
sakutama	sakkuttadi
ja	ja
see	see
tegema	tegi
nii	nii
puhas	`puhta
vili	vil'lä
siis	siiss
naa	naa
et	et
rehe+alune	rihale
lagi	lae
alla	`alla
värav	värävä
kohta	`kohta
noh	nohh
sest	sest
keset	`kesked
paik	`paikka
rehe+alune	rihalust
ei	eij
olema	ond
aga	aga
mina	meo
isa	isä
rääkima	`rääkkis
kui	kui
siis	s
kui	kui
tema	tema
lapse+põlv	lapse+`põlves
olema	ond
vat	vat
siis	siis
olema	ol'i
ju	ju
väga	väga
vähe	vähä
see	sedä
vili	`vil'jä
rahvas	rahvas
olema	ol'i
kõik	kõik
mõis	mõisa
orjus	`orjusses
kodune	kodone
töö	töö
olema	ol'i
tegema	tegematta
olema	põnd
ju	ju
leib	`leiba
nii	nii
palju	bal'lu
kui	kuij
olema	on
rehi	rehi
valmis	`val'mis
olema	ond
siis	siiss
sari	sari
panema	`pandud
kartsas	`kartsa
pulka	`pulkka
ja	ja
teie	te
olema	olette
redel	redelid
nägema	näind
noo	noo
jah	jahh
ja	ja
siis	siiss
need	need
suur	suuremad
kõlgas	`kõlkkad
olema	ol'id
läbi	läbi
sari	sarja
ajama	`aettud
ja	ja
mis	miss
alla	`alla
pudenema	pudenes
kõik	kõige
agan	aganade
ja	ja
muld	mullaga
tükkis	`tükkis
panema	`panttud
kott	`kot'ti
ja	ja
viima	`viidud
veski	`veskele
olema	ol'i
ära	ää
jahvatama	jahvattod
siis	siss
ja	ja
see	sedä
siis	siiss
inimene	inim
pidama	pidi
sööma	`söömä
vana	vana
Mae	Mae
Juhan	Juhan
kui	kui
mina	maa
kool+poiss	kooli+boiss
olema	ol'i
noh	nohh
tema	taa
olema	ol'i
ka	koo
siis	siss
vana	vana
mees	mees
tema	taa
ütlema	`ütles
oh	ohh
laps	lapsed
mis	miss
teie	teittel
viga	viga
kool	`kool'is
käima	`käija
olema	onn
kui	kui
mina	mina
kool	`kool'is
käima	käisin
siis	siis
olema	ol'i
nii	nii
aganane	aganane
leib	leib
et	et
see	se
ei	ei
seisma	seisnd
ühes	öhöski
jah	jah
ja	ja
siis	siiss
tüdruk	tüdrugud
olema	ol'id
mõis	`mõisas
tegu	teol
olema	ond
siis	siiss
kui	kui
nemad	nad
nüri	nürida
nuga	`noaga
olema	ol'id
lõikama	lõegand
see	seda
värske	`värsked
leib	`leibä
ja	ja
see	se
viilakas	viilukkas
panema	`pandud
siis	siis
päev	päävä
kätte	`kätte
kuivama	`kuivam
ja	ja
see	see
olema	ol'i
siis	siis
nii	nii
püsti	`püs'ti
pind	pinnad
sees	sees
olema	ond
ja	ja
olema	ol'id
see	sellega
pea	piad
sugema	sugend
jah	jahh
aga	aga
inimene	inim
pidama	pidi
see	sedä
sööma	`sööma
ja	ja
pidama	pidi
elama	elämä
terve	`terved
ja	ja
olema	ond
tugev	tugevad
siis	sis
ega	egä
niuke	`niuksi
haigus	`aigusi
olema	põnd
kui	kui
nüüd	nüid
olema	onn
kes	kiss
ei	ei
enne	`enni
see	sedä
kuulma	`kuul'is
et	et
alam+rahvas	alam+`rahval
tohter	`tohtred
olema	ol'id
jälle	jälle
see	se
need	need
olema	ol'id
suur	suured
vonn	vonnid
ja	ja
mõisnik	`mõisnikkud
kes	kellel
tohter	`tohtred
tooma	`toodi
alam+rahvas	alam+rahvas
viima	`viidi
tall	`tal'li
ja	ja
nuhtlema	nuhel'di
kere	kere
läbi	läbi
ja	ja
see	see
olema	ol'i
tema	tämä
arst	ar'st
ja	ja
apteeker	aap`tiikker
ei	ei
tema	taa
ütlema	üts
tema	tema
lapse+põlv	lapse+`bõlves
olema	ol'i
nuhtlus	`nuhtlus
ära	ää
kaduma	kadund
tema	tema
mõisa+tall	mõesa+`dal'lis
peksa	`peksa
ei	eij
olema	ole
saama	saand
jah	jahh
töö	tööl
olema	olen
küll	küll
käima	käind
kartul	karduld
võtma	`võtmas
olema	olen
käima	käind
muu	muud
mina	ma
olema	põle
tegema	teind
kodu	kodos
olema	ol'i
siis	siiss
laps	lapsed
olema	ol'id
ju	ju
töö+tegija	töö+degijäd
ja	ja
isa	isa
ema	emäd
olema	ol'id
ja	ja
no	no
raha	raha
olema	oli
ka	koa
tarvis	`tar'vis
vaatama	vatta
raha	raha
olema	põlnd
ka	koa
saama	`saada
rent	ren'did
olema	ol'id
nii	nii
suur	suured
sina	saa
pidama	pidid
orjama	`orjama
ühte+lugu	üks+lugu
eks	eks
siis	siiss
saama	sai
ka	koa
tulema	tule
hommikul	omikku
või	või
õhtul	`õhta
mõis	mõesast
kodu	koeo
ajama	aea
rehi	rehi
rehi	rehe
ahe	`ahted
sisse	`sisse
isa	isa
ema	emä
siis	siiss
tooma	tõid
vili	vil'lä
põld	põllalt
ära	ää
nii+palju	nii+bal'lu
sööma	söö
ja	ja
hakkama	`akka
rehi	rehele
ei	ei
saama+ki	`saantki
magama	magada
päev	päävä
tõus	tõusust
pidama	pidi
koit	koedust
ja	ja
päev	päävä
tõus	tõusust
võtma	võtta
leiva+kott	lebä+got't
lähker	`lähker
selga	`sel'gä
ja	ja
minema	mine
Koopa	`Kooppale
üks	üks
neli	nel'i
kolm	kolm
neli	nel'i
kilo+meeter	kilu+`meettert
maa	maad
et	et
sina	sa
seal	seäl
päev	päävä
tõus	tõusuks
sina	sa
pidama	pidid
juba	juba
vagu	vao
peal	peäl
olema	olema
teo+mees	tio+med
hakkama	`akkast
ju	ju
koit	koedost
juba	juba
lahti	`lahti
ajama	`aama
kui	kui
nemad	nad
nägema	nägemä
hakkama	`akkasid
see	see
olema	ol'i
see	see
ori+aeg	orja+aeg
ja	ja
see	se
see	se
kõige	kõege
vana	vanem
ori+aeg	orja+aeg
see	sedä
mina	maa
ei	i
teadma	teä
see	sedä
mina	ma
olema	põle
nägema	näind
ka	koo
nii+sama	nii+sama
moodi	`moodi
mõis	mõesa
rehi	rehed
olema	ol'id
kõik	kõik
sedasi	`seasi
ära	ää
talv	talve
läbi	läbi
peksma	`pekstud
rehi	`rehte
päeval	pääv
olema	ol'i
mujal	maeal
töö	tööl
olema	ond
ja	ja
õhtul	`õhta
siis	siiss
rehi	rehele
talv	talve
läbi	läbi
vat	vat
mõis	mõesal
olema	ol'i
siis	siis
palju	`pal'lu
vili	`vil'la
ju	ju
opman	`opman'nid
ja	ja
ja	ja
siis	siis
kilter	`kiltred
ja	ja
kubjas	`kupjad
rehe+papp	rehe+bapp
ei	eij
olema	ole
mitte	mät
sundija	`sun'dija
olema	ond
rehe+papp	rehe+bapp
olema	ond
see	see
kes	kiss
vili	`vil'la
tuulama	tuuland
jah	jahh
aga	aga
siis	sis
kubjas	`kupjad
olema	ol'id
ikka	ikke
vanasti	vanas'ti
küll	küll
ikka	ikke
hirmus	`irmsad
inimene	inimesed
ka	koa
olema	ond
need	nee
olema	ol'id
seal	siäl
ikka	ikke
pahmas	`pahma
või	või
see	see
rehi+peks	rehe+beksu
ajal	aas
ikka	`ikke
kepp	`keppi
ka	koa
inimene	inimesele
andma	annud
noh	nohh
nii	nii
olema	ol'id
iga	igas
mõis	`mõisas
kuri	kurjad
kubjas	`kupjad
noo	noo
jah	jahh
siis	siiss
vanasti	vanaste
üks	üks
Maina	Maena
olema	ond
see	see
olema	ol'i
suur	suur
tugev	tugev
mees	mees
ja	ja
see	see
hirmus	irmus
kuri	kuri
ka	koa
olema	ond
ja	ja
see	see
olema	ond
ka	koa
ikka	kke
hirmus	irmus
peksja	`peksja
kui	kui
tema	ta
kepp	keppiga
ehk	ehk
tümikas	tümmilgaga
andma	and
aga	aga
kohe	kohe
veri	veri
taga	taga
see	see
ütlema	`öötti
jah	jahh
seal	siäl
olema	ol'id
ju	ju
kuri	kurjad
küll	küll
olema	ond
aga	aga
siis	siis
ikka	ik
vits	`vitstega
peksma	`pekstud
perse	`perssi
nahk	nahk
lööma	`löödi
peksma	peksettud
lõhki	`lõhki
ja	ja
mina	menu
isa	isa
rääkima	`rääkkis
ka	koa
veel	veel
vanasti	vanaste
olema	ond
lõks+lõng	lõksu+lõngad
ketrama	kedratta
kas	kas
teie	te
vokk	vokkid
olema	olette
nägema	näind
noo	noo
jah	jahh
tüdruk	tüdrugule
olema	ol'i
andma	and
lõng	lõngad
ja	ja
kui	kui
need	ned
lõng	lõngad
olema	ond
ketrama	kedrattud
siis	siiss
viima	`viidud
lõng	lõngad
mõis	`mõisa
ja	ja
vahi+mees	vahi+mes
olema	ond
siis	siiss
see	se
vastu+võtja	`vastu+`võt'ja
ja	ja
proua	prouwa
olema	ond
kõrval	`kõrvas
ja	ja
raamat	raamat
käes	käe
ja	ja
kirjutama	kirjottab
kui	kui
vahi+mees	vahi+mes
ütlema	üttelnd
et	et
lõng	lõngad
olema	on
karune	karosed
vits	`vitsu
ka	koa
vaja	vaea
natuke	nattukke
see	see
kirjutama	kirjudud
kohe	kohe
üles	ülesse
ja	ja
ja	ja
kes	kell
ilus	ilosad
lõng	lõngad
olema	ond
siis	siiss
need	nette
tüdruk	tüdrugudele
olema	ol'i
andma	`andud
siis	siiss
ilus	ilusad
pärg	pärjed
pea	pähä
ja	ja
tükk	tükk
ilus	ilusad
puhtas	`puhtast
leib	`leiba
ka	koa
ja	ja
see	see
kes	kell
olema	ond
vilets	viletsad
lõng	lõngad
see	sell
käsk	käsk
kätte	`kätte
minema	minge
tall	tal'li
juurde	`juurde
ja	jaa
saama	saatte
siis	siiss
ihu+nuhtlus	ihu+`nuhtlust
jah	jah
ja	ja
siis	siiss
tüdruk	tüdruk
olema	ol'i
kodu	koeo
tulema	tund
ja	ja
minema	läind
üles	ülesse
keris	kerissele
ja	ja
olema	ol'i
siis	siiss
ise	ennast
määrima	`määrind
seal	siäl
aga	aga
siis	sis
õis+puu	õis+puu
vesi	ves'i
jooksma	joost
mööda	möda
kand	`kandu
alla	`alla
perse	perse
olema	ond
lõhki	`lõhki
punane	punane
kõik	kõik
tagant	tagant
see	see
olema	ol'i
see	see
olema	ol'i
see	se
ori	orja
ori	orja
kehv	kehv
asi	asi
siis	siis
need	neid
olema	ol'i
ikka	ikk
olema	ond
aga	aga
vat	vat
see	seda
mina	ma
ei	i
teadma	tiä
mis	miss
aeg	aeaks
siis	siiss
kõik	kõik
pidama	pidi
siis	siis
valmis	`val'mis
olema	olema
või	või
aga	aga
ühe+korraga	ühö+korraga
olema	ol'id
nemad	nendel
see	see
käsk	käsk
andma	`anttod
et	et
lõng	lõngad
ära	ära
tooma	`tuuwa
seal	siäl
vedama	`väetti
kõik	`kõikki
vedama	`väetti
sõnnik	sõn'ikkud
talvel	talve
ja	ja
vedama	`väetti
puu	puid
ja	ja
talvel	talvel
sulane	sulane
ja	ja
tüdruk	tüdruk
aasta	`aasta
läbi	läbi
jälle	jälle
see	se
hobune	obosega
ja	ja
ja	jaa
siis	s
lõikus	`lõikkuse
aegu	`aeges
pere+mees	pere+mes
ja	ja
pere+naine	pere+naene
käima	käind
ka	koa
veel	vel
abi	abiks
tegema	tegemes
ja	ja
oma	oma
vili	vil'i
pudenema	pudenegu
puhta	`puhta
põld	`põldu
sest	sest
ei	eij
olema	ole
tähele	tähele
panema	`pandud
öösel	`öösi
siis	siis
olema	ol'id
oma	oma
rukis	rukkist
saama	saand
lõikama	lõegatta
aga	aga
mitte	mõt
päeval	`päävä
siis	siiss
olema	ol'id
sirp	sirbid
käsitsi	käsitse
lõikama	lõegatti
niuke	`niukke
kõver	kõber
sirp	sirp
olema	ol'i
ja	ja
aga	aga
nüüd	nüid
uus	uuwemal
aeg	aal
mina	maa
olema	olen
katsuma	`katsond
ka	koa
sirp	sirbiga
lõikama	lõegatta
aga	aga
siis	siis
nüüd	nüid
uus	uuwemal
aeg	aal
saama	sai
ikka	`ikke
vikat	vikkat'tiga
siis	siis
olema	ol'i
kõik	kõik
sirp	sirbid
siis	siis
vikat	vikkat'tid
olema	põle
tohtima	`tohtind
näitama	näädatta
kõik	kõik
sirp	sirbiga
ja	ja
vihk	vihod
pidama	pidand
üks+sugune	ühö+sugused
olema	olema
kui	kui
üks	üks
vihk	vihk
vähem	vähäm
või	või
teine	teene
noh	nohh
jälle	jälle
see	see
suur	suurem
andma	`anttud
kepp	`keppi
see	se
panema	`pan'di
hakk+jalg	ak+`jalga
püsti	`püs'ti
see	se
hakkama	akkat'ti
üks	üks
süda	südämest
see	see
pealt	piält
siduma	`siutti
kokku	`kokko
ja	ja
siis	siis
hakkama	akkat'ti
ümber+ringi	`ümmer+`ringi
need	neid
vihk	`vihkusi
panema	panema
ja	ja
pea	piä
panema	`pan'di
otsa	`otsa
ja	ja
siis	sis
seal	siäl
tema	ta
kuivama	`kuivis
ära	ära
kui	kui
kuiv	kuiv
olema	ol'i
kuivama	`kuivis
nõnda	nõnna
ära	ära
et	ett
kaks+kümmend+viis	kaks+kümmend+viis
vihk	`vihku
see	see
ütlema	`öötti
siis	sis
hakk+jalg	ak+jalg
aga	aga
naber	`napra
panema	`pan'di
viis+kümmend	viis+kümmend
vihk	`vihku
sinna	`sinna
tegema	`tehti
siis	sis
kaks	kaks
tükk	`tükki
ja	ja
siis	siis
saama	sai
koorem	`koorma
sada	sada
vihk	`vihku
olema	ol'i
koorem	`koormas
käima	käind
naber	napr
tegema	`tehti
ka	koa
sama+moodi	samma+`moodi
jah	jahh
aga	aga
tema	ta
olema	ol'i
suur	suurem
tema	täll
hakk+jalg	ak+jalas
olema	ol'i
kaks+kümmend+viis	kaks+kümmend+viis
ja	ja
siis	siis
naber	`napras
olema	ol'i
viis+kümmend	viis+kümmend
vihk	`vihku
noo	noo
jah	jahh
see	see
kui	kui
hein	ein
tegema	tehtud
saama	sai
siis	siis
saama	sai
ju	ju
rukis	`rukki
rehi	rehesid
peksma	`peksma
august	augus'ti
kuu	kuus
saama	sai
ju	ju
rehi	rehesid
peksma	`peksa
ja	ja
siis	siiss
saama	sai
ju	ju
seeme	seemet
tegema	`tehtud
ja	ja
rukis	`rukki
seeme	seemet
mõis	mõesa
hakkama	`akkas
esimene	es'imest
vana	vana
aeg	aeal
esimene	es'imest
august	augus'tist
tegema	tegema
aga	aga
siis	siiss
talu+poeg	talo+boead
tegema	tegid
lauritsa+päev	lauritsa+pääväst
ei	ei
see	sell
olema+ki	`põlntki
vahe	vahe
teine	teene
töö	töö
ootama	`oottas
ju	ju
teine	teist
kui	kuij
olema	ol'i
hein	ein
