masin	masinad
läbi	läbi
udu	udu
hakkama	akkan
juba	juba
paistma	`paistmä
jah	jahh
sedasi	sedasi
ja	ja
siia	`seija
maa	`maale
kui	kui
käima	käisim
ikka	`ikka
olema	oli
jänes	jänese
püüd	püid
aga	aga
mina	ma
see	selle
meeste+rahavas	meeste+ravale
rääkima	`rääksin
üks	üks
üks	üks
jutt	jutt
aga	äga
see	seda
teie	tee
ei	ei
muuseum	muuseum
e	e
ega	ega
ega	ega
see	see
tema	temal
olema	pöln
nii+sugune	nisukkest
värk	`värkki
juures	`juures
see	se
vana	vana
kui	kui
katk	katku
aeg	aeast
see	si
Paldiski	Paldiski
ümbrus	`ümbrus
siin	siin
olema	oli
katk	katk
olema	old
aga	aga
Paldiski	Paldiski
linn	linn
päästma	päästettud
katk	katkust
ära	ära
aga	aga
see	selleks
olema	oli
olema	old
tarvis	`tarvis
kolm	kolm
vagu	vagu
ümber	`ümber
linn	linna
kündma	`kündä
ja	ja
must	musta
härg	`ärgiga
ja	ja
härg	ärjad
pidama	pidid
olema	olema
kaksik	kaksikkut
vasikas	vasikkad
jaa	jaa
jaa	jaa
Leetse	`Lietse
Uueda	Uuwedalt
olema	onn
nemad	naad
pärima	pärittud
olema	old
ja	ja
kündma	`künttud
siis	sis
kolm	kolm
ring	`ringi
need	nendega
ümber	`ümber
linn	linna
noh	noohh
mis	mis
siis	siis
olema	oli
sealt	sialt
linn	linnast
välja	`väl'la
tulema	tult
siin+pool	siin+bol
linn	linna
ots	`otses
üks	üks
kivi	kivi
mis	mis
praegu	`praegu
alles	alles
enne	`enne
tegema	`tehti
veel	vel
jaani+tuli	jaanis+tuld
seal	sial
peal	pial
katk	katk
olema	oli
istuma	`istun
seal	sial
kivi	kivi
otsas	`otses
oh	ohh
sina	sa
kelmi+küla	kelmi+küla
oh	ohh
sina	saa
kelmi+küla	kelmi+küla
jaa	jaa
nutma	nutt
ise	ise
kangesti	`kangesti
tahtma	taht
sisse	`sisse
pääsema	`pääsed
vana	vana
jutt	`juttude
järel	järel
kui	kui
see	sie
vana	vana
kabel	Kabeli
noh	nohh
see	se
hüüdma	`üittaks
kabel	Kabeli
hüüdma	üijavad
ikka	`ikka
praegu	`praegu
aga	aga
see	sell
olema	on
oma	omma
nimetus	nimettus
ka	koa
nii	nii
et	ett
katk	katku
aegne	`aekseid
surnu	`surnuid
ja	ja
kõik	keik
mis	miss
siin	siin
olema	olnd
meri	mere
ääres	äärs
siit	siit
natuke	nattukke
maa	maad
all+pidi	all+bidi
siin	siin
olema	oli
üks	üks
nii	nii
kõrge	`körge
nelja+kandiline	nella+gandiline
e	e
raud+kivi	raud+kivi
see	sie
olema	pöln
raiuma	raijuttud
see	see
üks	üks
looma	`loodud
kivi	kivi
aga	aga
sedasi	sedasi
üks	üks
nii	nii
jäme	jäme
ja	ja
sedasi	sedasi
nii	nii
kõrge	`körge
ka	koa
seal	sial
olema	oli
suur	suur
sügav	sügav
rist	rist
raiuma	raijudud
sisse	`sissi
ja	ja
siis	siis
olema	oli
väike	`väikseid
maa	maa
maa	maa
kivi	kiva
ka	koa
kus	kuss
ikka	`ikka
rist	ristid
peal	pial
olema	olid
ja	ja
siis	siss
see	sie
meie	mee
oma	oma
kool+meister	kool+`meister
rääkima	`rääkkis
siin	sin
vanasti	vanasti
olema	oli
siis	siss
üks	üks
isa	isa
viima	viin
ka	koa
härg	`ärgiga
ütlema	ütteld
olema	oli
see	se
viis	viis
või	vöi
kuus	kuus
laps	last
viima	viin
korraga	korraga
siia	`seijä
see	se
katk	katku
aeg	aeg
viima	viin
siia	`seijä
kabel	Kabeli
mägi	määl
siit	siit
sama	sama
küla	küläst
jah	jähh
see	sie
mina	ma
kuulma	`kuulsin
oma	oma
kool+meister	kool+`meistre
käest	kääst
kuulma	`kuulsin
see	seda
jutt	`jüttu
see	sie
olema	on
juba	juba
üks	üks
tõsine	tösine
jutt	jütt
see	sie
olema	oli
see	sie
olema	oli
siit	sitt
siit	sitt
Paldiski	Paldiski
poolt	poold
äär	ärest
pärima	pärittud
seal	sial
see	sie
krunn	krun'n
paistma	paistab
väike	väikke
koht	koht
tema	tema
tütar	tüttär
ka	koa
seal	sial
see	see
üks	ükss
vaatama	vatta
nüüd	nüit
olema	oli
need	neit
Ingland	`Inglanttisi
olema	oli
siis	siis
tulema	tuli
juba	juba
rohkem	`rohkem
siin	siin
küla	külas
ja	ja
nüüd	nüit
toppima	`toppin
meie	meije
nimi	nimele
pere+kond	pere+gonn
nimi	nimele
sinna	`sinna
vahele	vahele
Ingland	Ingelant
ja	ja
nüüd	nüid
olema	oli
mina	mull
see	sellega
olema	oli
pärast	pärast
jampsima	`jampsi
siin	siin
laps	`lastega
muidu	muidu
kirjutama	kirjudadi
valla+maja	valla+maeast
kirjutama	kirjudadi
välja	`vällä
Ingland	Inglant
ja	ja
nii	nii
et	ett
vald	valla
talitaja	talittä
Ritbäk	`Ritbäk
või	vöi
mis	miss
see	sie
olema	oli
siis	sis
see	sie
talitaja	tallittaea
all+kiri	all+giri
siin	sinn
Kloostre	`Kloostre
vald	`valdas
Ingland	Ingelanttisi
ei	ei
olema+ki	olegi
kõik	köik
olema	onn
Ingland	`Inglandid
mis	miss
olema	onn
siin	siin
noh	nohh
ja	jä
keegi	kedagi
jääma	jäi
ikka	`ikka
kiriku+raamat	kirikku+raamattus
ikka	`ikka
jälle	`jälle
selgelt	`sel'geld
kiriku+raamat	kirikku+ramattus
sedasi	sedasi
kirjutama	kirjuttud
ja	ja
see	sie
pidama	pidi
siis	siis
olema	olema
nii	nii
ja	ja
nüüd	nüit
siis	siss
see	sellega
olema	oli
veel	vell
poiss	poist
oma	oma
mina	münu
poeg	`poegil
olema	oli
siin	siin
jäperdama	jäpperdas
see	sellega
ka	koa
olema	old
käima	`käijä
jooksma	joose
peale	`piale
ja	ja
aga	aga
pidama	pidime
siis	siis
valla+maja	valla+mast
võtma	`vötma
kirjutaja	kirjuttae
valla+kirjutaja	valla+kirjutta
ütlema	`ütles
seal	sial
et	ett
ootama	oodage
veel	veel
natuke	nattukke
aeg	`aega
meie	meil
varsti	`varsti
tulema	tuub
nimi	nimede
muutmine	`muutmise
aeg	aeg
tulema	tuleb
siis	siis
saama	saatte
ilma	`ilma
raha	rahatta
kui	ku
nüüd	nüit
siis	siiss
pidama	piab
natuke	nattukke
maksma	`maksmä
ja	ja
nõnda	nõnna
olema+ki	oligi
siis	siss
otsima	`ot'sisid
need	neid
pere+kond	pere+gonna
nimi	nimesi
raamat	raamat
olema	oli
teine	teistel
siis	siis
ja	ja
kõik	keik
olema	olid
mina	mina
ei	ei
teadma	tia
kus	kuss
see	sie
see	seda
nimi	nime
vist	vist
ei	ei
olema+ki	`olngi
see	selle
raamat	raamattus
see	sie
poiss	poiss
olema	on
nüüd	nüit
kaduma	kadun
minema	läks
siit	sitt
minema	läks
söe+väli	söea+väl'lale
kaasa	`kaasa
teine	teised
kaks	kaks
poiss	`poissi
korraga	korraga
jaa	jaa
see	see
ütlema	üdles
mina	mina
võtma	vöttan
oma	omale
Ida+rand	Ida+rant
tegema	`tehke
teie	teije
mis	miss
tahtma	tahte
ja	ja
nõnda	nönna
olema+ki	olidgi
kõik	köik
nõus	nöus
puha	puhass
kolmekesi	kolmegesi
ja	ja
neljakesi	nel'lageisi
ja	ja
jääma	`jäigi
siis	siss
ja	ja
siis	siss
see	see
meie	meije
isa	isa
aeg	aal
nõnda	nönna
et	ett
ütlema	`ütleme
nüüd	nüid
mina	minu
isa+isa	isa+isa
need	need
olema	oid
siin	siin
sulane	sulaseks
olema	oln
ja	ja
see	sell
aeg	aal
mõis	möisas
kus	kuss
need	neid
nimi	nimesi
olema	oli
andma	`aanttud
ja	ja
siis	siss
ütlema	ütteln
see	selle
vana	vana
pere+mees	pere+mel
et	et
mis	mis
sina	sa
tooma	tood
oma	omal
see	selle
tooma	too
mina	`mulle
ka	koa
noh	nohh
sedasi	sedasi
jääma+ki	`jäigi
see	se
üks	üks
nimi	nimi
siis	sis
see	sie
ja	ja
pärast	pärast
muidugi	muidugi
inimene	inimised
kasvama	`kasvasid
nõnda	nönna
et	ett
olema	oli
see	si
siin	siin
küla	külas
juba	juba
need	neit
pere+kond	pere+`gondasi
üsna	üsnä
mitu	mittu
ju	ju
Oukanis	`Oukkaniss
see	sie
olema	on
kaa	kaa
üks	üks
rootsi	rootsi
nimi	nimi
Rööbukru	Rööbukru
põld	pöld
ja	ja
heina+maa	einam
olema	oli
Tieringi	Tieringi
jälle	`jälle
võõras	võeras
nimi	nimi
Kilingi	Kilingi
Krässuni	`Krässuni
vist	vist
olema	pöle
ka	koa
eesti	eesti
nimi	nimi
nüüd	nüit
nüüd	nüit
nemad	nad
mina	ma
olema	olen
kuulma	kuuln
need	nende
käest	kääst
et	ett
see	sie
pidama	piab
olema	olema
rootsi	rootsi
endine	`en'dist
rootsi	rootsi
nimi	nimed
jah	jahh
muist	muist
olema	on
heina+maa	eena+mad
muist	muist
e	e
karja+maa	karja+mad
ja	ja
lõpp	löpp
olema	on
kus	kus
Prita	Pritta
ots	`otses
seisma	seisab
seal	sial
olema	on
kuus+teist	kuus+teist
süld	`sülda
vesi	vett
jah	jahh
pealt	pialt
oh	ohh
pealt	piald
olema	on
ikka	ikka
üks	ükss
vaat	vaat
et	ett
kümme+kond	kümme+gonna
süld	`sülda
lai	lai
mis	miss
pealt	pialt
olema	onn
ja	ja
sedasi	sedasi
pank	pank
olema	ond
ja	ja
all	all
olema	oli
sedasi	sedas
tahtma	`tahtsid
siis	siis
see	selle
sild	silla
üle	üle
tegema	tiha
ja	ja
ja	ja
mitu	mittu
aasta	`aastat
see	sie
vist	vist
kaks	kaks
kolm	kolm
aasta	`aastad
või	vöi
mis	mis
see	sie
olema	oli
see	seda
tegema	`tehtud
ja	ja
väga	väga
ränk	ränk
raske	`raske
töö	tüö
olema	oli
kaa	kaa
olema	oln
nii	nii
et	ett
vang	vangit
olema	on
see	selle
töö	tüös
olema	oln
ja	jä
pärast	pärast
viimaks	`viimaks
vang	vangid
uputama	upputtan
ise	ennast
kaa	kaa
ära	ära
see	sie
kes	kiss
kivi	kividega
minema	läin
see	sie
ise	ennast
ära	ära
kaotama	kaodan
kaa	kaa
sinna	`sinnä
e	e
ega	ega
teie	tee
olema	pöle
seal	sial
muul	`muulis
käima	käin
ei	ei
ei	ei
ole	ole
käima	käin
ja	ja
aitama	`aittaks
vaatama	vaadada
kaa	kaa
kord	kord
mis	miss
seal	sial
tegema	`tehtut
see	sie
aga	aga
mina	mina
see	seda
ei	ei
teadma	tia
kas	kass
püssi+rohi	püssi+rohi
olema	oli
see	sell
aeg	aeal
juba	juba
ka	koa
aga	aga
siis	s
puurima	puurid
jäme	jämedad
puuri+auk	puuri+augud
olema	onn
nii	nii
jäme	jämedad
puuri+auk	puuri+augud
olema	onn
mis	miss
sealt	sialt
paas	pae
seest	seest
paistma	paestab
välja	`väl'lä
ja	ja
sügav	sügavasse
olema	on
kõik	köik
meri	`merde
viima	`viidud
ümber+ringi	`ümme+`ringi
kõik	keik
e	e
jah	jahh
tema	tema
tahtma	`tahtis
sild	silla
saar	`saare
tegema	tiha
siis	siss
see	sie
vahe	vahed
kinni	`kinni
siit	siit
ja	ja
siis	siss
jälle	`jälle
see	see
Katariina	Kattariina
valitsus	valitsuse
aeg	aeg
no	no
nüüd	nüit
jälle	`jälle
ja	ja
siis	siis
see	se
sealt	sialt
see	see
see	se
maa	maa
seest	seest
nii	nii
sügav	sügavaks
tegema	tiha
vat	vatt
see	sell
aeg	aal
ikka	`ikka
vist	vist
püssi+rohi	püssi+`rohtu
või	vei
suur+tükk	suur+`dükki
ei	ei
olema	oln
et	ett
siis	siss
laadima	laevad
veel	veel
sinna	`senna
sisse	`sisse
vari	varjule
seda+moodi	seda+modi
ja	ja
see	sie
see	seda
mina	ma
vist	vist
kalender	`kallendris
vaatama	`vaatsin
et	ett
et	ett
et	ett
jälle	`jälle
ja	ja
siis	siiss
Paldiski	Paldiski
mis	mis
tema	ta
olema	onn
see	sie
katedraal	kadrendall
või	vöi
kuidas	kudas
see	sie
hüüdma	`üittaks
see	sie
park	park
seal	siall
see	sie
olema	on
siis	siiss
ehitama	ehittas
kohe	kohe
see	selle
seal	sial
lõpp	`löppu
seal	sial
Tallinn	Tallina
Katedraal	Kadrendaali
park	park
see	seda
mina	ma
ei	ei
teadma	tia
see	seda
olema	pöle
kuulma	kuuld
aga	aga
nõnda	nõnna
nõnda	nõnna
nõnda	nõnna
kui	ku
sina	sa
paat	paadiga
üle	üle
sõitma	sõidad
see	se
andma	annab
paras	parajat
madal	madala
vesi	`viega
saama	saa
iga	igald
poolt	poold
paat	paadiga
üle	üle
aga	aga
aga	aga
jälle	`jälle
kui	kui
kõrge	`körge
vesi	vesi
siis	siiss
saama	saab
paat	paadiga
iga	igalt
poolt	poolt
üle	üle
siis	siis
nägema	nääb
ära	ära
aga	aga
maa+ilma	ma+ilma
suur	suured
pank	pangad
olema	on
seal	sial
küll	küll
nagu	nagu
see	se
ütlema	`ütleme
sedasi	sedasi
kui	ku
see	se
laud	laud
ja	ja
veel	veel
suur	`suuremad
vat	vatt
vaatama	vatta
meri	mere
vesi	vesi
ei	ei
seisma	seisa
mitte	`mitte
seda+viisi	seda+visi
et	ett
et	ett
nagu	nagu
üks	üks
loik	loigu
vesi	vesi
ehk	ehk
järv	järve
vesi	vesi
olema	onn
mina	ma
ei	i
teadma	tia
see	seda
mina	ma
ei	i
teadma	tia
järv	järve
ääres	`ääres
mina	ma
olema	pöle
elama	elan
ega	ega
kas	kass
seal	sial
võima	vöib
olema	`olla
seal	sial
ka	koo
tuul	tuulega
liikuma	liigub
aga	aga
meri	mere
vesi	vesi
olema	on
teine+kord	tene+gord
olema	on
vaikne	`vaikne
ilm	ilm
tema	ta
pealt	pialt
vaga	vaga
pealt	pialt
aga	aga
jooksma	jookseb
hull	ullem
kui	kui
jõgi	jõe
vesi	vesi
nõnda	nõnna
et	ett
suur	suured
võrk	võrgu
potska	`pot'skad
kui	kui
tubli	tubli
tubli	tubli
vesi	vesi
olema	onn
noh	nohh
potska	`pot'skad
olema	on
sedasi	sedasi
et	ett
kaks+kümmend	kahe+`gümne
kaks+kümmend	kahe+`gümne
viis	viije
toobine	tuobised
nii	ni
et	et
tõmbama	`tömmap
kogu	kogu
vesi	vie
alla	`allä
jaa	jaa
minema	läävat
see	sie
vesi	vie
jooks	juoks
aga	aga
teine+kord	teine+gord
olema	on
jälle	`jälle
nii	nii
vaga	vaga
et	ett
ei	ei
saama	saa
aru	aru
kus	kuss
olema	onn
nii	nii
seisma	seisab
rahu	rahu
ja	ja
tulema	tulep
see	sie
tooma	tuob
kange	kange
tuul	tuuldesse
iga+kord	iga+kord
ei	ei
olema	ole
siin	siin
tuul	tuult
olema	pöle
aga	aga
siin	siin
olema	onn
maa	maal
jälle	`jälle
olema	olemes
ehk	ehk
sedasi	sedasi
mis	miss
vesi	vie
kangesti	`kangesti
jooksma	`juosma
saama	saab
üks+kord	öhö+gorras
teine+kord	tene+gord
olema	on
jah	jahh
tema	ta
nii	nii
troom	troom
sees	sies
et	ett
jaa	jaa
tulema	tuleb
see	seda
kaa	kaa
ette	`ette
et	ett
et	ett
vesi	vesi
jooksma	jooseb
juba	juba
kahte+pidi	`kahte+pidi
ja	ja
kuidas	kudas
see	seda
aru	aru
saama	saab
see	selle
ei	ei
saama	saa
muu	muud
moodi	`moodi
kätte	`kätte
kui	kui
see	se
kui	ku
sina	sa
laskma	lased
võrk	`vörkkudega
nõnda	nõnna
rand	ranna
äärde	ääre
võrk	`vörkkudega
siis	siss
sügav	sügava
vesi	vies
olema	pöle
sedasi	sedasi
katsuma	katsuttud
ja	ja
see	sie
tulema	tuleb
nõnda	nõnna
kogemata	kogematta
laine	`lainet
viima	viivad
nagu	nägu
siin	siin
saar	saare
saar	saarest
sealt	sialt
laskma	lasim
võrk	vörgud
sisse	`sisse
vahe	vahe
parajasti	parajasti
kus	kuss
vahe	vahe
teine	teisel
teine	teise
võrk	võrgut
tegema	teevat
vaatama	vaatta
nüüd	nüid
kui	kui
vesi	vesi
jooksma	juokseb
siis	siiss
see	se
ankur	`ankkur
nõudma	`nöuttaks
sedasi	sedass
siin	siin
köis	köis
minema	lähäp
tegema	tieb
seda+pidi	seda+bidi
looge	luoga
lõikama	`leikkab
sedasi	sedasi
vesi	vie
jooks	juoksu
järel	järel
alla	`alla
voog	`vuogu
aga	aga
nüüd	nüid
olema	oleme
seal	sial
teine	teine
mees	mees
olema	oli
meie	meijega
seal	sial
riidlema	`riidlema
et	ett
tulema	tulep
tema	tema
ribi	ribi
peal	pial
et	ett
tema	temal
jälle	`jälle
olema	oli
ikka	ikka
sügav	sügavam
vesi	vie
all	all
meie	meil
olema	oid
vesi	vie
peal	pial
rohkem	`rohkem
pool	puol
süld	`süldä
vesi	vie
all	all
tema	temal
olema	oli
kaks	kaks
süld	`sülda
vesi	vie
all	all
et	ett
tema	temal
tegema	teep
sedasi	sedasi
ja	ja
tema	temal
nõnda	nõnna
välja	`väl'la
vedama	vidada
lesta+püük	lesta+püik
olema	oli
enne	enne
juba	juba
poisike	pooisigest
saama	sai
peale	`piale
hakkama	akkat
noh	nohh
muist	muist
hakkama	`akkasid
oma	oma
üks	üks
poeg	poeg
hakkama	`akkas
neljateist+aastane	nel'la+deist+`aastaseld
juba	juba
ja	ja
aga	aga
meie	meil
olema	on
siin	siin
kivine	kivine
laht	laht
vat	vatt
iga	iga
loom	loomal
ehk	ehk
ankur	`ankru
maa	maa
peal	pial
pidama	piab
olema	olemä
khh	khh
neli	neli
märk	`märkki
maa	maald
vaatama	vaadattes
teine	teine
kallas	`kalda
ligemal	ligemäll
ja	ja
teine	teine
kas	kass
mitu	mittu
verst	`vörsti
mida	mida
rohkem	`rohkem
kauge	`kaugem
vahe	vahe
see	seda
hea	param
meie	meil
olema	oli
ennemalt	ennemald
siin	siin
Paldiski	Paldiski
linn	linna
pealt	piald
ja	ja
Leetse	`Lietse
majakas	maeakkast
sealt	sialt
olema	on
neli	neli
verst	`versta
Pakri	`Pakri
majakas	maeakkäst
sealt	sialt
olema	on
neli	neli
verst	`verstä
