niisukene	niisukkeses
tänavu	tänavu
olema	onn
kari	kari
olema	onn
kokku	`kokko
kuivama	`kuivand
tall	talled
olema	olid
ee	e
halvama	alvattud
või	või
nisukene	nisukkene
halb	alb
haigus	`aigus
olema	oli
ilus	ilusad
tall	talled
kohe	kohe
nii	nii
kui	kui
jah	jahh
aga	aga
nägema	nää
jääma	jäävad
jalg	jalust
ära	ära
jääma	jäävad
kohe	kohe
nägema	nää
pikali	pikkali
maas	maas
ja	ja
ja	ja
ime+asi	ime+`as’ja
võima	võib
ka	kaa
ilm	`ilmas
olema	olla
noh	nohh
aga	aga
siis	siis
nüüd	nüid
see	ned
kolm	kolm
neli	neli
tükk	`tükki
mis	mis
see	ned
saama	said
terve	`terveks
siis	siis
nemad	nad
olema	onn
neli	neli
nädal	nädalt
aeg	`aega
neli	neli
viis	viis
nädal	nädalt
olema	on
nemad	nad
sedasi	sedasi
nigu	nigu
pisike	pisikseid
laps	`lapsi
tõstma	tõsta
üks	ühest
paik	paegast
teine	`teise
ee	ee
jah	jahh
ja	ja
siis	siis
noh	nohh
kui	kui
olema	onn
muidugi	mud’ugi
lutt	lut’tiga
mina	ma
nemad	neid
toitma	`toitsin
ja	ja
ja	ja
üks	üks
olema	onn
nüüd	nüid
üks	üks
ime	ime
asi	asi
mis	miss
olema	oli
mõtlema	`mõtle
tema	ta
olema	oli
ka	kaa
üks	üks
kas	kass
neli	neli
või	või
viis	viis
nädal	nädalt
aeg	`aega
olema	oli
tema	ta
nüüd	nüid
sedasi	sedasi
mh	mh
haige	`aige
maas	maas
ja	ja
no	no
mõtlema	mõttel
ja	ja
ema	ema
hakkama	akkas
veel	veel
tema	teda
imetama	imettama
ee	e
jah	jahh
nemad	nemad
nüüd	nüid
terve	`terveks
neli	neli
tükk	`tükki
saama	said
nemad	neid
terve	`terveks
aga	aga
siis	siis
nemad	nemad
hakkama	`akkasid
juba	juba
vähe	vähe
sedasi	sedasi
põlv	`põlvede
peal	peal
ja	ja
kuidas	kudas
hakkama	`akkasid
ja	ja
siis	siis
see	see
vaatama	vatta
mis	mis
see	se
alumine	alumene
väikene	`veikkene
liige	liige
nemad	neil
olema	onn
see	see
olema	oli
siis	siis
nii	nii
kõva	kõva
et	et
see	see
murdma	murra
või	või
puruks	puruks
ja	ja
nägema	nää
nüüd	nüid
hakkama	`akkasid
nemad	nad
käima	`käima
ja	ja
nüüd	nüid
käima	käevad
ja	ja
sügis	sügiseks
ega	ega
nemad	nemad
ei	eij
olema	ole
suur	suuremad
nüüd	nüid
kui	kui
ikkagi	`ikkegi
tall	talled
nii	nii
kui	kui
tema	ta
olema	onn
ee	ee
tema	taa
olema	onn
nüüd	nüid
ee	ee
ee	e
see	see
kui	kui
tema	ta
haige	`aigeks
jääma	jäi
tema	taa
olema	oli
ilus	ilus
sirge	`sirge
kõik	kõik
kohe	kohe
nii	nii
tõesti	`tõesti
kohe	kohe
ühe+sõnaga	ühe+sõnaga
ütlema	üttelda
ilus	ilus
tall	tall
aga	aga
siis	siis
ee	ee
nüüd	nüid
ega	ega
tema	ta
sügis	sügiseks
ei	ei
kasvama	kasva
suur	suuremaks
ainult	`ainult
jääma	jääb
tema	tall
see	see
ee	e
tall	talle
suurus	`suurus
aga	aga
vana	vana
lammas	`lamba
kuju	kuju
jah	jahh
ja	ja
sügis	sügisel
müüma	müün
eelmine	`eelmene
aasta	`aasta
olema	oli
ka	kaa
jah	jahh
ja	ja
siis	siis
nemad	neid
müüma	`müidi
ära	ära
kaks	kaks
tükk	`tükki
noh	nohh
nemad	neid
hästi	`äs’ti
vastu	`vasta
ka	kaa
olema	põle
tahtma	tahettud
võtma	`võtta
kaks	kaks
tükk	`tükki
ja	ja
kaks+kümmend	kaks+kümmend
seitse	seitse
kilo	kilu
teine	teene
olema	oli
siiski	`siiski
tsipa	sippa
suur	suurem
aga	aga
teine	teene
olema	oli
väga	väga
väike	`veikke
jah	jahh
ja	ja
nüüd	nüid
üks	üks
olema	onn
ka	kaa
veel	veel
nii+sugune	nii+sugune
väike	veikke
ega	ega
tema	ta
sügis	sügiseks
nemad	nad
suur	suuremaks
ei	ei
kasvama	kasva
jaa	jaa
mhmh	mhmh
noh	nohh
arst	arstid
ei	ei
saama	saa
ka	kaa
see	sellest
aru	aru
ja	ja
ütlema	`ütlevad
et	et
see	sellel
haigus	`aigusel
rohi	`rohtu
ei	eij
olema	ole
aga	aga
nemad	neid
nii+palju	nii+bal’lu
nemad	neid
süstima	süs’titti
ja	ja
jah	jahh
ja	ja
siis	siis
ee	ee
ee	ee
noh	nohh
nägema	nää
miski	midagi
kas	kas
siis	sis
nüüd	nüid
nüüd	nüid
ei	ei
teadma	tia
see	seda
kas	kas
siis	sis
nüüd	nüid
see	se
süst	süs’t
aitama	`aittas
või	või
või	või
paranema	paranesid
nemad	nad
ee	ee
ise	ise
või	või
noh	nohh
eelmine	`eelmene
aasta	`aasta
nemad	nad
saama	said
vähem	vähäm
süstima	`süs’tida
ja	ja
nii	nii
et	et
nemad	neile
andma	`antti
kohe	kohe
kõik	kõik
ja	ja
ja	ja
see	neid
rohi	roho
nimi	nimesid
kohe	kohe
ei	ei
teadma+ki	`tiagi
mitte+ki	`mittegi
mis	miss
nemad	neil
andma	`an’tti
oi	oi
jaa	jaa
miks+pärast	miks+pärast
tähtsus	`tähtsust
ei	eij
olema	ole
ikka	`ikke
olema	onn
tähtsus	`tähtsust
küll	küll
jah	jahh
eks	eks
lammas	`lambas
tahtma	tab
aru	aru
maa	maad
ja	ja
niisuke	niisukkest
kõrge	`kõrgemad
mm	mm
kõrge	`kõrgemad
maa	maad
ja	ja
noh	nohh
ikka	ikke
siuke	siukkest
kase+oks	kase+`oksa
ja	ja
noh	nohh
siuke	siukke
ee	ee
noh	nohh
lehine	lehised
lehine	lehised
nüüd	nüid
nagu	nagu
olema	onn
paju	paeo
ja	ja
aga	aga
see	seda
olema	onn
nemad	neil
nüüd	nüid
kohe	kohe
küllalt	küllalt
võtma	`võtta
see	selle
puudus	`puudust
nemad	neil
ei	eij
olema	ole
noh	nohh
aga	aga
rohu+maa	roho+maa
nüüd	nüid
küll	küll
hea	ia
maa	maa
ei	eij
olema	ole
rohu+maa	roho+maa
olema	onn
väga	väga
halb	alb
maa	maa
see	seda
rohi	`rohtu
nemad	nad
mitte	`mitte
nemad	nad
kohe	kohe
ei	ei
ei	ei
tahtma	taha
nii	nii
kui	kui
teadma	`teavad
nii	nii
kui	kui
vesi	vesi
jooksma	jookseb
nii	nii
kui	kui
nii	nii
kui	kui
jõgi	jões
vesi	vesi
lainetama	`lainettab
nii	nii
olema	onn
nemad	nemad
ka	kaa
muud+kui	muut+kui
käima	käi
nemad	nendel
aga	aga
järel	järel
ja	ja
vaatama	`vaatta
et	et
nemad	nad
kuskile	`kus’kile
mets	`metsa
ära	ära
ei	ei
kaduma	kao
noh	nohh
selle+pärast	selle+bärast
tulema	tuleb
ütlema	üttelda
nemad	nad
olema	onn
hea	iad
loom	loomad
ee	e
kohe	kohe
et	et
nemad	nad
ise	ise
ise	`endid
koos	koos
hoidma	hoijavad
jah	jahh
kui	kui
nemad	nemad
ise	ise
ise	`endid
koos	koos
ei	ei
hoidma	oijaks
siis	siis
ei	ei
karjatama	`karjaks
nemad	neid
kohe	kohe
mitte	`mitte
keski	`kiski
hingeline	hingelene
inimene	inime
ei	ei
karjatama	`karjaks
nemad	neid
jah	jahh
aga	aga
noh	nohh
siiski	`siiski
nemad	nad
pooleks	pooleks
minema	lähvad
ka	kaa
kui	kui
olema	onn
vahest	vaest
sedasi	seasi
et	et
vaatama	vatta
lammas	lammas
olema	onn
mis	miss
minema	lähäb
kuidas	kudas
üks	üks
ees	ees
minema	läb
sealt	sealt
minema	lähvad
kõik	kõik
ega	ega
siis	siis
enam	änam
teine	teist
sina	sa
kas	kas
sina	sa
siis	siis
tegema	tee
tema	talle
mis	miss
tahes	tahes
ega	ega
tema	ta
siis	siis
enam	änam
ei	ei
ee	ee
sealt	sealt
ise	ennast
järele	järele
ei	ei
andma	anna
aga	aga
siin	sin
no	no
vahel	vahel
nemad	nad
minema	lähvad
pooleks	pooleks
ka	kaa
ja	ja
noh	nohh
jälle	jälle
kätte	`kätte
saama	saand
ja	ja
selle+pärast	selle+bärast
et	et
nemad	nad
keegi	`keegi
nemad	nad
mina	mind
asendama	asendada
küll	küll
ei	ei
tahtma	taha
kohe	kohe
et	et
vaatama	`vatta
meie	meije
sinna	`sinna
mets	`metsa
ei	ei
tulema	tule
selle+pärast	selle+bärast
kohe	kohe
jah	jahh
et	et
oh	ohh
olema	oleks
tema	ta
nüüd	nüid
lage	lage
maa	maa
olema	olema
siis	siis
meie	me
tulema	tuleks
olema	oleks
aga	aga
vaat	vat
sinna	sinna
mets	`metsa
meie	meije
ei	ei
tulema	tule
ah	ahh
kuidas	kuda
noh	nohh
mina	maa
pidama	pian
ju	ju
nii	nii
ee	e
saba	sabas
nemad	neil
olema	olema
jah	jah
eh	eehh
ei	ei
mina	maa
nüüd	nüid
küll	küll
nemad	neid
nägema	näind
aga	aga
see	sellest
olema	onn
nüüd	nüid
juba	juba
mina	ma
ei	i
teadma	tia
mm	mm
kas	kass
tema	ta
olema	onn
juba	juba
üks	üks
üks	üks
üks	üks
üks	üks
neli	neli
viis	viis
aasta	`aastad
tagasi	tagasi
aga	aga
siis	siis
tulema	tuli
küll	küll
kari	karja
hulka	`ulkka
ee	e
jah	jahh
aga	aga
no	no
paha	paha
tema	ta
ei	i
saama	soand
nüüd	nüid
küll	küll
miski	midagi
tegema	teha
ise	ise
just	just
istuma	istun
seal	seal
kraav	kraavi
kallas	`kaldal
ja	ja
mõtlema	`mõtlen
nüüd	nüid
et	et
ee	e
ee	ee
just+kui	`üskui
nii	nii
alati	alatti
ikka	ikke
küsima	küsivad
kas	kass
hunt	`hun’tti
ei	eij
olema	ole
ei	eij
olema	ole
ja	ja
mina	maa
ütlema	t’sin
ei	eij
olema	ole
juhtuma	`juhtund
siia	`siija
aeg	aeani
mitte	`mitte
ei	ei
teadma	tia
ja	ja
istuma	istun
maha	maha
kas	kas
mina	ma
üks	üks
viis	viis
minut	minuttid
ja	ja
vaatama	vaattan
lammas	`lambad
lööma	löövad
ise	`en’did
sedasi	`seasi
kokku	`kokku
lööma	löövad
ja	ja
ja	ja
vaat	vat
mõtlema	`mõtlen
mis	miss
asi	asi
see	see
olema	onn
vaat	vat
silm	silmad
ei	ei
jõudma	jõund
nii	nii
ruttu	`ruttu
ära	ära
vaatama	vaadatta
nüüd	nüid
et	et
et	et
mis	miss
asi	asi
see	see
olema	oli
nüüd	nüid
nagu	nagu
vaat	vat
kriim	kriimud
silm	silmad
ju	ju
no	noo
hakkama	`akkasin
kisa	kisa
tegema	tegema
aga	aga
siis	siis
ära	ära
minema	läks
jah	jahh
ja	ja
üks	ühe
tall	talle
ja	ja
võtma	`võt’tis
ikka	`ikke
kinni	`kinni
kah	kahh
küllalt	küllalt
tema	teda
võtma	`võt’tis
ikka	`ikke
kinni	`kinni
küllalt	küllalt
vaatama	vaatta
nüüd	nüid
ee	e
kartma	`kartsid
nii	nii
tema	temal
olema	on
nüüd	nüid
hea	ia
aga	aga
ega	ega
tema	tall
mitte	`mitte
üks	üks
kirp	kirp
tema	tall
ei	ei
olema	ole
kuskil	`kuskil
mina	ma
siis	siis
pesema	pesen
tema	teda
siis	siis
tema	tall
olema	on
nii	nii
tore	tore
nagu	nagu
siis	s
hoidma	oijab
ümber	`ümmer
käsi	kää
sedasi	sedasi
kinni	`kinni
jaa	jaa
ja	ja
siis	siis
pesema	pese
tema	teda
siis	siis
tema	tema
olema	on
nii	nii
rahul	rahul
see	sellega
jah	jahh
jaa	jaa
ja	ja
vaatama	vaatta
siis	siis
ikka	`ikke
tema	temal
olema	oli
nisukene	nisukkene
lõhn	lõhn
juures	`juurdes
aga	aga
kõik	kõik
minema	läksid
see	seda
nuusutama	nuusuttama
nüüd	nüid
see	seda
tall	`talle
ja	ja
ja	ja
siis	siis
pärast	pärast
mina	maa
esiteks	`es’tiks
vaatama	`vaatsin
küll	küll
et	et
kas	kas
tema	ta
nüüd	nüid
verine	verine
kuskilt	`kus’kilt
kas	kas
tema	ta
saama	sai
hammustama	ammusta
aga	aga
pärast	pärast
ikka	ikke
natuke	nattukse
aeg	aea
pärast	pärast
siit	siit
ee	ee
rind	rinna
ots	otsest
siit	siit
see	see
ikka	`ikke
minema	läks
see	see
vill	vill
natukene	nattukkene
või	või
sedasi	seasi
verine	veriseks
minema	läks
nii	niij
et	et
tema	ta
hammustama	ammustada
tema	ta
tema	teda
olema	oli
saama	saand
ee	e
noh	nohh
ju	juu
tema	ta
see	seda
kisa	kisa
ikka	ikke
vist	vist
kartma	`karttis
et	et
tema	ta
ära	ära
minema	läks
jah	jahh
aga	aga
ega	ega
ikka	ikke
tall	talle
ikka	ikke
saama	sai
hammas	`ambaste
vahele	vahele
aga	aga
nii	nii
mõistlik	`mõistlik
olema	oli
et	et
tema	teda
lahti	`lahti
laskma	lasi
siis	s
ee	e
noh	nohh
kui	kui
mina	mul
ema	ema
rääkima	`rääkkis
ikka	ikke
et	et
tema	tema
olema	onn
sedasi	seasi
võtma	võtt
noh	nohh
siit	siit
turi	turja
pealt	pealt
kinni	`kinni
jah	jahh
ja	ja
hoidma	oijab
siit	siit
turi	turja
pealt	pealt
kinni	`kinni
jah	jahh
ja	ja
lammas	lammas
käima	käib
kõrval	kõrval
ja	ja
ise	ise
lööma	lööb
saba	sabaga
tagant	tagant
minema	lähäb
kohe	kohe
nõnda	nõnna
lammas	lammas
käima	käib
ilusalt	ilusalt
kõrval	kõrval
jah	jahh
oh	ohh
noh	nohh
ega	ega
nemad	nad
muidu	muedu
siis	siis
õitsil	`õitsel
ei	eij
olema	old
hobune	obuste
kari	`karjas
siis	siis
tema	ta
ütlema	`ütleb
et	et
üks	üks
ee	e
mm	mm
olema	oli
hobune	obuste
kari	`karjas
et	et
seal	sääl
olema	oli
üks	üks
ee	e
täkk	täkk
olema	old
no	no
see	see
olema	onn
üks	üks
väga	väga
hea	ia
olema	onn
olema	old
see	see
olema	onn
kõik	kõik
hobune	obused
ära	ära
hoidma	oind
tema	tema
olema	onn
käima	käind
kohe	kohe
ringi	`ringi
ja	ja
vaat	vat
pea	pia
maas	maas
ega	ega
tema	ta
ei	i
tohtima	tohi
pea	piad
tõstma	`tõsta
vaat	vat
siis	siis
olema	onn
kõri	kõris
kinni	`kinni
jaa	jaa
aga	aga
siis	siis
ee	ee
aasta	`aastaid
tema	ta
olema	onn
sedasi	seasi
hoidma	oind
aga	aga
üks+kord	üks+kord
kah	kahh
olema	onn
nägema	nää
ikka	`ikke
tema	ta
hunt	un’t
ära	ära
murdma	murd
tema	ta
ee	e
vaatama	`vaatta
ee	e
astuma	astub
peale	`peale
jooksma	jookseb
torm	`tormi
otsa	`otsa
jah	jahh
ja	ja
nii	niij
et	et
vaatama	vatta
tema	tall
olema	on
pea	pia
nina	nina
olema	onn
vastu	`vasta
maa	maad
nii	niij
et	et
mitte	`mitte
pea	piad
ei	ei
tohtima	tohi
tõstma	`tõsta
see	selle
seda+moodi	seda+modi
olema	oli
veel	vel
mis	miss
ikka	ikke
ema	ema
rääkima	rääkkis
jah	jahh
ja	ja
et	et
nemad	nad
õitsil	`õitsel
kari	`karjas
käima	käisid
ja	ja
noh	nohh
ja	ja
hunt	`un’tti
no	noo
eks	eks
nemad	nad
hunt	`un’ttide
ee	ee
jah	jahh
nemad	nad
olema+ki	olitki
selle+pärast	selle+bärast
nemad	nad
õitsil	`õitsel
olema	olid
et	et
nii	nii
palju	pal’lu
olema	oli
hunt	`un’tte
noh	nohh
kus	kus
nemad	nad
nägema	nää
laut	lauda
sein	seintte
alt	alt
olema	onn
ee	ee
käima	käind
kohe	kohe
sedasi	sedasi
ee	ee
lahti	`lahti
lõhkuma	`lõhkumas
jah	jahh
ja	ja
siis	siis
olema	onn
noh	nohh
nagu	nagu
loom	loomad
see	ned
noh	nohh
see	sell
aeg	aal
siis	siis
kett	`ket’tisid
ei	eij
olema	old
see	sell
aeg	aal
olema	olid
niisuke	niisuksed
nii	nii
kui	kui
luud	luuwa
võru	võrud
üks	üks
üks+teise	ühe+deisest
läbi	läbi
tegema	`tehtud
ja	ja
siis	siis
nisukene	nisukkene
hari	harja
maha	maha
jah	jahh
ja	ja
nisukene	nisukkesed
jah	jahh
et	et
et	et
siis	siis
tirima	tiris
ee	e
ligi	ligi
ja	ja
ikka	ikke
murdma	`murdis
loom	looma
ära	ära
ee	ee
sein	seina
alt	alt
sein	seina
alt	alt
tirima	tiris
loom	looma
ligi	ligi
ja	ja
noh	nohh
tema	ta
vere+imeja	vere+imeja
aga	aga
no	no
siin	sin
üks	üks
siin	sin
ee	ee
mõni	mõni
aasta	`aasta
tagasi	tagasi
no	no
siis	siis
tema	taa
siin+samas	siin+`sammas
see	selle
mm	m
tuba	toa
tagant	tagant
kus	kus
tema	ta
olema	oli
kaks	kaks
mullikas	mul’likkast
murdma	`murdis
ära	ära
üks	ühe
öö	`ööga
üks	ühe
öö	`ööga
jah	jahh
kohe	kohe
kaks	kaks
kaks	kaks
mullikas	mul’likkast
jah	jahh
nüüd	nüid
see	sellest
olema	onn
miski	midagi
neli	neli
aasta	`aastad
tagasi	tagasi
ja	ja
vaatama	voatta
jah	jahh
ikka	ikke
õudne	`õutsed
loom	loomad
ikka	ikke
küllalt	küllalt
aga	aga
nüüd	nüid
olema	onn
just+kui	`üsku
nemad	nad
olema	onn
juba	juba
nemad	neid
rohkem	`rohkem
ära	ära
hävitama	äävittand
kuulma	kule
ei	ei
nüüd	nüid
ei	eij
olema	ole
enam	änam
kuulma	kule
kuulma	kule
tema	tema
murdma	`murdis
siin	siin
kolhoos	koloosist
nii+palju	nii+bal’lu
ee	ee
mullikas	mul’likkid
ja	ja
mm	mm
jah	jahh
ja	ja
siis	siis
ee	ee
mm	m
ee	ee
sälg	`sälgusi
ja	ja
noh	nohh
sälg	`sälgudel
tõmbama	`tõmmas
kints	kinsud
takka	`takka
maha	maha
ja	ja
noh	nohh
miski	midagi
ee	ee
noh	nohh
sedasi	sedasi
kuidas	kudass
ee	ee
kuidas	kudass
nüüd	nüid
ee	ee
olema	onn
noh	nohh
viis+teist	viije+deist
oktoober	ok`toobrini
olema	onn
nüüd	nüid
küll	küll
ee	ee
see	see
kui	kui
kari	kari
kinni	`kinni
panema	pannakse
aga	aga
no	no
lammas	lammastega
olema	oleme
ikka	`ikke
veel	veel
veel	veel
kauem	kauwem
ikka	`ikke
oktoobri+kuu	ok`toobri+guu
ja	ja
sedasi	sedasi
kuidas	kudass
sügis	sügis
lubama	lubab
ja	ja
noh	nohh
siis	siis
nagu	nagu
põld	põllu
peale	peale
juba	juba
ka	kaa
aga	aga
põld	põllu
peale	`peale
saamine	`saamene
olema	onn
ka	kaa
nii	nii
vilets	vilets
et	et
ee	e
et	et
sinna	sinna
ei	ei
saama	saa
hästi	`ästi
põld	põllu
peale	peale
ka	kaa
kunagi	kunagi
noh	nohh
eelmine	`eelmene
sügis	sügise
nemad	nad
olema	olid
siis	siis
ka	kaa
saama	said
seal	seal
ristik+hein	ristikk+eina
põld	põllu
peal	peal
saama	said
olema	olla
jah	jahh
tema	ta
olema	onn
nüüd	nüid
olema	onn
madal	madal
madal	madal
maa	maa
eks	eks
meie	me
aga	aga
solpima	sol’bime
aga	aga
läbi	läbi
muud+kui	muud+ku
minema	`lähme
aga	aga
läbi	läbi
ei	ei
hoolimine	`oolimest
ei	eij
olema	ole
oh	ohh
see	see
nüüd	nüid
olema	onn
ee	ee
nemad	nemad
olema	on
nüüd	nüid
tubli	tublimad
see	see
see	see
olu+kord	olu+gord
ja	ja
see	see
olema	on
nüüd	nüid
kõik	kõik
nemad	nad
tubli	tubliks
tegema	teind
juba	juba
ei	eij
olema	ole
aga	aga
see	selle
peale	peale
olema	on
jah	jahh
tõsiselt	tõsiselt
küll	küll
noh	nohh
mm	mm
et	et
nemad	nad
ei	ei
olema	ole
mitte	`mitte
ee	ee
mitte	`mitte
nemad	neil
ei	ei
olema	ole
jah	jahh
sedasi	sedasi
üks	üks
ainukene	aenukkene
lammas	lammas
mis	miss
tänavu	tänavu
talv	talvel
minema	läks
välja	`väl’la
noh	nohh
see	sellel
olema	oli
ka	ka
siis	siis
mitu	mittu
viga	viga
ee	ee
tema	tall
kohe	kohe
mis	mis
tema	tal
olema	old
aga	aga
noh	nohh
nemad	neid
jälle	`jälle
maksa+kaan	maksa+`gaanide
vastu	`vasta
jälle	jälle
süstima	süs’tittakse
sügis	sügisel
ära	ära
ja	ja
mm	mm
jah	jahh
ja	ja
siis	siis
ee	ee
maks	maksa
kaan	kaanid
jah	jahh
see	need
olema	on
sedasi	sedasi
mis	mis
see	se
ee	e
imema	imevad
ee	ee
veri	vere
ära	ära
jah	jahh
ja	ja
siis	siis
see	selle
vastu	`vasta
nemad	neid
süstima	süs’tittakse
ja	ja
ja	ja
ei	eij
olema	ole
välja	`väl’la
minema	läind
välja	`väl’la
minema	läind
küll	küll
see	selle
õudne	`õutse
vesine	vesise
koht	`kohtadel
kohe	kohe
noh	nohh
tänavu	tänavu
olema	oli
nüüd	nüid
juba	juba
mai	mai
mai	mai
lõpp	`lõppus
olema	oli
juba	juba
kas	kass
olema	oli
nii	nii
mõni	mõned
nii	niij
et	et
et	et
ikka	`ikke
noh	nohh
mõni	mõned
päev	päävad
ikka	`ikke
juba	juba
üks	üks
nädal	nädali
päev	päävad
olema	olid
ikka	`ikke
juba	juba
ee	e
mai+kuu	mai+guu
sees	sees
ka	kaa
juba	juba
väljas	väl’las
noh	nohh
siis	siis
nemad	nad
olema	olid
põld	põllu
peal	peal
siis	s
olema	olid
seal	seal
nägema	näe
nii	nii
kus	kuss
olema	oli
kündma	`künmat
maa	maa
veel	veel
sügise	sügise
jääma	jäänd
kõrs	kõrre
põld	põld
või	või
siis	siis
ei	eij
olema+ki	oltki
juba	juba
miski	midagi
noh	nohh
üks	üks
pool+teist	pool+deist
nädal	nädalt
aeg	`aega
enne	`enne
kui	kui
juba	juba
meie	mee
olema	oleme
nüüd	nüid
sedasi	sedasi
meie	me
olema	oleme
noh	nohh
mina	mina
mina	mina
siin	siin
olema	olen
ikka	`ikke
sündima	`sün’dind
küll	küll
ega	ega
mina	mina
olema	põle
kuskil	`kuskil
mujal	mueal
ega	ega
rohkem	`rohkem
ei	eij
olema	ole
see	sellel
üheksa+kümmend	üheksa+`gümne
üks	ühe
aasta	`oastattel
veel	vel
mis	miss
nüüd	nüid
üle	üle
olema	onn
olema+ki	`oltki
kolm	kolm
aasta	`oastad
teenima	`tienisin
võõras	võerast
siis	siis
kui	kui
see	se
õde	õde
mina	mull
olema	oli
oma	oma
mees	mihega
siin	siin
kodu	kodu
ei	ei
nemad	nemad
ei	ei
saama	soand
ja	ja
see	need
see	sie
minema	läks
ära	ää
jälle	`jälle
siis	siis
mina	mina
tulema	tulin
tagasi	tagasi
kodu	koeo
ja	ja
hakkama	`akkasin
siis	siis
oma	oma
vanem	vanemattega
jälle	`jälle
meie	meil
kaks	kaks
laps	last
isa	isal
olema	oli
ja	ja
ema	emal
isa	isa
olema	oli
suureline	suureline
et	et
mina	mina
olema	olen
siin	siin
Venevere	Veneveres
ju	juo
kolmas	kolmas
Toomas	Toomas
et	et
mina	mina
oma	oma
laps	lastele
koht	`kohte
ära	ära
ei	ei
laskma	lase
minema	`minna
et	et
jääma	jäävad
siia	`siija
tema	temal
jälle	`jälle
olema	oli
siin	siin
saun	saun
aga	aga
vaatama	`voatta
nüüd	nüid
ei	ei
maksma	maksa
tema	ta
miski	midagi
ja	ja
nüüd	nüid
olema	onn
tema	ta
nõnda	nõnna
võtma	`võettud
vaatama	`voattasin
praegu	`paergu
siia	`siija
tuba	tua
taha	taha
lammas	`lammad
jooksma	`juosid
mina	mull
ju	ju
kaks	kaks
lammas	lammast
olema	onn
see	nied
jooksma	`juosid
mina	mull
mets	`metsa
mina	maa
ei	i
teadma	tia
kus	kus
nemad	nad
nüüd	nüid
olema	onn
ootama	`uottan
veel	vel
ee	e
Ants	`Antsu
et	et
pidama	peaks
tema	ta
kodu	koeo
tulema	tulema
minema	läheks
vaatama	`voattaks
teine	teisel
olema	onn
köis	köis
järel	järel
et	et
pärast	pärast
pooma	poob
ära	ää
mets	`metsa
enese	enesa
aga	aga
siis	siis
ei	ei
teadma	tia
künd	kün’ni
pärast	pärast
mina	ma
minema	läksin
kepp	keppiga
mina	maa
ei	i
saama	soa
ju	ju
käima	`käidud
vaatama	vatta
mina	mu
kukkuma	`kukkusin
see	selle
põlv	põlve
liige	`liikmest
ära	ää
ja	ja
nüüd	nüid
ee	e
see	selle
aeg	aea
kui	kui
mina	ma
noor	nuorem
olema	olin
käima	käisin
ikka	`ikke
kepp	keppiga
aga	aga
vaatama	`voatta
nüüd	nüid
enam	enam
ei	ei
kandma	kanna
mitte	`mitte
kohe	kohe
minema	lähen
otseti	otsette
maha	maha
siis	siis
minema	lähen
siia	`siija
see	selle
traktor	`traktori
mees	mihe
vastu	`vastu
ütlema	`ütlen
et	et
olema	ole
üks	üks
pai	pai
mees	mies
et	et
minema	mine
võtma	võtta
panema	panema
see	se
mullikas	mul’likkas
siit	siit
natuke	nattukke
enese	`endi
künd	kün’ni
eest	iest
edasi	edasi
see	sie
kartma	kardab
kui	kui
